"Index","SourceBatch","SourceReport","SourceIndex","Type","LevelId","AssetPath","Width","Height","Chains","Arrows","Coverage","TargetCoverage","OuterBandCoverage","InitialMovableChains","EdgeHeadChains","ShortChains","GreedyMoves","AvgChain","MaxChain","Straightness","BlockLinks","PortableSolved","PortableOpeners","PortableScore","PortableQuality","Attempts","Status"
"1","trial","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_trial_report.csv","1","sgp_pressure_hard_rect_lock_buckle","sgp_pressure_hard_trial_01_sgp_pressure_hard_rect_lock_buckle","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_01_sgp_pressure_hard_rect_lock_buckle.asset","20","28","58","555","0.991","0.965","0.983","1","5","15","58","9.57","21","0.565","303","True","1","182.1","ok","187","Style=PressureHard | Score=13035 | TargetInitial=4 | OpeningRatio=0.017 | EarlyChoices=23.0/52 | LocalRun=7 | Jump=7.1 | NearRate=0.55 | Peel style=PressureHard seed=19861908 fill=555/560(0.991) chains=58 remaining=5 rejectedShort=0 failedPeels=1"
"2","trial","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_trial_report.csv","2","sgp_pressure_hard_rect_section_unlock","sgp_pressure_hard_trial_02_sgp_pressure_hard_rect_section_unlock","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_02_sgp_pressure_hard_rect_section_unlock.asset","22","28","61","612","0.994","0.965","0.995","1","3","20","61","10.03","21","0.453","287","True","1","186.3","ok","134","Style=PressureHard | Score=15084 | TargetInitial=4 | OpeningRatio=0.016 | EarlyChoices=24.3/58 | LocalRun=6 | Jump=6.2 | NearRate=0.58 | Peel style=PressureHard seed=14321447 fill=612/616(0.994) chains=61 remaining=4 rejectedShort=0 failedPeels=1"
"3","trial","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_trial_report.csv","3","sgp_pressure_hard_rect_dense_weave","sgp_pressure_hard_trial_03_sgp_pressure_hard_rect_dense_weave","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_03_sgp_pressure_hard_rect_dense_weave.asset","21","30","58","616","0.978","0.965","0.979","3","6","8","58","10.62","21","0.490","256","True","3","170.4","ok","60","Style=PressureHard | Score=18341 | TargetInitial=4 | OpeningRatio=0.052 | EarlyChoices=26.4/48 | LocalRun=6 | Jump=6.5 | NearRate=0.65 | Peel style=PressureHard seed=6581677 fill=616/630(0.978) chains=58 remaining=14 rejectedShort=0 failedPeels=1"
"4","trial","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_trial_report.csv","4","sgp_pressure_hard_rect_core_burst","sgp_pressure_hard_trial_04_sgp_pressure_hard_rect_core_burst","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_04_sgp_pressure_hard_rect_core_burst.asset","20","30","61","594","0.990","0.965","0.989","3","7","18","61","9.74","21","0.481","256","True","3","175.4","ok","35","Style=PressureHard | Score=10871 | TargetInitial=4 | OpeningRatio=0.049 | EarlyChoices=22.5/50 | LocalRun=6 | Jump=6.1 | NearRate=0.71 | Peel style=PressureHard seed=3973628 fill=594/600(0.990) chains=61 remaining=6 rejectedShort=0 failedPeels=1"
"5","review6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_review6_report.csv","1","sgp_pressure_hard_rect_lock_buckle_a","sgp_pressure_hard_review6_01_sgp_pressure_hard_rect_lock_buckle_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_01_sgp_pressure_hard_rect_lock_buckle_a.asset","20","28","58","555","0.991","0.965","0.983","1","5","15","58","9.57","21","0.565","303","True","1","182.1","ok","187","Style=PressureHard | Score=13035 | TargetInitial=4 | OpeningRatio=0.017 | EarlyChoices=23.0/52 | LocalRun=7 | Jump=7.1 | NearRate=0.55 | Peel style=PressureHard seed=19861908 fill=555/560(0.991) chains=58 remaining=5 rejectedShort=0 failedPeels=1"
"6","review6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_review6_report.csv","2","sgp_pressure_hard_rect_core_burst_a","sgp_pressure_hard_review6_02_sgp_pressure_hard_rect_core_burst_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_02_sgp_pressure_hard_rect_core_burst_a.asset","20","30","60","589","0.982","0.965","0.989","1","2","18","60","9.82","21","0.522","269","True","1","169.6","ok","372","Style=PressureHard | Score=16258 | TargetInitial=4 | OpeningRatio=0.017 | EarlyChoices=23.2/45 | LocalRun=8 | Jump=5.7 | NearRate=0.68 | Peel style=PressureHard seed=39248949 fill=589/600(0.982) chains=60 remaining=11 rejectedShort=0 failedPeels=1"
"7","review6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_review6_report.csv","3","sgp_pressure_hard_rect_dense_weave_a","sgp_pressure_hard_review6_03_sgp_pressure_hard_rect_dense_weave_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_03_sgp_pressure_hard_rect_dense_weave_a.asset","21","30","58","616","0.978","0.965","0.979","3","6","8","58","10.62","21","0.490","256","True","3","170.4","ok","60","Style=PressureHard | Score=18341 | TargetInitial=4 | OpeningRatio=0.052 | EarlyChoices=26.4/48 | LocalRun=6 | Jump=6.5 | NearRate=0.65 | Peel style=PressureHard seed=6581677 fill=616/630(0.978) chains=58 remaining=14 rejectedShort=0 failedPeels=1"
"8","review6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_review6_report.csv","4","sgp_pressure_hard_rect_lock_buckle_b","sgp_pressure_hard_review6_04_sgp_pressure_hard_rect_lock_buckle_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_04_sgp_pressure_hard_rect_lock_buckle_b.asset","22","28","59","607","0.985","0.965","0.978","2","2","15","59","10.29","20","0.454","254","True","2","179.3","ok","163","Style=PressureHard | Score=14031 | TargetInitial=4 | OpeningRatio=0.034 | EarlyChoices=30.8/58 | LocalRun=3 | Jump=9.5 | NearRate=0.29 | Peel style=PressureHard seed=17379940 fill=607/616(0.985) chains=59 remaining=9 rejectedShort=0 failedPeels=1"
"9","review6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_review6_report.csv","5","sgp_pressure_hard_rect_core_burst_b","sgp_pressure_hard_review6_05_sgp_pressure_hard_rect_core_burst_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_05_sgp_pressure_hard_rect_core_burst_b.asset","21","30","67","623","0.989","0.965","0.989","2","5","23","67","9.30","21","0.481","308","True","2","182.8","ok","418","Style=PressureHard | Score=12860 | TargetInitial=5 | OpeningRatio=0.030 | EarlyChoices=24.2/46 | LocalRun=9 | Jump=6.3 | NearRate=0.61 | Peel style=PressureHard seed=44096011 fill=623/630(0.989) chains=67 remaining=7 rejectedShort=0 failedPeels=1"
"10","review6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_review6_report.csv","6","sgp_pressure_hard_rect_dense_weave_b","sgp_pressure_hard_review6_06_sgp_pressure_hard_rect_dense_weave_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_06_sgp_pressure_hard_rect_dense_weave_b.asset","20","28","63","550","0.982","0.965","0.983","1","6","23","63","8.73","20","0.514","261","True","1","173.8","ok","327","Style=PressureHard | Score=18569 | TargetInitial=4 | OpeningRatio=0.016 | EarlyChoices=16.8/31 | LocalRun=4 | Jump=6.5 | NearRate=0.48 | Peel style=PressureHard seed=34575848 fill=550/560(0.982) chains=63 remaining=10 rejectedShort=0 failedPeels=1"
"11","interference6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference6_report.csv","1","sgp_pressure_hard_rect_interfere_lock_buckle_a","sgp_pressure_hard_interference6_01_sgp_pressure_hard_rect_interfere_lock_buckle_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_01_sgp_pressure_hard_rect_interfere_lock_buckle_a.asset","20","28","58","553","0.988","0.965","0.989","4","5","13","58","9.53","20","0.160","182","True","4","185.3","ok","414","Style=PressureHard | Score=-10618 | TargetInitial=4 | OpeningRatio=0.069 | EarlyChoices=34.7/88 | LocalRun=5 | Jump=7.9 | NearRate=0.55 | Peel style=PressureHard seed=43645391 fill=553/560(0.988) chains=58 remaining=7 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=1 initial=4->4 edgeHeads=5->5 earlyChoices=33.3/88 localRun=5 jump=7.9 near=0.55 targetInitial=3"
