"set","family","levelId","coverage","solved","processTier","tightProcessTier","avgChoices","maxChoices","supportDepth","outerExit","localRun","depRun"
"canvas12","cascade_relay","v131_family_pilot_canvas_smoke_01_cascade_relay_mirrorx_6832fdf4","0.1814","True","A","Drop","3.47","8","4","0","2","3"
"canvas12","cascade_relay","v131_family_pilot_canvas_smoke_02_cascade_relay_rot180_279efe8a","0.1814","True","A","Drop","3.47","8","4","0","2","3"
"canvas12","hub_spoke","v131_family_pilot_canvas_smoke_03_hub_spoke_mirrorx_ba4ff0ff","0.2941","True","A","A","3.85","8","4","0","2","3"
"canvas12","hub_spoke","v131_family_pilot_canvas_smoke_04_hub_spoke_rot180_9c53924e","0.2941","True","A","A","3.85","8","2","0","2","3"
"canvas12","split_key","v131_family_pilot_canvas_smoke_05_split_key_mirrorx_1da89b8b","0.1708","True","A","Drop","3.73","7","3","0","2","3"
"canvas12","split_key","v131_family_pilot_canvas_smoke_06_split_key_rot180_7988f248","0.1708","True","A","Drop","3.73","7","3","0","2","3"
"canvas12","strict_dual_gate","v131_family_pilot_canvas_smoke_07_strict_dual_gate_mirrorx_bffee5f7","0.1679","True","A","A","3.58","6","4","0","1","4"
"canvas12","strict_dual_gate","v131_family_pilot_canvas_smoke_08_strict_dual_gate_rot180_1cb0e557","0.1679","True","A","A","3.58","6","4","0","1","4"
"canvas12","support_lock","v131_family_pilot_canvas_smoke_09_support_lock_mirrorx_cbcd8e25","0.2363","True","A","A","3","6","3","0","2","3"
"canvas12","support_lock","v131_family_pilot_canvas_smoke_10_support_lock_rot180_962993bd","0.2363","True","A","A","3","6","2","0","2","3"
"canvas12","web_crossover","v131_family_pilot_canvas_smoke_11_web_crossover_mirrorx_3598950d","0.288","True","A","A","4.03","8","4","0","2","3"
"canvas12","web_crossover","v131_family_pilot_canvas_smoke_12_web_crossover_rot180_4c7036c2","0.288","True","A","A","4.03","8","4","0","2","3"
