"set","family","levelId","coverage","solved","processTier","avgChoices","maxChoices","supportDepth","outerExit","localRun","depRun"
"source6","cascade_relay","rootvarv131extbal_07_rootvarv128prod_10_rootvarv122_06_root_variant_library_v1_22_siz_e8ca6d97","0.1814","True","A","3.47","8","4","0","2","3"
"source6","hub_spoke","rootvarv131extbal_24_rootvarv127tonight_05_root_variant_library_v1_23_hub_cluster_con_baa7a681","0.2941","True","A","3.85","8","4","0","2","3"
"source6","split_key","rootvarv131extbal_43_rootvarv128prod_29_rootvarv121_17_rootvarv119_21_rv115c_45_root__beeb3ff4","0.1708","True","A","3.73","7","3","0","2","3"
"source6","strict_dual_gate","rootvarv131extbal_58_rootvarv128prod_43_rootvarv121_25_rootvarv119_29_rv115c_28_rootv_d9cbc144","0.1679","True","A","3.58","6","4","0","1","4"
"source6","support_lock","rootvarv131extbal_90_rootvarv130fourfamsize_10_root_variant_library_v1_30_fourfam_siz_84602bfd","0.2363","True","A","3","6","4","0","2","3"
"source6","web_crossover","rootvarv131extbal_98_rootvarv128prod_68_rootvarv121_43_rootvarv119_47_rv115c_38_root__3b7d45ec","0.288","True","A","4.03","8","4","0","2","3"
"jitter12","cascade_relay","v131_family_pilot_jitter_smoke_01_cascade_relay_j1_01b5810a","0.1814","True","A","3.13","7","4","0","3","4"
"jitter12","cascade_relay","v131_family_pilot_jitter_smoke_02_cascade_relay_j2_de45ef82","0.1814","True","A","3.5","8","4","0","2","4"
"jitter12","hub_spoke","v131_family_pilot_jitter_smoke_03_hub_spoke_j1_8dc3f871","0.2941","False","Drop","3.7","8","1","0","1","3"
"jitter12","hub_spoke","v131_family_pilot_jitter_smoke_04_hub_spoke_j2_4e47f2ee","0.2941","False","Drop","3.82","8","4","0","2","3"
"jitter12","split_key","v131_family_pilot_jitter_smoke_05_split_key_j1_4b8506aa","0.1708","False","Drop","4.05","8","3","0","2","2"
"jitter12","split_key","v131_family_pilot_jitter_smoke_06_split_key_j2_5b3ca340","0.1708","False","Drop","3.54","6","2","1","3","2"
"jitter12","strict_dual_gate","v131_family_pilot_jitter_smoke_07_strict_dual_gate_j1_f40b834f","0.1679","True","A","3.71","6","4","0","1","4"
"jitter12","strict_dual_gate","v131_family_pilot_jitter_smoke_08_strict_dual_gate_j2_901046e6","0.1679","True","A","3.62","6","4","0","1","2"
"jitter12","support_lock","v131_family_pilot_jitter_smoke_09_support_lock_j1_54388dda","0.2363","False","Drop","3.09","6","1","0","1","1"
"jitter12","support_lock","v131_family_pilot_jitter_smoke_10_support_lock_j2_5dcbdb53","0.2363","False","Drop","3.38","6","4","0","2","3"
"jitter12","web_crossover","v131_family_pilot_jitter_smoke_11_web_crossover_j1_368bf0cb","0.288","False","Drop","2.31","5","4","0","1","3"
"jitter12","web_crossover","v131_family_pilot_jitter_smoke_12_web_crossover_j2_c7b4c9fb","0.288","True","A","4","8","4","0","2","3"
