"selected","levelId","path","sourceLevelId","coverage","canvasWidth","canvasHeight","chains","addedChains","addedCells","greedySolved","greedyInitial","greedyAvg","greedyMax","addedMeta","predOwners","succOwners","predSteps","succSteps","stepGaps","succRayOverlaps","regionKeys","rsgScore","cells"
"1","v131_support_lock_rsg_seg8_bundle4_smoke1_c001",".worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Levels\SGPRhythmLab\RootSolveGeneratorV1\support_lock_r3_seg8_bundle4_smoke1\v131_support_lock_rsg_seg8_bundle4_smoke1_c001.asset","v131_rf_support_dense_v1_r3_c003","0.2950980","30","34","51","4","23","True","3","2.451","5","rootSolveGeneratorV1","44;42;2;35","29;19;27;34","5;9;12;4","40;46;45;37","35;37;33;33","4;1;4;3","2,2|0,1;1,1;1,2|1,1|1,2","1632.800","20,29;21,29;21,30;21,31;21,32|10,24;10,23;10,22;10,21;9,21;9,20;8,20;7,20|15,15;15,14;14,14;13,14;12,14|16,28;17,28;17,27;16,27;15,27"
"1","v131_support_lock_rsg_seg8_bundle4_smoke1_c002",".worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Levels\SGPRhythmLab\RootSolveGeneratorV1\support_lock_r3_seg8_bundle4_smoke1\v131_support_lock_rsg_seg8_bundle4_smoke1_c002.asset","v131_rf_support_dense_v1_r3_c003","0.2950980","30","34","51","4","23","True","3","2.451","5","rootSolveGeneratorV1","42;2;44;35","19;27;29;34","9;12;5;4","46;45;40;37","37;33;35;33","1;4;3;3","0,1;1,1;1,2|1,1|1,2;2,2|1,2","1608.800","10,24;10,23;10,22;10,21;9,21;9,20;8,20;7,20|15,15;15,14;14,14;13,14;12,14|19,29;20,29;21,29;21,30;21,31|16,28;17,28;17,27;16,27;15,27"
"1","v131_support_lock_rsg_seg8_bundle4_smoke1_c003",".worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Levels\SGPRhythmLab\RootSolveGeneratorV1\support_lock_r3_seg8_bundle4_smoke1\v131_support_lock_rsg_seg8_bundle4_smoke1_c003.asset","v131_rf_support_dense_v1_r3_c003","0.2950980","30","34","51","4","23","True","3","2.451","5","rootSolveGeneratorV1","2;42;44;35","27;19;29;34","12;9;5;4","45;46;40;37","33;37;35;33","4;1;3;3","1,1|0,1;1,1;1,2|1,2;2,2|1,2","1604.800","15,15;15,14;14,14;13,14;12,14|10,25;10,24;10,23;10,22;10,21;9,21;8,21;7,21|19,29;20,29;21,29;21,30;21,31|16,28;17,28;17,27;16,27;15,27"
"1","v131_support_lock_rsg_seg8_bundle4_smoke1_c004",".worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Levels\SGPRhythmLab\RootSolveGeneratorV1\support_lock_r3_seg8_bundle4_smoke1\v131_support_lock_rsg_seg8_bundle4_smoke1_c004.asset","v131_rf_support_dense_v1_r3_c003","0.2980392","30","34","51","4","26","True","3","2.471","5","rootSolveGeneratorV1","42;44;2;35","19;29;27;34","9;5;12;4","46;40;45;37","37;35;33;33","1;3;2;3","0,1;1,1;1,2|1,2;2,2|1,1|1,2","1584.800","10,25;10,24;10,23;10,22;10,21;9,21;8,21;7,21|19,29;20,29;21,29;21,30;21,31|18,17;19,17;19,16;18,16;17,16;17,15;17,14;16,14|16,28;17,28;17,27;16,27;15,27"
"1","v131_support_lock_rsg_seg8_bundle4_smoke1_c005",".worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Levels\SGPRhythmLab\RootSolveGeneratorV1\support_lock_r3_seg8_bundle4_smoke1\v131_support_lock_rsg_seg8_bundle4_smoke1_c005.asset","v131_rf_support_dense_v1_r3_c003","0.2970588","30","34","51","4","25","True","3","2.471","5","rootSolveGeneratorV1","42;44;2;35","19;29;27;34","9;5;12;4","46;40;45;37","37;35;33;33","1;3;2;3","0,1;1,1;1,2|1,2;2,2|1,1|1,2","1580.800","10,23;10,22;10,21;9,21;9,20;8,20;7,20|19,29;20,29;21,29;21,30;21,31|18,17;19,17;19,16;18,16;17,16;17,15;17,14;16,14|16,28;17,28;17,27;16,27;15,27"
"1","v131_support_lock_rsg_seg8_bundle4_smoke1_c006",".worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Levels\SGPRhythmLab\RootSolveGeneratorV1\support_lock_r3_seg8_bundle4_smoke1\v131_support_lock_rsg_seg8_bundle4_smoke1_c006.asset","v131_rf_support_dense_v1_r3_c003","0.2970588","30","34","51","4","25","True","3","2.471","5","rootSolveGeneratorV1","44;42;2;35","29;19;27;34","5;9;12;4","40;46;45;37","35;37;33;33","3;1;2;3","1,2;2,2|0,1;1,1;1,2|1,1|1,2","1576.800","19,29;20,29;21,29;21,30;21,31|10,24;10,23;10,22;10,21;9,21;8,21;7,21|18,17;19,17;19,16;18,16;17,16;17,15;17,14;16,14|16,28;17,28;17,27;16,27;15,27"
"1","v131_support_lock_rsg_seg8_bundle4_smoke1_c007",".worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Levels\SGPRhythmLab\RootSolveGeneratorV1\support_lock_r3_seg8_bundle4_smoke1\v131_support_lock_rsg_seg8_bundle4_smoke1_c007.asset","v131_rf_support_dense_v1_r3_c003","0.2960784","30","34","51","4","24","True","3","2.451","5","rootSolveGeneratorV1","44;42;2;35","33;19;27;34","5;9;12;4","39;46;45;37","34;37;33;33","3;1;2;3","1,2;2,2|0,1;1,1;1,2|1,1|1,2","1563.200","19,29;20,29;21,29;21,30;21,31|10,23;10,22;10,21;9,21;8,21;7,21|18,17;19,17;19,16;18,16;17,16;17,15;17,14;16,14|16,28;17,28;17,27;16,27;15,27"
"1","v131_support_lock_rsg_seg8_bundle4_smoke1_c008",".worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Levels\SGPRhythmLab\RootSolveGeneratorV1\support_lock_r3_seg8_bundle4_smoke1\v131_support_lock_rsg_seg8_bundle4_smoke1_c008.asset","v131_rf_support_dense_v1_r3_c003","0.2990196","30","34","51","4","27","True","3","2.431","5","rootSolveGeneratorV1","42;2;35;3","19;27;34;30","9;12;4;14","46;45;37;42","37;33;33;28","1;2;3;2","0,1;1,1;1,2|1,1|1,2|1,0","1544.000","10,23;10,22;10,21;9,21;8,21;7,21|18,17;19,17;19,16;18,16;17,16;17,15;17,14;16,14|16,28;17,28;17,27;16,27;15,27|11,9;11,8;11,7;11,6;11,5;11,4;11,3;10,3"
"1","v131_support_lock_rsg_seg8_bundle4_smoke1_c009",".worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Levels\SGPRhythmLab\RootSolveGeneratorV1\support_lock_r3_seg8_bundle4_smoke1\v131_support_lock_rsg_seg8_bundle4_smoke1_c009.asset","v131_rf_support_dense_v1_r3_c003","0.2980392","30","34","51","4","26","True","3","2.412","5","rootSolveGeneratorV1","2;35;3;44","27;34;30;29","12;4;14;5","45;37;42;40","33;33;28;35","2;3;2;2","1,1|1,2|1,0|1,2;2,2","1522.400","18,17;19,17;19,16;18,16;17,16;17,15;17,14;16,14|16,28;17,28;17,27;16,27;15,27|11,9;11,8;11,7;11,6;11,5;11,4;11,3;10,3|19,29;20,29;21,29;21,28;20,28"
"1","v131_support_lock_rsg_seg8_bundle4_smoke1_c010",".worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Levels\SGPRhythmLab\RootSolveGeneratorV1\support_lock_r3_seg8_bundle4_smoke1\v131_support_lock_rsg_seg8_bundle4_smoke1_c010.asset","v131_rf_support_dense_v1_r3_c003","0.2950980","30","34","51","4","23","True","3","2.392","5","rootSolveGeneratorV1","2;35;3;44","27;34;30;29","12;4;14;5","45;37;42;40","33;33;28;35","3;3;2;2","1,1|1,2|1,0|1,2;2,2","1510.400","15,15;15,14;16,14;17,14;17,15|16,28;17,28;17,27;16,27;15,27|11,9;11,8;11,7;11,6;11,5;11,4;11,3;10,3|19,29;20,29;21,29;21,28;20,28"
