"index","levelId","file","asset","width","height","coverage","twistiness","minPathLen","maxPathLength","fixedGenerationSeed","chains","moveCount","initialMovable","arrowTiles","maxChain","difficulty","avgUnlockSteps","minChoices","avgChoices","bottleneckSteps"
"1","normal_01_22x22_seed_2001360","JSON/Normal_01_22x22_seed2001360_steps49.json","Normal_01_22x22_seed2001360_steps49.asset","22","22","0.9","0.8","4","20","2001360","49","49","8","366","19","551","2.073","1","9.286","7"
"2","normal_02_22x22_seed_2001507","JSON/Normal_02_22x22_seed2001507_steps55.json","Normal_02_22x22_seed2001507_steps55.asset","22","22","0.9","0.8","4","20","2001507","55","55","8","382","20","579","1.979","1","7.945","5"
"3","normal_03_22x22_seed_2004938","JSON/Normal_03_22x22_seed2004938_steps51.json","Normal_03_22x22_seed2004938_steps51.asset","22","22","0.9","0.8","4","20","2004938","51","51","8","360","20","545","1.93","1","7.706","5"
"4","normal_04_22x22_seed_2010820","JSON/Normal_04_22x22_seed2010820_steps56.json","Normal_04_22x22_seed2010820_steps56.asset","22","22","0.9","0.8","4","20","2010820","56","56","8","400","20","600","2","1","13.089","7"
"5","normal_05_22x22_seed_2022906","JSON/Normal_05_22x22_seed2022906_steps51.json","Normal_05_22x22_seed2022906_steps51.asset","22","22","0.9","0.8","4","20","2022906","51","51","8","366","20","544","1.674","1","8.588","4"
"6","normal_06_22x22_seed_2023738","JSON/Normal_06_22x22_seed2023738_steps50.json","Normal_06_22x22_seed2023738_steps50.asset","22","22","0.9","0.8","4","20","2023738","50","50","8","366","20","542","1.714","1","9.7","3"
"7","normal_07_22x22_seed_2028512","JSON/Normal_07_22x22_seed2028512_steps50.json","Normal_07_22x22_seed2028512_steps50.asset","22","22","0.9","0.8","4","20","2028512","50","50","7","382","20","574","1.651","1","11.12","4"
"8","normal_08_22x22_seed_2028727","JSON/Normal_08_22x22_seed2028727_steps56.json","Normal_08_22x22_seed2028727_steps56.asset","22","22","0.9","0.8","4","20","2028727","56","56","6","385","18","623","1.7","1","10.768","2"
"9","normal_09_22x22_seed_2038782","JSON/Normal_09_22x22_seed2038782_steps47.json","Normal_09_22x22_seed2038782_steps47.asset","22","22","0.9","0.8","4","20","2038782","47","47","8","355","20","533","2","1","10.468","3"
"10","normal_10_22x22_seed_2044545","JSON/Normal_10_22x22_seed2044545_steps51.json","Normal_10_22x22_seed2044545_steps51.asset","22","22","0.9","0.8","4","20","2044545","51","51","7","383","20","585","1.864","1","9.039","6"
"11","normal_11_22x22_seed_2044951","JSON/Normal_11_22x22_seed2044951_steps50.json","Normal_11_22x22_seed2044951_steps50.asset","22","22","0.9","0.8","4","20","2044951","50","50","8","374","19","567","2.262","1","8.24","5"
"12","normal_12_22x22_seed_2049039","JSON/Normal_12_22x22_seed2049039_steps51.json","Normal_12_22x22_seed2049039_steps51.asset","22","22","0.9","0.8","4","20","2049039","51","51","8","362","20","550","2.023","1","11.667","2"
"13","normal_13_22x22_seed_2050054","JSON/Normal_13_22x22_seed2050054_steps52.json","Normal_13_22x22_seed2050054_steps52.asset","22","22","0.9","0.8","4","20","2050054","52","52","8","374","17","561","1.886","1","9.269","5"
"14","normal_14_22x22_seed_2053440","JSON/Normal_14_22x22_seed2053440_steps52.json","Normal_14_22x22_seed2053440_steps52.asset","22","22","0.9","0.8","4","20","2053440","52","52","7","385","20","586","1.733","1","8.731","5"
"15","normal_15_22x22_seed_2053557","JSON/Normal_15_22x22_seed2053557_steps57.json","Normal_15_22x22_seed2053557_steps57.asset","22","22","0.9","0.8","4","20","2053557","57","57","8","379","18","575","1.796","1","11.333","3"
"16","normal_16_22x22_seed_2054680","JSON/Normal_16_22x22_seed2054680_steps53.json","Normal_16_22x22_seed2054680_steps53.asset","22","22","0.9","0.8","4","20","2054680","53","53","7","383","20","602","2.261","1","10.83","3"
"17","normal_17_22x22_seed_4000572","JSON/Normal_17_22x22_seed4000572_steps53.json","Normal_17_22x22_seed4000572_steps53.asset","22","22","0.9","0.8","4","20","4000572","53","53","8","367","20","560","2","1","11.585","4"
"18","normal_18_22x22_seed_4003795","JSON/Normal_18_22x22_seed4003795_steps57.json","Normal_18_22x22_seed4003795_steps57.asset","22","22","0.9","0.8","4","20","4003795","57","57","8","376","19","574","1.857","1","13.842","3"
"19","normal_19_22x22_seed_4005496","JSON/Normal_19_22x22_seed4005496_steps50.json","Normal_19_22x22_seed4005496_steps50.asset","22","22","0.9","0.8","4","20","4005496","50","50","7","371","20","580","2.209","1","7.76","7"
"20","normal_20_22x22_seed_4008881","JSON/Normal_20_22x22_seed4008881_steps51.json","Normal_20_22x22_seed4008881_steps51.asset","22","22","0.9","0.8","4","20","4008881","51","51","8","370","20","556","1.953","1","10.863","4"
