Index,Kind,LevelId,AssetPath,Width,Height,Chains,Arrows,Coverage,InitialOpeners,GreedyMoves,MaxChain,Status
1,CircuitMaze,arch_linework_01_circuit_v1,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_01_circuit_v1.asset,26,36,0,0,0,0,0,0,GreedyFailed
2,ParallelCorridor,arch_linework_02_corridor_v1,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_02_corridor_v1.asset,27,36,49,377,0.388,9,49,10,ok
3,NestedRooms,arch_linework_03_rooms_v1,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_03_rooms_v1.asset,25,36,0,0,0,0,0,0,GreedyFailed
4,CircuitMaze,arch_linework_04_circuit_v2,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_04_circuit_v2.asset,27,37,41,311,0.311,12,41,10,ok
5,ParallelCorridor,arch_linework_05_corridor_v2,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_05_corridor_v2.asset,28,37,52,419,0.404,10,52,10,ok
6,NestedRooms,arch_linework_06_rooms_v2,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_06_rooms_v2.asset,26,37,0,0,0,0,0,0,GreedyFailed
7,CircuitMaze,arch_linework_07_circuit_v3,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_07_circuit_v3.asset,28,38,43,363,0.341,11,43,13,ok
8,ParallelCorridor,arch_linework_08_corridor_v3,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_08_corridor_v3.asset,27,38,51,401,0.391,10,51,10,ok
9,NestedRooms,arch_linework_09_rooms_v3,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_09_rooms_v3.asset,27,38,0,0,0,0,0,0,GreedyFailed
10,CircuitMaze,arch_linework_10_circuit_v4,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_10_circuit_v4.asset,26,39,0,0,0,0,0,0,GreedyFailed
11,ParallelCorridor,arch_linework_11_corridor_v4,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_11_corridor_v4.asset,28,39,54,436,0.399,12,54,10,ok
12,NestedRooms,arch_linework_12_rooms_v4,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_12_rooms_v4.asset,25,39,36,278,0.285,3,36,11,ok
13,CircuitMaze,arch_linework_13_circuit_v5,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_13_circuit_v5.asset,27,36,0,0,0,0,0,0,GreedyFailed
14,ParallelCorridor,arch_linework_14_corridor_v5,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_14_corridor_v5.asset,27,36,54,419,0.431,11,54,10,ok
15,NestedRooms,arch_linework_15_rooms_v5,Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_15_rooms_v5.asset,26,36,0,0,0,0,0,0,GreedyFailed
