order,assetPath,levelId,assetName,type,levelType,difficulty,stage,width,height,chains,arrowCells,validationStatus,validationFlags,shapeId
1,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,tutorial_simple_01_hi,TutorialSimple01Hi,tutorial,普通,1,1-50,10,7,6,21,Yellow,HardBottleneckHeavy,
2,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,seed_Arrowz_level_035_holeblock_multiseed_final,hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152,hole_rescue,hole,1,1-50,16,18,22,130,Green,BottleneckHeavy,
3,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,level3_tiny_03_level3_tiny_mini_maze_17,level3_tiny_03_level3_tiny_mini_maze_17,normal,普通,1,1-50,9,14,19,122,Green,None,
4,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446,shape,普通,1,1-50,20,24,30,327,Green,None,shape_early_prop01_crystal_ball
5,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,nomask_style_01_hui_spiral,nomask_style_01_hui_spiral,normal,普通,1,1-50,16,23,26,364,Green,None,
6,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449,shape,普通,1,1-50,26,18,32,369,Green,BottleneckHeavy,shape_early_prop02_eraser
7,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,nomask_style_expansion_08_double_room_lock_b,nomask_style_expansion_08_double_room_lock_b,lock,普通,1,1-50,18,24,39,424,Green,None,
8,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,nomask_08_dual_zone,nomask_08_dual_zone,normal,普通,1,1-50,16,22,46,347,Green,None,
9,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450,shape,普通,1,1-50,22,22,32,194,Green,ShapeLowFill,shape_early_prop03_ruler
10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,lock,普通,2,1-50,14,27,60,372,Green,PeakTooFlat,
