packLabel,packPath,indexInPack,campaignOrder,status,leakScore,hardeningBudget,flags,recommendedOperators,levelId,assetPath,bucket,type,relativeDifficulty,slotRole,width,height,chains,arrowTiles,blockTiles,boardFill,playableFill,avgChainLength,maxChainLength,greedySolved,greedySteps,tuningDifficultyScore,initialClearableChains,openingChoices,openingGoodMoves,openingGoodMoveRatio,avgChoices,maxChoices,earlyAvgChoices,earlyMaxChoices,bottleneckRatio,forcedMoveRatio,avgClearPerMove,avgNewUnlocksPerMove,largestUnlockBurst,choiceWaveStdDev,averageStepsToNextUnlock,dependencyDepthProxy,directOuterExits,directClearableOuterExits,directOuterExitRatio,directClearableOuterExitRatio,longRayOuterExits,edgeShortChains,edgeShortDirectOuterExits,boundaryStraightOuterExits,earlyEntropyClass,entropyCurve,details
candidate_pool,Assets/ArrowMagic/SOData/Packs/Campaign500/SingleLevelCandidatePoolPack.asset,1,,Ok,60,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy,redirect_outer_heads,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Campaign500SingleLevelPool/CandidatePool/candidate_L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset,,,,,16,18,22,130,72,0.451,0.602,5.909,15,True,22,248,6,6,2,0.333,3.727,6,4.5,6,0.455,0.045,5.909,0.727,3,1.286,1.5,1.5,6,6,0.273,0.273,0,0,0,0,controlled,6>5>4>4>5>6>5>4>3>3>5>4>3>2>2>3>...,
candidate_pool,Assets/ArrowMagic/SOData/Packs/Campaign500/SingleLevelCandidatePoolPack.asset,2,,Ok,75,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy,redirect_outer_heads,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/Campaign500SingleLevelPool/CandidatePool/candidate_L003_level3_tiny_03_level3_tiny_mini_maze_17.asset,,,,,9,14,19,122,0,0.968,0.968,6.421,9,True,19,245,5,5,4,0.8,4.632,7,5,7,0.158,0.053,6.421,0.737,3,1.596,1.571,1.571,5,5,0.263,0.263,0,1,1,1,controlled,5>4>4>6>5>5>5>4>5>7>7>7>6>5>4>3>...,
candidate_pool,Assets/ArrowMagic/SOData/Packs/Campaign500/SingleLevelCandidatePoolPack.asset,3,,Ok,235,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|TooManyGoodOpeners,redirect_outer_heads|gate_opening_choices,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/Campaign500SingleLevelPool/CandidatePool/candidate_L011_level3_thirty_03_level3_thirty_mini_maze_30.asset,,,,,12,18,31,209,0,0.968,0.968,6.742,11,True,31,338,9,9,6,0.667,5.516,10,8.6,10,0.226,0.032,6.742,0.71,3,2.5,2,2,9,9,0.29,0.29,0,3,1,1,controlled,9>8>9>10>9>9>9>8>8>7>6>7>6>6>5>5>...,
candidate_pool,Assets/ArrowMagic/SOData/Packs/Campaign500/SingleLevelCandidatePoolPack.asset,4,,Ok,141,0,BoundaryLeak|DirectEscapeLeak|ChoiceExplosion,redirect_outer_heads|gate_opening_choices,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Campaign500SingleLevelPool/CandidatePool/candidate_L017_r1_ab_091_above300_level_571_final_holeblock_multiseed_final.asset,,,,,18,20,37,195,72,0.542,0.677,5.27,11,True,37,334,8,8,3,0.375,3.351,8,5.9,8,0.541,0.216,5.27,0.784,2,2.003,1.552,1.552,8,8,0.216,0.216,0,0,0,0,controlled,8>8>7>6>6>5>6>5>4>4>4>5>5>4>3>3>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,1,1,Ok,61,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy,redirect_outer_heads,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,refresh,tutorial,,,10,7,6,21,0,0.3,0.3,3.5,5,True,6,126,4,4,2,0.5,2,4,2,4,0.833,0.5,3.5,0.333,1,1.155,2.5,2.5,4,4,0.667,0.667,0,0,0,0,controlled,4>3>2>1>1>1,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,2,2,Ok,60,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy,redirect_outer_heads,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,front20,hole_rescue,,,16,18,22,130,72,0.451,0.602,5.909,15,True,22,248,6,6,2,0.333,3.727,6,4.5,6,0.455,0.045,5.909,0.727,3,1.286,1.5,1.5,6,6,0.273,0.273,0,0,0,0,controlled,6>5>4>4>5>6>5>4>3>3>5>4>3>2>2>3>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,3,3,Ok,75,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy,redirect_outer_heads,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,front20,normal,,,9,14,19,122,0,0.968,0.968,6.421,9,True,19,245,5,5,4,0.8,4.632,7,5,7,0.158,0.053,6.421,0.737,3,1.596,1.571,1.571,5,5,0.263,0.263,0,1,1,1,controlled,5>4>4>6>5>5>5>4>5>7>7>7>6>5>4>3>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,4,4,Ok,49,0,BoundaryLeak|DirectEscapeLeak,redirect_outer_heads,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,refresh,shape,,,20,24,30,327,0,0.681,0.681,10.9,20,True,30,497,5,5,4,0.8,4.967,9,6.3,9,0.2,0.033,10.9,0.833,3,2.025,1.68,1.68,5,5,0.167,0.167,4,0,0,0,controlled,5>6>7>6>5>4>5>7>9>9>8>7>7>6>5>5>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,5,5,Ok,173,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion,redirect_outer_heads|gate_opening_choices,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,refresh,normal,,,16,23,26,364,0,0.989,0.989,14,204,True,26,482,8,8,4,0.5,6.846,10,8.1,10,0.231,0.038,14,0.692,3,2.413,1.778,1.778,8,8,0.308,0.308,0,1,0,0,controlled,8>8>7>7>8>8>10>9>8>8>10>10>9>8>7>8>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,6,6,Ok,0,0,None,redirect_outer_heads,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,refresh,shape,,,26,18,32,369,0,0.788,0.788,11.531,20,True,32,574,4,4,3,0.75,3.781,7,4.3,7,0.531,0.094,11.531,0.875,3,1.672,1.5,1.5,4,4,0.125,0.125,0,0,0,0,controlled,4>3>4>3>3>5>4>4>6>7>7>6>7>6>5>4>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,7,7,LowLeak,296,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion,redirect_outer_heads|gate_opening_choices,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,refresh,lock,,,18,24,39,424,0,0.981,0.981,10.872,90,True,39,542,14,14,6,0.429,8.41,15,12.8,15,0.256,0.026,10.872,0.641,3,3.521,2.08,2.08,14,14,0.359,0.359,0,1,1,1,front_loaded_flat,14>15>14>13>12>11>12>11>13>13>12>12>11>10>10>9>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,8,8,LowLeak,299,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|TooManyGoodOpeners,redirect_outer_heads|gate_opening_choices,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,normal,normal,,,16,22,46,347,0,0.986,0.986,7.543,13,True,46,473,13,13,8,0.615,7.457,13,10.1,13,0.239,0.022,7.543,0.717,3,2.811,1.848,1.848,13,13,0.283,0.283,0,1,1,2,front_loaded_flat,13>13>12>11>11>10>9>8>7>7>9>8>7>7>6>7>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,9,9,Ok,169,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion,redirect_outer_heads|gate_opening_choices,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,refresh,shape,,,22,22,32,194,0,0.401,0.401,6.063,14,True,32,328,8,8,3,0.375,6.313,10,8.7,10,0.281,0.031,6.063,0.75,4,2.157,1.792,1.792,8,8,0.25,0.25,7,0,0,0,controlled,8>8>7>10>9>8>10>10>9>8>7>7>6>7>7>7>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,10,10,Ok,220,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|TooManyGoodOpeners,redirect_outer_heads|gate_opening_choices,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,hard,lock,,,14,27,60,372,0,0.984,0.984,6.2,9,True,60,544,10,10,9,0.9,5.083,10,7.4,10,0.267,0.017,6.2,0.833,5,1.917,1.72,1.72,10,10,0.167,0.167,0,0,0,0,front_loaded_flat,10>10>9>8>8>7>6>6>5>5>4>8>7>6>5>5>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,11,11,Ok,235,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|TooManyGoodOpeners,redirect_outer_heads|gate_opening_choices,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset,front20,normal,,,12,18,31,209,0,0.968,0.968,6.742,11,True,31,338,9,9,6,0.667,5.516,10,8.6,10,0.226,0.032,6.742,0.71,3,2.5,2,2,9,9,0.29,0.29,0,3,1,1,controlled,9>8>9>10>9>9>9>8>8>7>6>7>6>6>5>5>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,12,12,LowLeak,296,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion,redirect_outer_heads|gate_opening_choices,nomask_style_expansion_23_center_cross_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,refresh,normal,,,17,24,50,400,0,0.98,0.98,8,13,True,50,522,15,15,8,0.533,5.74,15,10.6,15,0.22,0.02,8,0.7,3,3.019,1.829,1.829,15,15,0.3,0.3,0,1,0,2,front_loaded_flat,15>14>13>12>11>10>9>8>7>7>7>7>6>6>6>5>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,13,13,LowLeak,349,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency,redirect_outer_heads|gate_opening_choices|inject_region_gate,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,refresh,shape,,,24,24,37,201,0,0.349,0.349,5.432,11,True,37,305,15,15,8,0.533,8.946,16,13.5,16,0.216,0.027,5.432,0.595,3,3.548,1.818,1.818,15,15,0.405,0.405,12,1,1,0,front_loaded_flat,15>16>15>14>14>13>13>12>12>11>10>9>8>7>6>6>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,14,14,LowLeak,309,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency|TooManyGoodOpeners,redirect_outer_heads|gate_opening_choices|inject_region_gate,nomask_06_sweep,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,refresh,normal,,,15,21,42,310,0,0.984,0.984,7.381,12,True,42,453,10,10,7,0.7,9.524,16,13.7,16,0.119,0.024,7.381,0.762,5,3.554,1.969,1.969,10,10,0.238,0.238,0,0,0,0,front_loaded_flat,10>14>14>16>15>14>15>14>13>12>11>12>12>11>13>12>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,15,15,LowLeak,350,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|BoundaryStraightLeak|ChoiceExplosion|WeakDependency,redirect_outer_heads|wrap_boundary_straights|gate_opening_choices|inject_region_gate,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,refresh,section,,,14,26,53,355,0,0.975,0.975,6.698,11,True,53,491,13,13,5,0.385,9.321,15,14.1,15,0.264,0.019,6.698,0.755,4,3.674,1.825,1.825,13,13,0.245,0.245,0,3,1,3,front_loaded_flat,13>13>13>15>15>14>15>15>14>14>13>12>11>14>13>12>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,16,16,Ok,216,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion,redirect_outer_heads|gate_opening_choices,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,normal,lock,,,15,29,54,426,0,0.979,0.979,7.889,13,True,54,572,12,12,6,0.5,4.87,12,8.8,12,0.389,0.019,7.889,0.778,4,2.517,1.881,1.881,12,12,0.222,0.222,0,0,0,0,front_loaded_flat,12>11>10>9>8>8>8>7>8>7>6>5>6>7>6>6>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,17,17,Ok,141,0,BoundaryLeak|DirectEscapeLeak|ChoiceExplosion,redirect_outer_heads|gate_opening_choices,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,front20,hole_rescue,,,18,20,37,195,72,0.542,0.677,5.27,11,True,37,334,8,8,3,0.375,3.351,8,5.9,8,0.541,0.216,5.27,0.784,2,2.003,1.552,1.552,8,8,0.216,0.216,0,0,0,0,controlled,8>8>7>6>6>5>6>5>4>4>4>5>5>4>3>3>...,
