campaignOrder,variant,sourcePath,assetPath,acceptedOps,operations,beforeStatus,afterStatus,beforeScore,afterScore,deltaScore,beforeChains,afterChains,beforeArrowTiles,afterArrowTiles,beforeOpening,afterOpening,beforeEarlyAvg,afterEarlyAvg,beforeAvgChoices,afterAvgChoices,beforeOuter,afterOuter,beforeDependency,afterDependency,greedySolved
425,skipped_v8,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05.asset,,0,skip_size_or_low_opening_for_opening_rewire_gate_probe,HighLeak,HighLeak,676,676,0,213,213,1320,1320,27,27,27.9,27.9,18.343,18.343,27,27,1.624,1.624,True
387,skipped_v8,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,,1,not_opening_rewire_gate_enough:fallbackOpeningGate:openingGate:t40:openingClosedB_closedBendF3:path 1433-1391-1392:score 662->601:chains 149->150:tiles 1096->1099:open 34->31:outer 34->31:avg 15.799->13.053,HighLeak,MediumLeak,662,601,-61,149,150,1096,1099,34,31,30.9,27.6,15.799,13.053,34,31,1.896,1.958,True
474,skipped_v8,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06.asset,,0,not_opening_rewire_gate_enough:none,MediumLeak,MediumLeak,625,625,0,178,178,1124,1124,25,25,25.6,25.6,15.899,15.899,25,25,1.673,1.673,True
183,skipped_v8,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,,1,not_opening_rewire_gate_enough:fallbackOpeningGate:openingGate:t59:openingClosedA_closedBendF3:path 1355-1313-1312:score 622->582:chains 103->104:tiles 749->752:open 31->28:outer 31->28:avg 13.825->12.75,MediumLeak,MediumLeak,622,582,-40,103,104,749,752,31,28,29.2,26.6,13.825,12.75,31,28,1.833,1.868,True
494,skipped_v8,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01.asset,,0,skip_size_or_low_opening_for_opening_rewire_gate_probe,MediumLeak,MediumLeak,604,604,0,192,192,1138,1138,27,27,26.3,26.3,15.766,15.766,27,27,1.842,1.842,True
405,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V8/hardening_L405_original_20260625_092655.asset,0,copy,MediumLeak,MediumLeak,602,602,0,170,170,1050,1050,25,25,26.2,26.2,15.906,15.906,25,25,1.6,1.6,True
405,opening_rewire_gate_v8,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V8/hardening_L405_opening_rewire_gate_20260625_092655.asset,4,openingRewire:3+18:adjacentMerge:bridge 0:path 10+0+10->20:score 602->561:chains 170->169:tiles 1050->1050:open 25->23:outer 25->23:avg 15.906->14.58|openingRewire:27+29:bridgeRewire:bridge 1:path 10+1+10->21:score 561->505:chains 169->168:tiles 1050->1051:open 23->21:outer 23->21:avg 14.58->12.44|openingRewire:10+1:adjacentMerge:bridge 0:path 8+0+8->16:score 505->455:chains 168->167:tiles 1051->1051:open 21->19:outer 21->19:avg 12.44->11.198|openingRewire:30+24:adjacentMerge:bridge 0:path 8+0+7->15:score 455->413:chains 167->166:tiles 1051->1051:open 19->17:outer 19->17:avg 11.198->10.663,MediumLeak,LowLeak,602,413,-189,170,166,1050,1051,25,17,26.2,18.6,15.906,10.663,25,17,1.6,1.631,True
490,skipped_v8,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03.asset,,0,skip_size_or_low_opening_for_opening_rewire_gate_probe,MediumLeak,MediumLeak,601,601,0,199,199,1198,1198,28,28,27,27,14.643,14.643,28,28,1.696,1.696,True
343,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V8/hardening_L343_original_20260625_092655.asset,0,copy,MediumLeak,MediumLeak,600,600,0,135,135,966,966,31,31,28.2,28.2,12.385,12.385,31,31,1.923,1.923,True
343,opening_rewire_gate_v8,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V8/hardening_L343_opening_rewire_gate_20260625_092655.asset,2,openingRewire:25+32:bridgeRewire:bridge 3:path 12+3+10->25:score 600->564:chains 135->134:tiles 966->969:open 31->28:outer 31->28:avg 12.385->11.731|fallbackOpeningGate:openingGate:t57:openingClosedA_closedBendF3:path 299-337-338:score 564->531:chains 134->135:tiles 969->972:open 28->26:outer 28->26:avg 11.731->10.052,MediumLeak,MediumLeak,600,531,-69,135,135,966,972,31,26,28.2,24.5,12.385,10.052,31,26,1.923,1.817,True
