campaignOrder,variant,sourcePath,assetPath,acceptedOps,operations,beforeStatus,afterStatus,beforeScore,afterScore,deltaScore,beforeChains,afterChains,beforeArrowTiles,afterArrowTiles,beforeOpening,afterOpening,beforeEarlyAvg,afterEarlyAvg,beforeAvgChoices,afterAvgChoices,beforeOuter,afterOuter,beforeDirectOuter,afterDirectOuter,beforeDependency,afterDependency,greedySolved
425,skipped_v9,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05.asset,,0,skip_size_or_low_opening_for_opening_outer_rewire_gate_probe,HighLeak,HighLeak,676,676,0,213,213,1320,1320,27,27,27.9,27.9,18.343,18.343,27,27,27,27,1.624,1.624,True
387,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V9/hardening_L387_original_20260625_094626.asset,0,copy,HighLeak,HighLeak,662,662,0,149,149,1096,1096,34,34,30.9,30.9,15.799,15.799,34,34,34,34,1.896,1.896,True
387,opening_outer_rewire_gate_v9,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V9/hardening_L387_opening_outer_rewire_gate_20260625_094626.asset,9,outerInward:bulkFlip:4:directOuter 34->30:clearOuter 34->30:open 34->30:avg 15.799->13.919|bulkFlip:3:directOuter 30->27:clearOuter 30->27:open 30->27:avg 13.919->13.456|bulkFlip:2:directOuter 27->25:clearOuter 27->25:open 27->25:avg 13.456->12.94,HighLeak,MediumLeak,662,536,-126,149,149,1096,1096,34,25,30.9,22.6,15.799,12.94,34,25,34,25,1.896,1.75,True
474,skipped_v9,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06.asset,,8,not_opening_outer_rewire_gate_enough:outerInward:bulkFlip:4:directOuter 25->21:clearOuter 25->21:open 25->21:avg 15.899->15|bulkFlip:2:directOuter 21->20:clearOuter 21->20:open 21->20:avg 15->14|bulkFlip:2:directOuter 20->18:clearOuter 20->18:open 20->18:avg 14->12.904,MediumLeak,MediumLeak,625,453,-172,178,178,1124,1124,25,18,25.6,19.4,15.899,12.904,25,18,25,18,1.673,1.644,True
183,skipped_v9,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,,4,not_opening_outer_rewire_gate_enough:outerInward:bulkFlip:4:directOuter 31->29:clearOuter 31->29:open 31->29:avg 13.825->12.854,MediumLeak,MediumLeak,622,617,-5,103,103,749,749,31,29,29.2,27.2,13.825,12.854,31,29,31,29,1.833,1.824,True
494,skipped_v9,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01.asset,,0,skip_size_or_low_opening_for_opening_outer_rewire_gate_probe,MediumLeak,MediumLeak,604,604,0,192,192,1138,1138,27,27,26.3,26.3,15.766,15.766,27,27,27,27,1.842,1.842,True
405,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V9/hardening_L405_original_20260625_094626.asset,0,copy,MediumLeak,MediumLeak,602,602,0,170,170,1050,1050,25,25,26.2,26.2,15.906,15.906,25,25,25,25,1.6,1.6,True
405,opening_outer_rewire_gate_v9,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V9/hardening_L405_opening_outer_rewire_gate_20260625_094626.asset,9,openingRewire:3+18:adjacentMerge:bridge 0:path 10+0+10->20:score 602->561:chains 170->169:tiles 1050->1050:open 25->23:outer 25->23:avg 15.906->14.58|openingRewire:27+29:bridgeRewire:bridge 1:path 10+1+10->21:score 561->505:chains 169->168:tiles 1050->1051:open 23->21:outer 23->21:avg 14.58->12.44|openingRewire:10+1:adjacentMerge:bridge 0:path 8+0+8->16:score 505->455:chains 168->167:tiles 1051->1051:open 21->19:outer 21->19:avg 12.44->11.198|outerInward:bulkFlip:3:directOuter 19->17:clearOuter 19->17:open 19->17:avg 11.198->10.401|bulkFlip:1:directOuter 17->16:clearOuter 17->16:open 17->16:avg 10.401->9.707|bulkFlip:2:directOuter 16->15:clearOuter 16->15:open 16->15:avg 9.707->9.485,MediumLeak,LowLeak,602,353,-249,170,167,1050,1051,25,15,26.2,16.5,15.906,9.485,25,15,25,15,1.6,1.612,True
490,skipped_v9,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03.asset,,0,skip_size_or_low_opening_for_opening_outer_rewire_gate_probe,MediumLeak,MediumLeak,601,601,0,199,199,1198,1198,28,28,27,27,14.643,14.643,28,28,28,28,1.696,1.696,True
343,skipped_v9,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,,3,not_opening_outer_rewire_gate_enough:openingRewire:25+32:bridgeRewire:bridge 3:path 12+3+10->25:score 600->564:chains 135->134:tiles 966->969:open 31->28:outer 31->28:avg 12.385->11.731|outerInward:bulkFlip:2:directOuter 28->26:clearOuter 28->26:open 28->26:avg 11.731->11.485,MediumLeak,MediumLeak,600,545,-55,135,134,966,969,31,26,28.2,24.3,12.385,11.485,31,26,31,26,1.923,1.815,True
