order,excelRow,mainMissionId,missionType,levelName,excelDifficultyBeforeWriteback,excelDifficultyAfterWriteback,excelDifficultyAfter,oldLevelId,oldAssetPath,oldSize,oldChains,oldArrowTiles,oldBlockTiles,oldPlayableFill,oldDifficultyBefore,oldDifficultyScore,oldStatus,oldFlags,newLevelId,newAssetPath,newSize,newChains,newArrowTiles,newBlockTiles,newPlayableFill,newDifficultyAfter,newDifficultyScore,newStatus,newFlags,openingGoodMoves,bottleneckStepRatio,lowClearRatio,note
151,156,251,2,Main/Level_Main_151_hole,2,3,3,hole_candidate_060_tall_20x28_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_060_tall_20x28_lock.asset,20x28,51,476,72,0.975,1,153,Yellow,GrindyLowClear,hole_highchain_016_hc_30x28_dual_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_016_hc_30x28_dual_a.asset,30x28,80,750,72,0.977,3,201,Yellow,StartFakeWide|BottleneckHeavy,4.0,0.45,0.138,v2 mid-stage stronger hole; yellow pressure acceptable if no red
192,197,292,2,Main/Level_Main_192_hole,2,3,3,hole_candidate_063_tall_20x30_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_063_tall_20x30_lock.asset,20x30,54,511,72,0.968,1,118,Yellow,GrindyLowClear,hole_highchain_017_hc_28x30_dense_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_017_hc_28x30_dense_a.asset,28x30,82,753,72,0.980,3,235,Yellow,StartFakeWide,2.0,0.341,0.122,v2 second 150-200 pressure sample
242,247,342,2,Main/Level_Main_242_hole,2,1,1,hole_candidate_073_wide_28x22_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_073_wide_28x22_section.asset,28x22,58,529,72,0.972,1,74,Green,BottleneckHeavy,hole_highchain_004_hc_32x28_dual_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_004_hc_32x28_dual_a.asset,32x28,83,802,72,0.973,1,109,Green,None,7.0,0.349,0.06,v2 early 200s hole pressure
267,272,367,2,Main/Level_Main_267_hole,2,1,1,hole_candidate_025_std_22x28_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_025_std_22x28_section.asset,22x28,61,533,72,0.980,1,169,Green,None,hole_highchain_extra_001_hc2_32x28_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset,32x28,82,809,72,0.982,1,179,Green,BottleneckHeavy,6.0,0.439,0.159,v2 late 200s hole pressure
301,306,401,2,Main/Level_Main_301_hole,3,2,2,hole_topup_033_topup_std_26x28_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_033_topup_std_26x28_dual.asset,26x28,65,642,72,0.979,1,172,Green,BottleneckHeavy,hole_highchain_014_hc_34x28_shell_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_014_hc_34x28_shell_a.asset,34x28,87,859,72,0.976,2,250,Yellow,BottleneckHeavy|GrindyLowClear,3.0,0.46,0.149,v2 first 300s higher-hole check
335,340,435,2,Main/Level_Main_335_hole,3,2,2,hole_topup_049_topup_wide_30x24_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_049_topup_wide_30x24_maze.asset,30x24,67,635,72,0.980,1,115,Green,None,hole_highchain_extra_003_hc2_32x28_lock_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_003_hc2_32x28_lock_a.asset,32x28,89,810,72,0.983,2,230,Yellow,BottleneckHeavy|GrindyLowClear,6.0,0.461,0.18,v2 mid 300s higher-hole check
367,372,467,2,Main/Level_Main_367_hole,3,1,1,hole_candidate_078_wide_30x26_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_078_wide_30x26_lock.asset,30x26,72,690,72,0.975,1,106,Green,None,hole_highchain_010_hc_34x26_dual_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_010_hc_34x26_dual_a.asset,34x26,85,796,72,0.980,1,161,Green,BottleneckHeavy,4.0,0.518,0.129,v2 replaces red section candidate with steadier dual candidate
392,397,492,2,Main/Level_Main_392_hole,3,2,2,hole_candidate_042_std_26x28_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_042_std_26x28_lock.asset,26x28,75,644,72,0.982,1,141,Green,None,hole_highchain_extra_019_hc2_34x28_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_019_hc2_34x28_dual_b.asset,34x28,87,864,72,0.982,2,229,Green,None,2.0,0.414,0.138,v2 late 300s second sample
451,456,551,2,Main/Level_Main_451_hole,3,1,1,hole_candidate_030_std_24x28_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_030_std_24x28_lock.asset,24x28,64,588,72,0.980,1,145,Green,BottleneckHeavy,hole_highchain_extra_016_hc2_32x30_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_016_hc2_32x30_dual_b.asset,32x30,91,872,72,0.982,1,141,Yellow,GrindyLowClear,6.0,0.253,0.198,v2 first 400+ stronger hole
492,497,592,2,Main/Level_Main_492_hole,2,2,2,hole_candidate_041_std_26x26_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_041_std_26x26_maze.asset,26x26,63,588,72,0.974,1,179,Yellow,GrindyLowClear,hole_highchain_extra_018_hc2_32x30_lock_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_018_hc2_32x30_lock_a.asset,32x30,90,866,72,0.975,2,230,Yellow,StartFakeWide|BottleneckHeavy,2.0,0.422,0.078,v2 late campaign stronger hole
