order,stage,currentDifficulty,proposedDifficulty,difficultyDelta,reviewWarnings,evidenceScore,difficultyScore,difficultyScorePctInStage,chainPctInStage,bottleneckPctInStage,grindPctInStage,openerPressureInStage,levelType,type,slotRole,relativeDifficulty,chains,openingGoodMoves,openingGoodMoveRatio,avgAvailableMoves,avgGoodMoveRatio,bottleneckStepRatio,hardBottleneckStepRatio,lowClearRatio,avgClearPerMove,maxLowClearStreak,validationStatus,validationSeverity,validationFlags,shapeId,levelId,assetPath,proposalReason
1,1-50,1,1,0,MaybeTooLowByValidation|ValidationYellow:HardBottleneckHeavy,0.776,305.0,1.0,0.02,1.0,0.9,0.96,普通,tutorial,FixedFront40,Tutorial,6,2.0,0.5,2.0,0.806,0.833,0.5,0.167,3.5,1.0,Yellow,24,HardBottleneckHeavy,,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,front20_fixed_keep_label; validation evidence shown only
2,1-50,1,1,0,,0.657,194.0,0.84,0.06,0.92,1.0,0.96,hole,hole_rescue,FixedFront40,Mechanic,22,2.0,0.333,3.727,0.612,0.455,0.045,0.227,5.909,3.0,Green,14,BottleneckHeavy,,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,front20_fixed_keep_label; validation evidence shown only
3,1-50,1,1,0,,0.171,7.0,0.06,0.04,0.04,0.72,0.68,普通,normal,FixedFront40,Recovery,19,4.0,0.8,4.632,0.739,0.158,0.053,0.105,6.421,2.0,Green,0,None,,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,front20_fixed_keep_label; validation evidence shown only
4,1-50,1,1,0,,0.161,0.0,0.04,0.1,0.16,0.04,0.68,普通,shape,FixedFront40,Novelty,30,4.0,0.8,4.967,0.633,0.2,0.033,0.0,10.9,0.0,Green,0,None,shape_early_prop01_crystal_ball,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,front20_fixed_keep_label; validation evidence shown only
5,1-50,1,1,0,,0.287,44.0,0.22,0.08,0.32,0.82,0.68,普通,normal,FixedFront40,Recovery,26,4.0,0.5,6.846,0.589,0.231,0.038,0.154,14.0,2.0,Green,0,None,,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,front20_fixed_keep_label; validation evidence shown only
6,1-50,1,1,0,,0.429,72.0,0.32,0.16,0.94,0.16,0.86,普通,shape,FixedFront40,Novelty,32,3.0,0.75,3.781,0.575,0.531,0.094,0.031,11.531,1.0,Green,14,BottleneckHeavy,shape_early_prop02_eraser,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,front20_fixed_keep_label; validation evidence shown only
7,1-50,1,1,0,,0.328,48.0,0.3,0.22,0.5,0.16,0.36,普通,lock,FixedFront40,Normal,39,6.0,0.429,8.41,0.58,0.256,0.026,0.026,10.872,1.0,Green,0,None,,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,front20_fixed_keep_label; validation evidence shown only
8,1-50,1,1,0,,0.368,48.0,0.3,0.36,0.4,0.74,0.18,普通,normal,FixedFront40,Normal,46,8.0,0.615,7.457,0.537,0.239,0.022,0.13,7.543,2.0,Green,0,None,,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,front20_fixed_keep_label; validation evidence shown only
9,1-50,1,1,0,,0.609,147.0,0.72,0.16,0.62,0.98,0.86,普通,shape,FixedFront40,Novelty,32,3.0,0.375,6.313,0.619,0.281,0.031,0.219,6.063,5.0,Green,12,ShapeLowFill,shape_early_prop03_ruler,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,front20_fixed_keep_label; validation evidence shown only
10,1-50,2,2,0,,0.327,37.0,0.14,0.48,0.58,0.6,0.1,普通,lock,FixedFront40,Hard,60,9.0,0.9,5.083,0.659,0.267,0.017,0.083,6.2,3.0,Green,12,PeakTooFlat,,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,front20_fixed_keep_label; validation evidence shown only
