segmentSize,startLevel,endLevel,levelCount,cups,avgCupPerLevel,difficultyCounts
10,1,10,10,11,1.1,1:9;2:1
10,11,20,10,16,1.6,1:7;2:2;4:1
10,21,30,10,19,1.9,1:5;2:3;3:1;4:1
10,31,40,10,18,1.8,1:5;2:2;3:3
10,41,50,10,20,2.0,1:4;2:4;3:1;4:1
10,51,60,10,12,1.2,1:8;2:2
10,61,70,10,12,1.2,1:8;2:2
10,71,80,10,19,1.9,1:5;2:3;3:1;4:1
10,81,90,10,16,1.6,1:8;3:1;4:1
10,91,100,10,17,1.7,1:5;2:3;3:2
10,101,110,10,15,1.5,1:6;2:3;3:1
10,111,120,10,16,1.6,1:7;2:2;4:1
10,121,130,10,15,1.5,1:7;2:1;3:2
10,131,140,10,14,1.4,1:7;2:2;3:1
10,141,150,10,18,1.8,1:6;2:2;3:1;4:1
10,151,160,10,19,1.9,1:6;2:1;3:2;4:1
10,161,170,10,16,1.6,1:7;2:2;4:1
10,171,180,10,17,1.7,1:5;2:3;3:2
10,181,190,10,16,1.6,1:7;2:2;4:1
10,191,200,10,14,1.4,1:7;2:2;3:1
10,201,210,10,16,1.6,1:8;3:1;4:1
10,211,220,10,14,1.4,1:7;2:2;3:1
10,221,230,10,15,1.5,1:7;2:1;3:2
10,231,240,10,18,1.8,1:6;2:2;3:1;4:1
10,241,250,10,25,2.5,1:2;2:5;3:1;4:2
10,251,260,10,16,1.6,1:6;2:2;3:2
10,261,270,10,20,2.0,1:5;2:2;3:2;4:1
10,271,280,10,15,1.5,1:8;2:1;4:1
10,281,290,10,16,1.6,1:7;2:2;4:1
10,291,300,10,21,2.1,1:4;2:3;3:2;4:1
10,301,310,10,15,1.5,1:6;2:3;3:1
10,311,320,10,17,1.7,1:7;2:1;3:1;4:1
10,321,330,10,19,1.9,1:7;2:1;4:2
10,331,340,10,19,1.9,1:4;2:5;4:1
10,341,350,10,22,2.2,1:5;3:4;4:1
10,351,360,10,19,1.9,1:5;2:3;3:1;4:1
10,361,370,10,20,2.0,1:4;2:4;3:1;4:1
10,371,380,10,17,1.7,1:7;2:1;3:1;4:1
10,381,390,10,19,1.9,1:6;2:1;3:2;4:1
10,391,400,10,19,1.9,1:6;2:1;3:2;4:1
10,401,410,10,19,1.9,1:6;2:1;3:2;4:1
10,411,420,10,17,1.7,1:7;2:1;3:1;4:1
10,421,430,10,24,2.4,1:4;2:2;3:2;4:2
10,431,440,10,19,1.9,1:5;2:3;3:1;4:1
10,441,450,10,15,1.5,1:6;2:3;3:1
10,451,460,10,14,1.4,1:7;2:2;3:1
10,461,470,10,20,2.0,1:5;2:2;3:2;4:1
10,471,480,10,18,1.8,1:7;3:2;4:1
10,481,490,10,19,1.9,1:5;2:3;3:1;4:1
10,491,500,10,23,2.3,1:4;2:3;3:1;4:2
15,1,15,15,17,1.133,1:13;2:2
15,16,30,15,29,1.933,1:8;2:4;3:1;4:2
15,31,45,15,29,1.933,1:7;2:4;3:3;4:1
15,46,60,15,21,1.4,1:10;2:4;3:1
15,61,75,15,21,1.4,1:10;2:4;3:1
15,76,90,15,26,1.733,1:11;2:1;3:1;4:2
15,91,105,15,24,1.6,1:8;2:5;3:2
15,106,120,15,24,1.6,1:10;2:3;3:1;4:1
15,121,135,15,21,1.4,1:11;2:2;3:2
15,136,150,15,26,1.733,1:9;2:3;3:2;4:1
15,151,165,15,24,1.6,1:11;2:1;3:2;4:1
15,166,180,15,28,1.867,1:7;2:5;3:2;4:1
15,181,195,15,24,1.6,1:10;2:3;3:1;4:1
15,196,210,15,22,1.467,1:12;2:1;3:1;4:1
15,211,225,15,23,1.533,1:10;2:2;3:3
15,226,240,15,24,1.6,1:10;2:3;3:1;4:1
15,241,255,15,34,2.267,1:4;2:7;3:2;4:2
15,256,270,15,27,1.8,1:9;2:2;3:3;4:1
15,271,285,15,21,1.4,1:12;2:2;4:1
15,286,300,15,31,2.067,1:7;2:4;3:2;4:2
15,301,315,15,22,1.467,1:10;2:3;3:2
15,316,330,15,29,1.933,1:10;2:2;4:3
15,331,345,15,30,2.0,1:6;2:5;3:3;4:1
15,346,360,15,30,2.0,1:8;2:3;3:2;4:2
15,361,375,15,26,1.733,1:8;2:5;3:1;4:1
15,376,390,15,30,2.0,1:9;2:1;3:3;4:2
15,391,405,15,28,1.867,1:10;2:1;3:2;4:2
15,406,420,15,27,1.8,1:9;2:2;3:3;4:1
15,421,435,15,32,2.133,1:7;2:3;3:3;4:2
15,436,450,15,26,1.733,1:8;2:5;3:1;4:1
15,451,465,15,23,1.533,1:9;2:4;3:2
15,466,480,15,29,1.933,1:10;3:3;4:2
15,481,495,15,33,2.2,1:7;2:4;3:1;4:3
15,496,500,5,9,1.8,1:2;2:2;3:1
50,1,50,50,84,1.68,1:30;2:12;3:5;4:3
50,51,100,50,76,1.52,1:34;2:10;3:4;4:2
50,101,150,50,78,1.56,1:33;2:10;3:5;4:2
50,151,200,50,82,1.64,1:32;2:10;3:5;4:3
50,201,250,50,88,1.76,1:30;2:10;3:6;4:4
50,251,300,50,88,1.76,1:30;2:10;3:6;4:4
50,301,350,50,92,1.84,1:29;2:10;3:6;4:5
50,351,400,50,94,1.88,1:28;2:10;3:7;4:5
50,401,450,50,94,1.88,1:28;2:10;3:7;4:5
50,451,500,50,94,1.88,1:28;2:10;3:7;4:5
