sheet,id,field,current,proposal,note
KingsCup,1,robotCount,49,49,leaderboard keeps 49 robots + player = 50 entries
KingsCup,1,enterReward,item_8_10,item_8_10,no level-layout dependency
TrophyRule,1,normalDifficulty1,missing-in-this-workbook,1,?????1???
TrophyRule,2,hardDifficulty2,missing-in-this-workbook,2,?????2???
TrophyRule,3,veryHardDifficulty3,missing-in-this-workbook,3,???????3???
TrophyRule,4,extremeDifficulty4,missing-in-this-workbook,5,?????5???
KingsCupRobot,1,scoreDuration,"1,30","12,22",???????15???/?????
KingsCupRobot,2,scoreDuration,"1,31","20,32",???????15???????
KingsCupRobot,3,scoreDuration,"1,32","30,45",???????20-25??15????
KingsCupRobot,4,scoreDuration,"1,33","42,65",????????30-40??????
KingsCupRobotPlan,1,score,"0,100","0,999",?????????????100?????
KingsCupRobotPlan,1,robotCounts,"1_10,2_20,3_10,4_9","1_10,2_20,3_12,4_7",???????????????????
