Index,SourceBatch,SpecId,Type,Section10,Order,VariantIndex,VariantLabel,MainMissionId,LevelName,Category,RoleInSection,ProductionLane,ProductionStyleFamily,ProductionChainLanguage,ProductionDifficultyBand,ExperienceRole,ReviewOnly,StyleHint,ProfileHint,PlannedWidth,PlannedHeight,PlannedAspect,PlannedCanvasBand,PlannedTargetChains,TargetChainsMin,TargetChainsMax,ReferenceArrowTiles,ReferenceMaxChainLength,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,Campaign500NormalFullV1:w10smh,nutation_strict_mixed_hard_v1_rect_s13_o125_v00_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s13_o125_v00_strictmixedhard_mixed_chain,13,125,0,v00,225,Main/Level_Main_125,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,lock,PSG_Normal_lock_VeryHard_Pressure,23,31,0.742,M_PeelMid,93,85,93,702,13,c5nep_w10smh_01_nutation_strict_mixed_hard_v1_rect_s13_o125_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_01_nutation_strict_mixed_hard_v1_rect_s13_o125_v00_strictmixedhard_mixed_chain.asset,23,31,73,84,701,0.983,0.950,0.995,2,5,22,73,9.60,21,0.486,318,True,2,186.8,ok,271,Style=PressureHard | Score=20501 | TargetInitial=5 | OpeningRatio=0.027 | Straightness=0.486 | EarlyChoices=22.3/44 | LocalRun=8 | Jump=5.9 | NearRate=0.71 | Peel style=PressureHard seed=480268465 fill=701/713(0.983) chains=73 remaining=12 rejectedShort=0 failedPeels=1
2,Campaign500NormalFullV1:w10smh,nutation_strict_mixed_hard_v1_rect_s13_o125_v01_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s13_o125_v01_strictmixedhard_mixed_chain,13,125,1,v01,225,Main/Level_Main_125,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,lock,PSG_Normal_lock_VeryHard_Pressure,23,31,0.742,M_PeelMid,93,85,93,702,13,c5nep_w10smh_02_nutation_strict_mixed_hard_v1_rect_s13_o125_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_02_nutation_strict_mixed_hard_v1_rect_s13_o125_v01_strictmixedhard_mixed_chain.asset,23,31,76,84,702,0.985,0.950,0.980,3,9,28,76,9.24,21,0.476,328,True,3,185.5,ok,56,Style=PressureHard | Score=15180 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.476 | EarlyChoices=25.4/45 | LocalRun=6 | Jump=6.5 | NearRate=0.61 | Peel style=PressureHard seed=457760874 fill=702/713(0.985) chains=76 remaining=11 rejectedShort=0 failedPeels=1
3,Campaign500NormalFullV1:w10smh,nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain,13,125,2,v02,225,Main/Level_Main_125,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,lock,PSG_Normal_lock_VeryHard_Pressure,23,31,0.742,M_PeelMid,93,85,93,702,13,c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset,23,31,75,84,703,0.986,0.950,0.980,5,6,23,75,9.37,21,0.477,338,True,5,186.4,ok,113,Style=PressureHard | Score=14240 | TargetInitial=5 | OpeningRatio=0.067 | Straightness=0.477 | EarlyChoices=26.5/62 | LocalRun=6 | Jump=10.0 | NearRate=0.52 | Peel style=PressureHard seed=463739571 fill=703/713(0.986) chains=75 remaining=10 rejectedShort=0 failedPeels=1
4,Campaign500NormalFullV1:w10smh,nutation_strict_mixed_hard_v1_rect_s13_o125_v03_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s13_o125_v03_strictmixedhard_mixed_chain,13,125,3,v03,225,Main/Level_Main_125,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,lock,PSG_Normal_lock_VeryHard_Pressure,23,31,0.742,M_PeelMid,93,85,93,702,13,c5nep_w10smh_04_nutation_strict_mixed_hard_v1_rect_s13_o125_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_04_nutation_strict_mixed_hard_v1_rect_s13_o125_v03_strictmixedhard_mixed_chain.asset,23,31,71,84,701,0.983,0.950,0.980,3,5,19,71,9.87,21,0.556,325,True,3,186.6,ok,354,Style=PressureHard | Score=12212 | TargetInitial=5 | OpeningRatio=0.042 | Straightness=0.556 | EarlyChoices=30.8/51 | LocalRun=5 | Jump=7.6 | NearRate=0.55 | Peel style=PressureHard seed=488988404 fill=701/713(0.983) chains=71 remaining=12 rejectedShort=0 failedPeels=1
5,Campaign500NormalFullV1:w10smh,nutation_strict_mixed_hard_v1_rect_s14_o140_v00_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s14_o140_v00_strictmixedhard_mixed_chain,14,140,0,v00,240,Main/Level_Main_140,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Normal,0,section,PSG_Normal_section_Hard_Normal,23,31,0.742,M_PeelMid,102,94,102,769,13,c5nep_w10smh_05_nutation_strict_mixed_hard_v1_rect_s14_o140_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_05_nutation_strict_mixed_hard_v1_rect_s14_o140_v00_strictmixedhard_mixed_chain.asset,23,31,77,84,709,0.994,0.950,0.995,1,5,28,77,9.21,20,0.512,397,True,1,188.7,ok,47,Style=PressureHard | Score=14659 | TargetInitial=5 | OpeningRatio=0.013 | Straightness=0.512 | EarlyChoices=29.1/52 | LocalRun=10 | Jump=5.3 | NearRate=0.77 | Peel style=PressureHard seed=2126037291 fill=709/713(0.994) chains=77 remaining=4 rejectedShort=0 failedPeels=1
6,Campaign500NormalFullV1:w10smh,nutation_strict_mixed_hard_v1_rect_s14_o140_v01_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s14_o140_v01_strictmixedhard_mixed_chain,14,140,1,v01,240,Main/Level_Main_140,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Normal,0,section,PSG_Normal_section_Hard_Normal,23,31,0.742,M_PeelMid,102,94,102,769,13,c5nep_w10smh_06_nutation_strict_mixed_hard_v1_rect_s14_o140_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_06_nutation_strict_mixed_hard_v1_rect_s14_o140_v01_strictmixedhard_mixed_chain.asset,23,31,75,84,705,0.989,0.950,0.985,3,6,24,75,9.40,21,0.479,340,True,3,187.1,ok,319,Style=PressureHard | Score=15402 | TargetInitial=5 | OpeningRatio=0.040 | Straightness=0.479 | EarlyChoices=29.9/52 | LocalRun=4 | Jump=8.3 | NearRate=0.58 | Peel style=PressureHard seed=-2140434509 fill=705/713(0.989) chains=75 remaining=8 rejectedShort=0 failedPeels=1
7,Campaign500NormalFullV1:w10smh,nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain,14,140,2,v02,240,Main/Level_Main_140,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Normal,0,section,PSG_Normal_section_Hard_Normal,23,31,0.742,M_PeelMid,102,94,102,769,13,c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain.asset,23,31,77,84,702,0.985,0.950,0.985,3,6,26,77,9.12,20,0.502,389,True,3,185.0,ok,193,Style=PressureHard | Score=16457 | TargetInitial=5 | OpeningRatio=0.052 | Straightness=0.502 | EarlyChoices=26.1/60 | LocalRun=6 | Jump=9.3 | NearRate=0.55 | Peel style=PressureHard seed=2141346141 fill=702/713(0.985) chains=77 remaining=11 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->3 edgeHeads=7->6 earlyChoices=24.2/54 localRun=6 jump=9.4 near=0.58 targetInitial=3
8,Campaign500NormalFullV1:w10smh,nutation_strict_mixed_hard_v1_rect_s14_o140_v03_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s14_o140_v03_strictmixedhard_mixed_chain,14,140,3,v03,240,Main/Level_Main_140,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Normal,0,section,PSG_Normal_section_Hard_Normal,23,31,0.742,M_PeelMid,102,94,102,769,13,c5nep_w10smh_08_nutation_strict_mixed_hard_v1_rect_s14_o140_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_08_nutation_strict_mixed_hard_v1_rect_s14_o140_v03_strictmixedhard_mixed_chain.asset,23,31,75,84,705,0.989,0.950,0.990,1,6,24,75,9.40,21,0.514,316,True,1,180.7,ok,92,Style=PressureHard | Score=26954 | TargetInitial=5 | OpeningRatio=0.013 | Straightness=0.514 | EarlyChoices=19.7/38 | LocalRun=6 | Jump=5.9 | NearRate=0.65 | Peel style=PressureHard seed=2130777720 fill=705/713(0.989) chains=75 remaining=8 rejectedShort=0 failedPeels=1
9,Campaign500NormalFullV1:w10smh,nutation_strict_mixed_hard_v1_rect_s20_o199_v00_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s20_o199_v00_strictmixedhard_mixed_chain,20,199,0,v00,299,Main/Level_Main_199,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Recovery,0,section,PSG_Normal_section_NormalOrRecovery_Recovery,23,31,0.742,M_PeelMid,108,100,108,822,13,c5nep_w10smh_09_nutation_strict_mixed_hard_v1_rect_s20_o199_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_09_nutation_strict_mixed_hard_v1_rect_s20_o199_v00_strictmixedhard_mixed_chain.asset,23,31,78,84,705,0.989,0.950,0.975,3,7,26,78,9.04,21,0.474,370,True,3,181.9,ok,167,Style=PressureHard | Score=20546 | TargetInitial=5 | OpeningRatio=0.038 | Straightness=0.474 | EarlyChoices=24.0/55 | LocalRun=6 | Jump=5.7 | NearRate=0.68 | Peel style=PressureHard seed=562848878 fill=705/713(0.989) chains=78 remaining=8 rejectedShort=0 failedPeels=1
10,Campaign500NormalFullV1:w10smh,nutation_strict_mixed_hard_v1_rect_s20_o199_v01_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s20_o199_v01_strictmixedhard_mixed_chain,20,199,1,v01,299,Main/Level_Main_199,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Recovery,0,section,PSG_Normal_section_NormalOrRecovery_Recovery,23,31,0.742,M_PeelMid,108,100,108,822,13,c5nep_w10smh_10_nutation_strict_mixed_hard_v1_rect_s20_o199_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_10_nutation_strict_mixed_hard_v1_rect_s20_o199_v01_strictmixedhard_mixed_chain.asset,23,31,76,84,706,0.990,0.950,0.985,1,5,28,76,9.29,21,0.507,414,True,1,187.5,ok,376,Style=PressureHard | Score=14979 | TargetInitial=5 | OpeningRatio=0.013 | Straightness=0.507 | EarlyChoices=30.8/53 | LocalRun=6 | Jump=6.4 | NearRate=0.68 | Peel style=PressureHard seed=584746447 fill=706/713(0.990) chains=76 remaining=7 rejectedShort=0 failedPeels=1
