Index,SourceBatch,SpecId,Type,Section10,Order,VariantIndex,VariantLabel,MainMissionId,LevelName,Category,RoleInSection,ProductionLane,ProductionStyleFamily,ProductionChainLanguage,ProductionDifficultyBand,ExperienceRole,ReviewOnly,StyleHint,ProfileHint,PlannedWidth,PlannedHeight,PlannedAspect,PlannedCanvasBand,PlannedTargetChains,TargetChainsMin,TargetChainsMax,ReferenceArrowTiles,ReferenceMaxChainLength,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,Campaign500NormalFullV1:w11a,nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain,1,10,0,v00,110,Main/Level_Main_10,normal,Peak,StrictMixedHard,strict_mixed_dependency,mixed_chain,Peak,Normal,0,lock,PSG_Normal_lock_Hard_Normal,22,30,0.733,S_Peak,58,42,58,372,9,c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset,22,30,65,58,651,0.986,0.950,0.990,1,5,18,65,10.02,21,0.503,306,True,1,181.9,ok,261,Style=PressureHard | Score=13714 | TargetInitial=5 | OpeningRatio=0.015 | Straightness=0.503 | EarlyChoices=24.3/65 | LocalRun=5 | Jump=7.4 | NearRate=0.55 | Peel style=PressureHard seed=1536715824 fill=651/660(0.986) chains=65 remaining=9 rejectedShort=0 failedPeels=1
2,Campaign500NormalFullV1:w11a,nutation_strict_mixed_hard_v1_rect_s01_o010_v01_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s01_o010_v01_strictmixedhard_mixed_chain,1,10,1,v01,110,Main/Level_Main_10,normal,Peak,StrictMixedHard,strict_mixed_dependency,mixed_chain,Peak,Normal,0,lock,PSG_Normal_lock_Hard_Normal,22,30,0.733,S_Peak,58,42,58,372,9,c5nep_w11a_02_nutation_strict_mixed_hard_v1_rect_s01_o010_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_02_nutation_strict_mixed_hard_v1_rect_s01_o010_v01_strictmixedhard_mixed_chain.asset,22,30,63,58,653,0.989,0.950,0.990,2,7,18,63,10.37,21,0.545,288,True,2,186.2,long-straight-run,367,Style=PressureHard | Score=15601 | TargetInitial=4 | OpeningRatio=0.032 | Straightness=0.545 | EarlyChoices=27.3/47 | LocalRun=6 | Jump=7.3 | NearRate=0.58 | Peel style=PressureHard seed=1547826242 fill=653/660(0.989) chains=63 remaining=7 rejectedShort=0 failedPeels=1
3,Campaign500NormalFullV1:w11a,nutation_strict_mixed_hard_v1_rect_s01_o010_v02_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s01_o010_v02_strictmixedhard_mixed_chain,1,10,2,v02,110,Main/Level_Main_10,normal,Peak,StrictMixedHard,strict_mixed_dependency,mixed_chain,Peak,Normal,0,lock,PSG_Normal_lock_Hard_Normal,22,30,0.733,S_Peak,58,42,58,372,9,c5nep_w11a_03_nutation_strict_mixed_hard_v1_rect_s01_o010_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_03_nutation_strict_mixed_hard_v1_rect_s01_o010_v02_strictmixedhard_mixed_chain.asset,22,30,68,58,652,0.988,0.950,0.990,2,4,21,68,9.59,21,0.496,292,True,2,186.6,ok,185,Style=PressureHard | Score=14868 | TargetInitial=5 | OpeningRatio=0.029 | Straightness=0.496 | EarlyChoices=24.3/48 | LocalRun=6 | Jump=5.7 | NearRate=0.58 | Peel style=PressureHard seed=1528774708 fill=652/660(0.988) chains=68 remaining=8 rejectedShort=0 failedPeels=1
4,Campaign500NormalFullV1:w11a,nutation_strict_mixed_hard_v1_rect_s01_o010_v03_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s01_o010_v03_strictmixedhard_mixed_chain,1,10,3,v03,110,Main/Level_Main_10,normal,Peak,StrictMixedHard,strict_mixed_dependency,mixed_chain,Peak,Normal,0,lock,PSG_Normal_lock_Hard_Normal,22,30,0.733,S_Peak,58,42,58,372,9,c5nep_w11a_04_nutation_strict_mixed_hard_v1_rect_s01_o010_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_04_nutation_strict_mixed_hard_v1_rect_s01_o010_v03_strictmixedhard_mixed_chain.asset,22,30,73,58,648,0.982,0.950,0.990,2,5,30,73,8.88,21,0.528,314,True,2,182.0,ok,230,Style=PressureHard | Score=10843 | TargetInitial=5 | OpeningRatio=0.027 | Straightness=0.528 | EarlyChoices=21.1/47 | LocalRun=5 | Jump=6.4 | NearRate=0.55 | Peel style=PressureHard seed=1533496657 fill=648/660(0.982) chains=73 remaining=12 rejectedShort=0 failedPeels=1
5,Campaign500NormalFullV1:w11a,nutation_strict_mixed_hard_v1_rect_s01_o010_v04_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s01_o010_v04_strictmixedhard_mixed_chain,1,10,4,v04,110,Main/Level_Main_10,normal,Peak,StrictMixedHard,strict_mixed_dependency,mixed_chain,Peak,Normal,0,lock,PSG_Normal_lock_Hard_Normal,22,30,0.733,S_Peak,58,42,58,372,9,c5nep_w11a_05_nutation_strict_mixed_hard_v1_rect_s01_o010_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_05_nutation_strict_mixed_hard_v1_rect_s01_o010_v04_strictmixedhard_mixed_chain.asset,22,30,61,58,647,0.980,0.950,0.974,3,5,14,61,10.61,21,0.499,282,True,3,166.0,ok,368,Style=PressureHard | Score=12606 | TargetInitial=4 | OpeningRatio=0.066 | Straightness=0.499 | EarlyChoices=32.3/54 | LocalRun=5 | Jump=9.2 | NearRate=0.39 | Peel style=PressureHard seed=1547958403 fill=647/660(0.980) chains=61 remaining=13 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=4->3 edgeHeads=6->5 earlyChoices=26.9/52 localRun=4 jump=10.0 near=0.35 targetInitial=3
6,Campaign500NormalFullV1:w11a,nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain,16,160,0,v00,260,Main/Level_Main_160,normal,NormalA_FlowOrNeutral,StrictMixedHard,strict_mixed_dependency,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,20,27,0.741,M_Flow,76,68,76,638,13,c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset,20,27,55,76,531,0.983,0.950,0.988,3,4,18,55,9.65,21,0.485,236,True,3,163.1,ok,115,Style=PressureHard | Score=-7680 | TargetInitial=4 | OpeningRatio=0.073 | Straightness=0.485 | EarlyChoices=23.3/54 | LocalRun=4 | Jump=7.7 | NearRate=0.55 | Peel style=PressureHard seed=1094412589 fill=531/540(0.983) chains=55 remaining=9 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=4->3 edgeHeads=5->4 earlyChoices=19.6/50 localRun=4 jump=6.0 near=0.58 targetInitial=3
7,Campaign500NormalFullV1:w11a,nutation_strict_mixed_hard_v1_rect_s16_o160_v01_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s16_o160_v01_strictmixedhard_mixed_chain,16,160,1,v01,260,Main/Level_Main_160,normal,NormalA_FlowOrNeutral,StrictMixedHard,strict_mixed_dependency,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,20,27,0.741,M_Flow,76,68,76,638,13,c5nep_w11a_07_nutation_strict_mixed_hard_v1_rect_s16_o160_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_07_nutation_strict_mixed_hard_v1_rect_s16_o160_v01_strictmixedhard_mixed_chain.asset,20,27,63,76,535,0.991,0.950,0.983,1,9,23,63,8.49,21,0.494,260,True,1,184.2,long-straight-run,365,Style=PressureHard | Score=1200 | TargetInitial=4 | OpeningRatio=0.016 | Straightness=0.494 | EarlyChoices=19.3/40 | LocalRun=4 | Jump=6.6 | NearRate=0.48 | Peel style=PressureHard seed=1120603983 fill=535/540(0.991) chains=63 remaining=5 rejectedShort=0 failedPeels=1
8,Campaign500NormalFullV1:w11a,nutation_strict_mixed_hard_v1_rect_s16_o160_v02_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s16_o160_v02_strictmixedhard_mixed_chain,16,160,2,v02,260,Main/Level_Main_160,normal,NormalA_FlowOrNeutral,StrictMixedHard,strict_mixed_dependency,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,20,27,0.741,M_Flow,76,68,76,638,13,c5nep_w11a_08_nutation_strict_mixed_hard_v1_rect_s16_o160_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_08_nutation_strict_mixed_hard_v1_rect_s16_o160_v02_strictmixedhard_mixed_chain.asset,20,27,62,76,532,0.985,0.950,0.988,2,9,25,62,8.58,21,0.466,240,True,2,185.6,ok,320,Style=PressureHard | Score=-7593 | TargetInitial=4 | OpeningRatio=0.032 | Straightness=0.466 | EarlyChoices=23.3/45 | LocalRun=4 | Jump=8.6 | NearRate=0.42 | Peel style=PressureHard seed=1115900322 fill=532/540(0.985) chains=62 remaining=8 rejectedShort=0 failedPeels=1
9,Campaign500NormalFullV1:w11a,nutation_strict_mixed_hard_v1_rect_s16_o160_v03_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s16_o160_v03_strictmixedhard_mixed_chain,16,160,3,v03,260,Main/Level_Main_160,normal,NormalA_FlowOrNeutral,StrictMixedHard,strict_mixed_dependency,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,20,27,0.741,M_Flow,76,68,76,638,13,c5nep_w11a_09_nutation_strict_mixed_hard_v1_rect_s16_o160_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_09_nutation_strict_mixed_hard_v1_rect_s16_o160_v03_strictmixedhard_mixed_chain.asset,20,27,61,76,530,0.981,0.950,0.983,2,4,22,61,8.69,21,0.498,223,True,2,184.7,ok,87,Style=PressureHard | Score=-5161 | TargetInitial=4 | OpeningRatio=0.033 | Straightness=0.498 | EarlyChoices=22.6/59 | LocalRun=5 | Jump=8.3 | NearRate=0.61 | Peel style=PressureHard seed=1091507609 fill=530/540(0.981) chains=61 remaining=10 rejectedShort=0 failedPeels=1
10,Campaign500NormalFullV1:w11a,nutation_strict_mixed_hard_v1_rect_s16_o160_v04_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s16_o160_v04_strictmixedhard_mixed_chain,16,160,4,v04,260,Main/Level_Main_160,normal,NormalA_FlowOrNeutral,StrictMixedHard,strict_mixed_dependency,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,20,27,0.741,M_Flow,76,68,76,638,13,c5nep_w11a_10_nutation_strict_mixed_hard_v1_rect_s16_o160_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_10_nutation_strict_mixed_hard_v1_rect_s16_o160_v04_strictmixedhard_mixed_chain.asset,20,27,57,76,533,0.987,0.950,0.983,2,3,20,57,9.35,21,0.456,220,True,2,182.2,ok,280,Style=PressureHard | Score=-3275 | TargetInitial=4 | OpeningRatio=0.035 | Straightness=0.456 | EarlyChoices=21.2/48 | LocalRun=6 | Jump=5.8 | NearRate=0.68 | Peel style=PressureHard seed=1111729450 fill=533/540(0.987) chains=57 remaining=7 rejectedShort=0 failedPeels=1
