Index,SourceBatch,SpecId,Type,Section10,Order,VariantIndex,VariantLabel,MainMissionId,LevelName,Category,RoleInSection,ProductionLane,ProductionStyleFamily,ProductionChainLanguage,ProductionDifficultyBand,ExperienceRole,ReviewOnly,StyleHint,ProfileHint,PlannedWidth,PlannedHeight,PlannedAspect,PlannedCanvasBand,PlannedTargetChains,TargetChainsMin,TargetChainsMax,ReferenceArrowTiles,ReferenceMaxChainLength,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,Campaign500NormalFullV1:w13b,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v00_strictmixedlocalbreak_local_break_chain,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v00_strictmixedlocalbreak_local_break_chain,24,239,0,v00,339,Main/Level_Main_239,normal,Peak,StrictMixedLocalBreak,strict_mixed_dependency,local_break_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13b_01_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v00_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_01_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v00_strictmixedlocalbreak_local_break_chain.asset,26,34,93,82,876,0.991,0.945,0.991,1,8,31,93,9.42,21,0.470,514,True,1,188.5,ok,275,Style=PressureHard | Score=39751 | TargetInitial=7 | OpeningRatio=0.011 | Straightness=0.470 | EarlyChoices=22.0/46 | LocalRun=5 | Jump=7.5 | NearRate=0.61 | Peel style=PressureHard seed=1365220343 fill=876/884(0.991) chains=93 remaining=8 rejectedShort=0 failedPeels=1
2,Campaign500NormalFullV1:w13b,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v01_strictmixedlocalbreak_local_break_chain,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v01_strictmixedlocalbreak_local_break_chain,24,239,1,v01,339,Main/Level_Main_239,normal,Peak,StrictMixedLocalBreak,strict_mixed_dependency,local_break_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13b_02_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v01_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_02_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v01_strictmixedlocalbreak_local_break_chain.asset,26,34,87,82,871,0.985,0.945,0.964,1,9,26,87,10.01,21,0.484,441,True,1,177.5,ok,264,Style=PressureHard | Score=33603 | TargetInitial=6 | OpeningRatio=0.011 | Straightness=0.484 | EarlyChoices=27.1/57 | LocalRun=5 | Jump=8.3 | NearRate=0.52 | Peel style=PressureHard seed=1364077468 fill=871/884(0.985) chains=87 remaining=13 rejectedShort=0 failedPeels=1
3,Campaign500NormalFullV1:w13b,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v02_strictmixedlocalbreak_local_break_chain,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v02_strictmixedlocalbreak_local_break_chain,24,239,2,v02,339,Main/Level_Main_239,normal,Peak,StrictMixedLocalBreak,strict_mixed_dependency,local_break_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13b_03_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v02_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_03_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v02_strictmixedlocalbreak_local_break_chain.asset,26,34,82,82,866,0.980,0.945,0.978,2,9,15,82,10.56,21,0.487,442,True,2,187.2,ok,109,Style=PressureHard | Score=40688 | TargetInitial=6 | OpeningRatio=0.024 | Straightness=0.487 | EarlyChoices=26.7/59 | LocalRun=6 | Jump=6.3 | NearRate=0.61 | Peel style=PressureHard seed=1347853617 fill=866/884(0.980) chains=82 remaining=18 rejectedShort=0 failedPeels=1
4,Campaign500NormalFullV1:w13b,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain,24,239,3,v03,339,Main/Level_Main_239,normal,Peak,StrictMixedLocalBreak,strict_mixed_dependency,local_break_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset,26,34,79,82,867,0.981,0.945,0.987,3,9,18,79,10.97,21,0.499,397,True,3,175.9,ok,44,Style=PressureHard | Score=35754 | TargetInitial=6 | OpeningRatio=0.038 | Straightness=0.499 | EarlyChoices=29.9/50 | LocalRun=6 | Jump=8.2 | NearRate=0.61 | Peel style=PressureHard seed=1341055376 fill=867/884(0.981) chains=79 remaining=17 rejectedShort=0 failedPeels=1
5,Campaign500NormalFullV1:w13b,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v04_strictmixedlocalbreak_local_break_chain,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v04_strictmixedlocalbreak_local_break_chain,24,239,4,v04,339,Main/Level_Main_239,normal,Peak,StrictMixedLocalBreak,strict_mixed_dependency,local_break_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13b_05_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v04_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_05_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v04_strictmixedlocalbreak_local_break_chain.asset,26,34,91,82,871,0.985,0.945,0.987,3,10,28,91,9.57,21,0.531,458,True,3,188.8,ok,56,Style=PressureHard | Score=29765 | TargetInitial=6 | OpeningRatio=0.033 | Straightness=0.531 | EarlyChoices=25.3/57 | LocalRun=7 | Jump=9.9 | NearRate=0.52 | Peel style=PressureHard seed=1342321268 fill=871/884(0.985) chains=91 remaining=13 rejectedShort=0 failedPeels=1
6,Campaign500NormalFullV1:w13b,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v05_strictmixedlocalbreak_local_break_chain,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v05_strictmixedlocalbreak_local_break_chain,24,239,5,v05,339,Main/Level_Main_239,normal,Peak,StrictMixedLocalBreak,strict_mixed_dependency,local_break_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13b_06_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v05_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_06_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v05_strictmixedlocalbreak_local_break_chain.asset,26,34,88,82,874,0.989,0.945,0.991,4,8,22,88,9.93,21,0.533,488,True,4,189.2,ok,164,Style=PressureHard | Score=36957 | TargetInitial=6 | OpeningRatio=0.045 | Straightness=0.533 | EarlyChoices=27.3/58 | LocalRun=7 | Jump=6.5 | NearRate=0.77 | Peel style=PressureHard seed=1353641144 fill=874/884(0.989) chains=88 remaining=10 rejectedShort=0 failedPeels=1
7,Campaign500NormalFullV1:w13b,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v06_strictmixedlocalbreak_local_break_chain,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v06_strictmixedlocalbreak_local_break_chain,24,239,6,v06,339,Main/Level_Main_239,normal,Peak,StrictMixedLocalBreak,strict_mixed_dependency,local_break_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13b_07_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v06_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_07_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v06_strictmixedlocalbreak_local_break_chain.asset,26,34,92,82,871,0.985,0.945,0.991,4,5,32,92,9.47,21,0.493,388,True,4,189.7,ok,303,Style=PressureHard | Score=32949 | TargetInitial=6 | OpeningRatio=0.043 | Straightness=0.493 | EarlyChoices=25.8/54 | LocalRun=4 | Jump=12.8 | NearRate=0.55 | Peel style=PressureHard seed=1368207619 fill=871/884(0.985) chains=92 remaining=13 rejectedShort=0 failedPeels=1
8,Campaign500NormalFullV1:w13b,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v07_strictmixedlocalbreak_local_break_chain,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v07_strictmixedlocalbreak_local_break_chain,24,239,7,v07,339,Main/Level_Main_239,normal,Peak,StrictMixedLocalBreak,strict_mixed_dependency,local_break_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13b_08_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v07_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_08_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v07_strictmixedlocalbreak_local_break_chain.asset,26,34,90,82,870,0.984,0.945,0.987,2,6,34,90,9.67,21,0.506,456,True,2,189.0,ok,208,Style=PressureHard | Score=37419 | TargetInitial=6 | OpeningRatio=0.022 | Straightness=0.506 | EarlyChoices=22.2/53 | LocalRun=6 | Jump=8.5 | NearRate=0.68 | Peel style=PressureHard seed=1358267508 fill=870/884(0.984) chains=90 remaining=14 rejectedShort=0 failedPeels=1
9,Campaign500NormalFullV1:w13b,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v08_strictmixedlocalbreak_local_break_chain,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v08_strictmixedlocalbreak_local_break_chain,24,239,8,v08,339,Main/Level_Main_239,normal,Peak,StrictMixedLocalBreak,strict_mixed_dependency,local_break_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13b_09_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v08_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_09_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v08_strictmixedlocalbreak_local_break_chain.asset,26,34,87,82,865,0.979,0.945,0.987,2,6,27,87,9.94,21,0.470,394,True,2,187.3,long-straight-run,268,Style=PressureHard | Score=37994 | TargetInitial=6 | OpeningRatio=0.023 | Straightness=0.470 | EarlyChoices=26.0/50 | LocalRun=6 | Jump=6.5 | NearRate=0.61 | Peel style=PressureHard seed=1364560392 fill=865/884(0.979) chains=87 remaining=19 rejectedShort=0 failedPeels=1
10,Campaign500NormalFullV1:w13b,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v09_strictmixedlocalbreak_local_break_chain,nutation_strict_mixed_localbreak_v1_rect_s24_o239_v09_strictmixedlocalbreak_local_break_chain,24,239,9,v09,339,Main/Level_Main_239,normal,Peak,StrictMixedLocalBreak,strict_mixed_dependency,local_break_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13b_10_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v09_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_10_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v09_strictmixedlocalbreak_local_break_chain.asset,26,34,85,82,869,0.983,0.945,0.982,4,7,20,85,10.22,21,0.514,479,True,4,188.3,ok,407,Style=PressureHard | Score=41433 | TargetInitial=6 | OpeningRatio=0.047 | Straightness=0.514 | EarlyChoices=23.0/62 | LocalRun=6 | Jump=7.7 | NearRate=0.58 | Peel style=PressureHard seed=1379126867 fill=869/884(0.983) chains=85 remaining=15 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->4 edgeHeads=8->7 earlyChoices=23.0/62 localRun=6 jump=7.7 near=0.58 targetInitial=3
