Index,SourceBatch,SpecId,Type,Section10,Order,VariantIndex,VariantLabel,MainMissionId,LevelName,Category,RoleInSection,ProductionLane,ProductionStyleFamily,ProductionChainLanguage,ProductionDifficultyBand,ExperienceRole,ReviewOnly,StyleHint,ProfileHint,PlannedWidth,PlannedHeight,PlannedAspect,PlannedCanvasBand,PlannedTargetChains,TargetChainsMin,TargetChainsMax,ReferenceArrowTiles,ReferenceMaxChainLength,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,Campaign500NormalFullV1:w13c,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v00_strictmixedchoiceclamp_choice_clamp_chain,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v00_strictmixedchoiceclamp_choice_clamp_chain,33,329,0,v00,429,Main/Level_Main_329,normal,Peak,StrictMixedChoiceClamp,strict_mixed_dependency,choice_clamp_chain,Peak,Peak,0,lock,PSG_Normal_lock_Extreme_Peak,26,34,0.765,L_Peak,203,195,203,1270,10,c5nep_w13c_01_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v00_strictmixedchoiceclamp_choice_clamp_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13c/c5nep_w13c_01_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v00_strictmixedchoiceclamp_choice_clamp_chain.asset,26,34,82,72,866,0.980,0.940,0.973,2,7,20,82,10.56,21,0.509,404,True,2,188.0,ok,347,Style=PressureHard | Score=32867 | TargetInitial=6 | OpeningRatio=0.024 | Straightness=0.509 | EarlyChoices=30.0/48 | LocalRun=6 | Jump=7.5 | NearRate=0.65 | Peel style=PressureHard seed=994984460 fill=866/884(0.980) chains=82 remaining=18 rejectedShort=0 failedPeels=1
2,Campaign500NormalFullV1:w13c,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v01_strictmixedchoiceclamp_choice_clamp_chain,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v01_strictmixedchoiceclamp_choice_clamp_chain,33,329,1,v01,429,Main/Level_Main_329,normal,Peak,StrictMixedChoiceClamp,strict_mixed_dependency,choice_clamp_chain,Peak,Peak,0,lock,PSG_Normal_lock_Extreme_Peak,26,34,0.765,L_Peak,203,195,203,1270,10,c5nep_w13c_02_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v01_strictmixedchoiceclamp_choice_clamp_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13c/c5nep_w13c_02_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v01_strictmixedchoiceclamp_choice_clamp_chain.asset,26,34,83,72,877,0.992,0.940,0.987,2,10,22,83,10.57,21,0.519,441,True,2,188.5,ok,219,Style=PressureHard | Score=21929 | TargetInitial=6 | OpeningRatio=0.024 | Straightness=0.519 | EarlyChoices=32.3/59 | LocalRun=7 | Jump=7.9 | NearRate=0.58 | Peel style=PressureHard seed=981588292 fill=877/884(0.992) chains=83 remaining=7 rejectedShort=0 failedPeels=1
3,Campaign500NormalFullV1:w13c,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v02_strictmixedchoiceclamp_choice_clamp_chain,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v02_strictmixedchoiceclamp_choice_clamp_chain,33,329,2,v02,429,Main/Level_Main_329,normal,Peak,StrictMixedChoiceClamp,strict_mixed_dependency,choice_clamp_chain,Peak,Peak,0,lock,PSG_Normal_lock_Extreme_Peak,26,34,0.765,L_Peak,203,195,203,1270,10,c5nep_w13c_03_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v02_strictmixedchoiceclamp_choice_clamp_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13c/c5nep_w13c_03_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v02_strictmixedchoiceclamp_choice_clamp_chain.asset,26,34,90,72,869,0.983,0.940,0.991,1,7,28,90,9.66,21,0.478,409,True,1,184.7,long-straight-run,187,Style=PressureHard | Score=25569 | TargetInitial=6 | OpeningRatio=0.011 | Straightness=0.478 | EarlyChoices=24.9/53 | LocalRun=7 | Jump=6.1 | NearRate=0.68 | Peel style=PressureHard seed=978246108 fill=869/884(0.983) chains=90 remaining=15 rejectedShort=0 failedPeels=1
4,Campaign500NormalFullV1:w13c,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v03_strictmixedchoiceclamp_choice_clamp_chain,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v03_strictmixedchoiceclamp_choice_clamp_chain,33,329,3,v03,429,Main/Level_Main_329,normal,Peak,StrictMixedChoiceClamp,strict_mixed_dependency,choice_clamp_chain,Peak,Peak,0,lock,PSG_Normal_lock_Extreme_Peak,26,34,0.765,L_Peak,203,195,203,1270,10,c5nep_w13c_04_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v03_strictmixedchoiceclamp_choice_clamp_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13c/c5nep_w13c_04_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v03_strictmixedchoiceclamp_choice_clamp_chain.asset,26,34,85,72,864,0.977,0.940,0.987,2,8,27,85,10.16,20,0.486,432,True,2,187.0,ok,278,Style=PressureHard | Score=28443 | TargetInitial=6 | OpeningRatio=0.024 | Straightness=0.486 | EarlyChoices=27.8/48 | LocalRun=6 | Jump=6.6 | NearRate=0.68 | Peel style=PressureHard seed=987785591 fill=864/884(0.977) chains=85 remaining=20 rejectedShort=0 failedPeels=1
5,Campaign500NormalFullV1:w13c,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v04_strictmixedchoiceclamp_choice_clamp_chain,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v04_strictmixedchoiceclamp_choice_clamp_chain,33,329,4,v04,429,Main/Level_Main_329,normal,Peak,StrictMixedChoiceClamp,strict_mixed_dependency,choice_clamp_chain,Peak,Peak,0,lock,PSG_Normal_lock_Extreme_Peak,26,34,0.765,L_Peak,203,195,203,1270,10,c5nep_w13c_05_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v04_strictmixedchoiceclamp_choice_clamp_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13c/c5nep_w13c_05_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v04_strictmixedchoiceclamp_choice_clamp_chain.asset,26,34,90,72,871,0.985,0.940,0.982,4,11,29,90,9.68,21,0.467,444,True,4,184.3,ok,118,Style=PressureHard | Score=24833 | TargetInitial=6 | OpeningRatio=0.044 | Straightness=0.467 | EarlyChoices=23.1/45 | LocalRun=7 | Jump=7.9 | NearRate=0.68 | Peel style=PressureHard seed=971038095 fill=871/884(0.985) chains=90 remaining=13 rejectedShort=0 failedPeels=1
6,Campaign500NormalFullV1:w13c,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v05_strictmixedchoiceclamp_choice_clamp_chain,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v05_strictmixedchoiceclamp_choice_clamp_chain,33,329,5,v05,429,Main/Level_Main_329,normal,Peak,StrictMixedChoiceClamp,strict_mixed_dependency,choice_clamp_chain,Peak,Peak,0,lock,PSG_Normal_lock_Extreme_Peak,26,34,0.765,L_Peak,203,195,203,1270,10,c5nep_w13c_06_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v05_strictmixedchoiceclamp_choice_clamp_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13c/c5nep_w13c_06_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v05_strictmixedchoiceclamp_choice_clamp_chain.asset,26,34,86,72,864,0.977,0.940,0.978,1,8,24,86,10.05,21,0.477,397,True,1,177.5,long-straight-run,131,Style=PressureHard | Score=29622 | TargetInitial=6 | OpeningRatio=0.012 | Straightness=0.477 | EarlyChoices=24.7/55 | LocalRun=4 | Jump=8.0 | NearRate=0.42 | Peel style=PressureHard seed=972408716 fill=864/884(0.977) chains=86 remaining=20 rejectedShort=0 failedPeels=1
7,Campaign500NormalFullV1:w13c,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v06_strictmixedchoiceclamp_choice_clamp_chain,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v06_strictmixedchoiceclamp_choice_clamp_chain,33,329,6,v06,429,Main/Level_Main_329,normal,Peak,StrictMixedChoiceClamp,strict_mixed_dependency,choice_clamp_chain,Peak,Peak,0,lock,PSG_Normal_lock_Extreme_Peak,26,34,0.765,L_Peak,203,195,203,1270,10,c5nep_w13c_07_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v06_strictmixedchoiceclamp_choice_clamp_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13c/c5nep_w13c_07_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v06_strictmixedchoiceclamp_choice_clamp_chain.asset,26,34,84,72,871,0.985,0.940,0.987,2,7,23,84,10.37,21,0.514,396,True,2,188.8,ok,139,Style=PressureHard | Score=31628 | TargetInitial=6 | OpeningRatio=0.024 | Straightness=0.514 | EarlyChoices=25.1/60 | LocalRun=5 | Jump=9.6 | NearRate=0.48 | Peel style=PressureHard seed=973255692 fill=871/884(0.985) chains=84 remaining=13 rejectedShort=0 failedPeels=1
8,Campaign500NormalFullV1:w13c,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v07_strictmixedchoiceclamp_choice_clamp_chain,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v07_strictmixedchoiceclamp_choice_clamp_chain,33,329,7,v07,429,Main/Level_Main_329,normal,Peak,StrictMixedChoiceClamp,strict_mixed_dependency,choice_clamp_chain,Peak,Peak,0,lock,PSG_Normal_lock_Extreme_Peak,26,34,0.765,L_Peak,203,195,203,1270,10,c5nep_w13c_08_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v07_strictmixedchoiceclamp_choice_clamp_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13c/c5nep_w13c_08_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v07_strictmixedchoiceclamp_choice_clamp_chain.asset,26,34,94,72,875,0.990,0.940,0.987,1,6,33,94,9.31,21,0.536,543,True,1,189.6,long-straight-run,292,Style=PressureHard | Score=27612 | TargetInitial=7 | OpeningRatio=0.011 | Straightness=0.536 | EarlyChoices=24.6/49 | LocalRun=5 | Jump=6.7 | NearRate=0.61 | Peel style=PressureHard seed=989288373 fill=875/884(0.990) chains=94 remaining=9 rejectedShort=0 failedPeels=1
9,Campaign500NormalFullV1:w13c,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v08_strictmixedchoiceclamp_choice_clamp_chain,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v08_strictmixedchoiceclamp_choice_clamp_chain,33,329,8,v08,429,Main/Level_Main_329,normal,Peak,StrictMixedChoiceClamp,strict_mixed_dependency,choice_clamp_chain,Peak,Peak,0,lock,PSG_Normal_lock_Extreme_Peak,26,34,0.765,L_Peak,203,195,203,1270,10,c5nep_w13c_09_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v08_strictmixedchoiceclamp_choice_clamp_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13c/c5nep_w13c_09_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v08_strictmixedchoiceclamp_choice_clamp_chain.asset,26,34,97,72,865,0.979,0.940,0.978,3,7,34,97,8.92,21,0.495,438,True,3,188.9,ok,248,Style=PressureHard | Score=20814 | TargetInitial=7 | OpeningRatio=0.031 | Straightness=0.495 | EarlyChoices=25.3/43 | LocalRun=6 | Jump=8.2 | NearRate=0.61 | Peel style=PressureHard seed=984689441 fill=865/884(0.979) chains=97 remaining=19 rejectedShort=0 failedPeels=1
10,Campaign500NormalFullV1:w13c,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v09_strictmixedchoiceclamp_choice_clamp_chain,nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v09_strictmixedchoiceclamp_choice_clamp_chain,33,329,9,v09,429,Main/Level_Main_329,normal,Peak,StrictMixedChoiceClamp,strict_mixed_dependency,choice_clamp_chain,Peak,Peak,0,lock,PSG_Normal_lock_Extreme_Peak,26,34,0.765,L_Peak,203,195,203,1270,10,c5nep_w13c_10_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v09_strictmixedchoiceclamp_choice_clamp_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13c/c5nep_w13c_10_nutation_strict_mixed_choiceclamp_v1_rect_s33_o329_v09_strictmixedchoiceclamp_choice_clamp_chain.asset,26,34,90,72,871,0.985,0.940,0.982,3,6,27,90,9.68,21,0.531,477,True,3,182.3,long-straight-run,103,Style=PressureHard | Score=26900 | TargetInitial=6 | OpeningRatio=0.033 | Straightness=0.531 | EarlyChoices=23.3/46 | LocalRun=15 | Jump=5.5 | NearRate=0.84 | Peel style=PressureHard seed=969512880 fill=871/884(0.985) chains=90 remaining=13 rejectedShort=0 failedPeels=1
