Index,SourceBatch,SpecId,Type,Section10,Order,VariantIndex,VariantLabel,MainMissionId,LevelName,Category,RoleInSection,ProductionLane,ProductionStyleFamily,ProductionChainLanguage,ProductionDifficultyBand,ExperienceRole,ReviewOnly,StyleHint,ProfileHint,PlannedWidth,PlannedHeight,PlannedAspect,PlannedCanvasBand,PlannedTargetChains,TargetChainsMin,TargetChainsMax,ReferenceArrowTiles,ReferenceMaxChainLength,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,Campaign500NormalFullV1:w13d,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v00_strictmixedaxisbreak_axis_break_chain_b,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v00_strictmixedaxisbreak_axis_break_chain_b,24,239,0,v00,339,Main/Level_Main_239,normal,Peak,StrictMixedAxisBreak,strict_mixed_dependency,axis_break_chain_b,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13d_01_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v00_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_01_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v00_strictmixedaxisbreak_axis_break_chain_b.asset,26,34,90,88,874,0.989,0.950,0.987,4,5,27,90,9.71,21,0.500,450,True,4,184.6,long-straight-run,271,Style=PressureHard | Score=46125 | TargetInitial=6 | OpeningRatio=0.044 | Straightness=0.500 | EarlyChoices=22.4/53 | LocalRun=6 | Jump=8.7 | NearRate=0.55 | Peel style=PressureHard seed=1488186808 fill=874/884(0.989) chains=90 remaining=10 rejectedShort=0 failedPeels=1
2,Campaign500NormalFullV1:w13d,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v01_strictmixedaxisbreak_axis_break_chain_b,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v01_strictmixedaxisbreak_axis_break_chain_b,24,239,1,v01,339,Main/Level_Main_239,normal,Peak,StrictMixedAxisBreak,strict_mixed_dependency,axis_break_chain_b,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13d_02_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v01_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_02_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v01_strictmixedaxisbreak_axis_break_chain_b.asset,26,34,88,88,872,0.986,0.950,0.982,2,7,22,88,9.91,21,0.504,370,True,2,189.3,long-straight-run,350,Style=PressureHard | Score=35775 | TargetInitial=6 | OpeningRatio=0.023 | Straightness=0.504 | EarlyChoices=31.7/61 | LocalRun=5 | Jump=6.5 | NearRate=0.65 | Peel style=PressureHard seed=1496469607 fill=872/884(0.986) chains=88 remaining=12 rejectedShort=0 failedPeels=1
3,Campaign500NormalFullV1:w13d,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v02_strictmixedaxisbreak_axis_break_chain_b,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v02_strictmixedaxisbreak_axis_break_chain_b,24,239,2,v02,339,Main/Level_Main_239,normal,Peak,StrictMixedAxisBreak,strict_mixed_dependency,axis_break_chain_b,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13d_03_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v02_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_03_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v02_strictmixedaxisbreak_axis_break_chain_b.asset,26,34,91,88,874,0.989,0.950,0.991,2,8,26,91,9.60,21,0.504,532,True,2,189.1,ok,20,Style=PressureHard | Score=43073 | TargetInitial=6 | OpeningRatio=0.022 | Straightness=0.504 | EarlyChoices=26.2/49 | LocalRun=7 | Jump=5.6 | NearRate=0.81 | Peel style=PressureHard seed=1461918245 fill=874/884(0.989) chains=91 remaining=10 rejectedShort=0 failedPeels=1
4,Campaign500NormalFullV1:w13d,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v03_strictmixedaxisbreak_axis_break_chain_b,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v03_strictmixedaxisbreak_axis_break_chain_b,24,239,3,v03,339,Main/Level_Main_239,normal,Peak,StrictMixedAxisBreak,strict_mixed_dependency,axis_break_chain_b,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13d_04_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v03_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_04_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v03_strictmixedaxisbreak_axis_break_chain_b.asset,26,34,91,88,866,0.980,0.950,0.987,3,10,31,91,9.52,21,0.465,428,True,3,188.7,ok,377,Style=PressureHard | Score=39586 | TargetInitial=6 | OpeningRatio=0.033 | Straightness=0.465 | EarlyChoices=23.9/39 | LocalRun=7 | Jump=6.5 | NearRate=0.71 | Peel style=PressureHard seed=1499315706 fill=866/884(0.980) chains=91 remaining=18 rejectedShort=0 failedPeels=1
5,Campaign500NormalFullV1:w13d,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v04_strictmixedaxisbreak_axis_break_chain_b,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v04_strictmixedaxisbreak_axis_break_chain_b,24,239,4,v04,339,Main/Level_Main_239,normal,Peak,StrictMixedAxisBreak,strict_mixed_dependency,axis_break_chain_b,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13d_05_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v04_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_05_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v04_strictmixedaxisbreak_axis_break_chain_b.asset,26,34,96,88,879,0.994,0.950,0.996,4,9,37,96,9.16,21,0.504,446,True,4,191.0,ok,213,Style=PressureHard | Score=37465 | TargetInitial=7 | OpeningRatio=0.042 | Straightness=0.504 | EarlyChoices=18.9/40 | LocalRun=12 | Jump=9.5 | NearRate=0.58 | Peel style=PressureHard seed=1482149358 fill=879/884(0.994) chains=96 remaining=5 rejectedShort=0 failedPeels=1
6,Campaign500NormalFullV1:w13d,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v05_strictmixedaxisbreak_axis_break_chain_b,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v05_strictmixedaxisbreak_axis_break_chain_b,24,239,5,v05,339,Main/Level_Main_239,normal,Peak,StrictMixedAxisBreak,strict_mixed_dependency,axis_break_chain_b,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13d_06_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v05_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_06_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v05_strictmixedaxisbreak_axis_break_chain_b.asset,26,34,94,88,872,0.986,0.950,0.982,4,7,26,94,9.28,21,0.475,583,True,4,189.3,ok,350,Style=PressureHard | Score=35415 | TargetInitial=7 | OpeningRatio=0.043 | Straightness=0.475 | EarlyChoices=31.7/57 | LocalRun=6 | Jump=8.7 | NearRate=0.55 | Peel style=PressureHard seed=1496506439 fill=872/884(0.986) chains=94 remaining=12 rejectedShort=0 failedPeels=1
7,Campaign500NormalFullV1:w13d,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v06_strictmixedaxisbreak_axis_break_chain_b,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v06_strictmixedaxisbreak_axis_break_chain_b,24,239,6,v06,339,Main/Level_Main_239,normal,Peak,StrictMixedAxisBreak,strict_mixed_dependency,axis_break_chain_b,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13d_07_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v06_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_07_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v06_strictmixedaxisbreak_axis_break_chain_b.asset,26,34,93,88,876,0.991,0.950,0.996,1,8,30,93,9.42,21,0.493,470,True,1,190.3,ok,285,Style=PressureHard | Score=38992 | TargetInitial=7 | OpeningRatio=0.011 | Straightness=0.493 | EarlyChoices=21.8/59 | LocalRun=7 | Jump=6.5 | NearRate=0.68 | Peel style=PressureHard seed=1489708262 fill=876/884(0.991) chains=93 remaining=8 rejectedShort=0 failedPeels=1
8,Campaign500NormalFullV1:w13d,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v07_strictmixedaxisbreak_axis_break_chain_b,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v07_strictmixedaxisbreak_axis_break_chain_b,24,239,7,v07,339,Main/Level_Main_239,normal,Peak,StrictMixedAxisBreak,strict_mixed_dependency,axis_break_chain_b,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13d_08_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v07_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_08_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v07_strictmixedaxisbreak_axis_break_chain_b.asset,26,34,93,88,871,0.985,0.950,0.973,4,8,32,93,9.37,21,0.460,514,True,4,189.1,ok,305,Style=PressureHard | Score=39402 | TargetInitial=7 | OpeningRatio=0.043 | Straightness=0.460 | EarlyChoices=21.6/51 | LocalRun=11 | Jump=6.5 | NearRate=0.68 | Peel style=PressureHard seed=1491812050 fill=871/884(0.985) chains=93 remaining=13 rejectedShort=0 failedPeels=1
9,Campaign500NormalFullV1:w13d,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v08_strictmixedaxisbreak_axis_break_chain_b,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v08_strictmixedaxisbreak_axis_break_chain_b,24,239,8,v08,339,Main/Level_Main_239,normal,Peak,StrictMixedAxisBreak,strict_mixed_dependency,axis_break_chain_b,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13d_09_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v08_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_09_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v08_strictmixedaxisbreak_axis_break_chain_b.asset,26,34,89,88,870,0.984,0.950,0.987,5,8,27,89,9.78,21,0.445,454,True,5,183.7,ok,412,Style=PressureHard | Score=30656 | TargetInitial=6 | OpeningRatio=0.067 | Straightness=0.445 | EarlyChoices=29.4/63 | LocalRun=8 | Jump=9.0 | NearRate=0.71 | Peel style=PressureHard seed=1503027261 fill=870/884(0.984) chains=89 remaining=14 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=6->5 edgeHeads=10->8 earlyChoices=31.0/65 localRun=6 jump=8.5 near=0.71 targetInitial=4
10,Campaign500NormalFullV1:w13d,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v09_strictmixedaxisbreak_axis_break_chain_b,nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v09_strictmixedaxisbreak_axis_break_chain_b,24,239,9,v09,339,Main/Level_Main_239,normal,Peak,StrictMixedAxisBreak,strict_mixed_dependency,axis_break_chain_b,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,26,34,0.765,L_Peak,171,163,171,1038,10,c5nep_w13d_10_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v09_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_10_nutation_strict_mixed_axisbreak_v1_rect_s24_o239_v09_strictmixedaxisbreak_axis_break_chain_b.asset,26,34,89,88,870,0.984,0.950,0.964,2,4,27,89,9.78,21,0.486,485,True,2,186.4,long-straight-run,389,Style=PressureHard | Score=43213 | TargetInitial=6 | OpeningRatio=0.022 | Straightness=0.486 | EarlyChoices=23.8/66 | LocalRun=5 | Jump=8.6 | NearRate=0.55 | Peel style=PressureHard seed=1500627702 fill=870/884(0.984) chains=89 remaining=14 rejectedShort=0 failedPeels=1
