Index,SourceBatch,SpecId,Type,Section10,Order,VariantIndex,VariantLabel,MainMissionId,LevelName,Category,RoleInSection,ProductionLane,ProductionStyleFamily,ProductionChainLanguage,ProductionDifficultyBand,ExperienceRole,ReviewOnly,StyleHint,ProfileHint,PlannedWidth,PlannedHeight,PlannedAspect,PlannedCanvasBand,PlannedTargetChains,TargetChainsMin,TargetChainsMax,ReferenceArrowTiles,ReferenceMaxChainLength,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain,nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain,28,279,0,v00,379,Main/Level_Main_279,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,rail_chain,NormalNeutral,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,107,99,107,766,13,c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain.asset,22,30,71,72,645,0.977,0.955,0.984,3,6,24,71,9.08,21,0.465,301,True,3,185.6,ok,171,Style=PressureHard | Score=24555 | TargetInitial=5 | OpeningRatio=0.042 | Straightness=0.465 | EarlyChoices=19.6/51 | LocalRun=5 | Jump=10.2 | NearRate=0.48 | Peel style=PressureHard seed=1921217898 fill=645/660(0.977) chains=71 remaining=15 rejectedShort=0 failedPeels=1
2,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s28_o279_v01_neutralmixed_rail_chain,nutation_mixed_neutral_v1_rect_s28_o279_v01_neutralmixed_rail_chain,28,279,1,v01,379,Main/Level_Main_279,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,rail_chain,NormalNeutral,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,107,99,107,766,13,c5nep_w6nm_02_nutation_mixed_neutral_v1_rect_s28_o279_v01_neutralmixed_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_02_nutation_mixed_neutral_v1_rect_s28_o279_v01_neutralmixed_rail_chain.asset,22,30,71,72,653,0.989,0.955,0.995,2,4,25,71,9.20,21,0.505,352,True,2,179.5,ok,1,Style=PressureHard | Score=18709 | TargetInitial=5 | OpeningRatio=0.028 | Straightness=0.505 | EarlyChoices=26.0/62 | LocalRun=4 | Jump=6.6 | NearRate=0.55 | Peel style=PressureHard seed=1903423176 fill=653/660(0.989) chains=71 remaining=7 rejectedShort=0 failedPeels=1
3,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s28_o279_v02_neutralmixed_rail_chain,nutation_mixed_neutral_v1_rect_s28_o279_v02_neutralmixed_rail_chain,28,279,2,v02,379,Main/Level_Main_279,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,rail_chain,NormalNeutral,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,107,99,107,766,13,c5nep_w6nm_03_nutation_mixed_neutral_v1_rect_s28_o279_v02_neutralmixed_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_03_nutation_mixed_neutral_v1_rect_s28_o279_v02_neutralmixed_rail_chain.asset,22,30,67,72,646,0.979,0.955,0.984,1,7,21,67,9.64,21,0.488,290,True,1,179.5,ok,79,Style=PressureHard | Score=17855 | TargetInitial=5 | OpeningRatio=0.015 | Straightness=0.488 | EarlyChoices=23.6/46 | LocalRun=5 | Jump=6.6 | NearRate=0.61 | Peel style=PressureHard seed=1911601246 fill=646/660(0.979) chains=67 remaining=14 rejectedShort=0 failedPeels=1
4,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s28_o279_v03_neutralmixed_rail_chain,nutation_mixed_neutral_v1_rect_s28_o279_v03_neutralmixed_rail_chain,28,279,3,v03,379,Main/Level_Main_279,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,rail_chain,NormalNeutral,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,107,99,107,766,13,c5nep_w6nm_04_nutation_mixed_neutral_v1_rect_s28_o279_v03_neutralmixed_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_04_nutation_mixed_neutral_v1_rect_s28_o279_v03_neutralmixed_rail_chain.asset,22,30,69,72,653,0.989,0.955,0.990,2,6,27,69,9.46,20,0.493,275,True,2,187.3,ok,68,Style=PressureHard | Score=16944 | TargetInitial=5 | OpeningRatio=0.029 | Straightness=0.493 | EarlyChoices=25.5/49 | LocalRun=5 | Jump=7.0 | NearRate=0.61 | Peel style=PressureHard seed=1910458435 fill=653/660(0.989) chains=69 remaining=7 rejectedShort=0 failedPeels=1
5,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s34_o339_v00_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s34_o339_v00_neutralmixed_mixed_chain,34,339,0,v00,439,Main/Level_Main_339,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,110,102,110,834,13,c5nep_w6nm_05_nutation_mixed_neutral_v1_rect_s34_o339_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_05_nutation_mixed_neutral_v1_rect_s34_o339_v00_neutralmixed_mixed_chain.asset,22,30,67,72,646,0.979,0.955,0.969,3,8,19,67,9.64,21,0.469,311,True,3,179.3,ok,101,Style=PressureHard | Score=16519 | TargetInitial=5 | OpeningRatio=0.045 | Straightness=0.469 | EarlyChoices=21.8/52 | LocalRun=6 | Jump=7.6 | NearRate=0.58 | Peel style=PressureHard seed=380754647 fill=646/660(0.979) chains=67 remaining=14 rejectedShort=0 failedPeels=1
6,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s34_o339_v01_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s34_o339_v01_neutralmixed_mixed_chain,34,339,1,v01,439,Main/Level_Main_339,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,110,102,110,834,13,c5nep_w6nm_06_nutation_mixed_neutral_v1_rect_s34_o339_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_06_nutation_mixed_neutral_v1_rect_s34_o339_v01_neutralmixed_mixed_chain.asset,22,30,73,72,653,0.989,0.955,0.990,5,6,30,73,8.95,21,0.436,333,True,5,182.2,ok,25,Style=PressureHard | Score=11966 | TargetInitial=5 | OpeningRatio=0.068 | Straightness=0.436 | EarlyChoices=25.5/64 | LocalRun=6 | Jump=6.7 | NearRate=0.61 | Peel style=PressureHard seed=372804451 fill=653/660(0.989) chains=73 remaining=7 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=5->5 edgeHeads=7->6 earlyChoices=25.0/64 localRun=6 jump=6.7 near=0.58 targetInitial=3
7,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s34_o339_v02_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s34_o339_v02_neutralmixed_mixed_chain,34,339,2,v02,439,Main/Level_Main_339,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,110,102,110,834,13,c5nep_w6nm_07_nutation_mixed_neutral_v1_rect_s34_o339_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_07_nutation_mixed_neutral_v1_rect_s34_o339_v02_neutralmixed_mixed_chain.asset,22,30,73,72,650,0.985,0.955,0.969,2,5,25,73,8.90,21,0.480,325,True,2,186.0,ok,4,Style=PressureHard | Score=19470 | TargetInitial=5 | OpeningRatio=0.027 | Straightness=0.480 | EarlyChoices=29.5/43 | LocalRun=5 | Jump=8.0 | NearRate=0.52 | Peel style=PressureHard seed=370614350 fill=650/660(0.985) chains=73 remaining=10 rejectedShort=0 failedPeels=1
8,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s34_o339_v03_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s34_o339_v03_neutralmixed_mixed_chain,34,339,3,v03,439,Main/Level_Main_339,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,110,102,110,834,13,c5nep_w6nm_08_nutation_mixed_neutral_v1_rect_s34_o339_v03_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_08_nutation_mixed_neutral_v1_rect_s34_o339_v03_neutralmixed_mixed_chain.asset,22,30,69,72,648,0.982,0.955,0.964,3,7,24,69,9.39,21,0.451,323,True,3,182.5,ok,299,Style=PressureHard | Score=18099 | TargetInitial=5 | OpeningRatio=0.043 | Straightness=0.451 | EarlyChoices=25.5/46 | LocalRun=5 | Jump=7.6 | NearRate=0.55 | Peel style=PressureHard seed=401518613 fill=648/660(0.982) chains=69 remaining=12 rejectedShort=0 failedPeels=1
9,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s35_o345_v00_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s35_o345_v00_neutralmixed_mixed_chain,35,345,0,v00,445,Main/Level_Main_345,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Recovery,0,sweep,PSG_Normal_sweep_NormalOrRecovery_Recovery,22,30,0.733,M_Neutral,115,107,115,866,13,c5nep_w6nm_09_nutation_mixed_neutral_v1_rect_s35_o345_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_09_nutation_mixed_neutral_v1_rect_s35_o345_v00_neutralmixed_mixed_chain.asset,22,30,71,72,648,0.982,0.955,0.969,2,8,25,71,9.13,21,0.445,375,True,2,179.3,ok,204,Style=PressureHard | Score=20778 | TargetInitial=5 | OpeningRatio=0.028 | Straightness=0.445 | EarlyChoices=22.6/47 | LocalRun=6 | Jump=6.7 | NearRate=0.61 | Peel style=PressureHard seed=1105237780 fill=648/660(0.982) chains=71 remaining=12 rejectedShort=0 failedPeels=1
10,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s35_o345_v01_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s35_o345_v01_neutralmixed_mixed_chain,35,345,1,v01,445,Main/Level_Main_345,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Recovery,0,sweep,PSG_Normal_sweep_NormalOrRecovery_Recovery,22,30,0.733,M_Neutral,115,107,115,866,13,c5nep_w6nm_10_nutation_mixed_neutral_v1_rect_s35_o345_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_10_nutation_mixed_neutral_v1_rect_s35_o345_v01_neutralmixed_mixed_chain.asset,22,30,69,72,650,0.985,0.955,0.979,3,8,19,69,9.42,21,0.541,311,True,3,177.5,long-straight-run,218,Style=PressureHard | Score=16034 | TargetInitial=5 | OpeningRatio=0.043 | Straightness=0.541 | EarlyChoices=25.0/50 | LocalRun=7 | Jump=7.8 | NearRate=0.45 | Peel style=PressureHard seed=1106713130 fill=650/660(0.985) chains=69 remaining=10 rejectedShort=0 failedPeels=1
11,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s35_o345_v02_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s35_o345_v02_neutralmixed_mixed_chain,35,345,2,v02,445,Main/Level_Main_345,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Recovery,0,sweep,PSG_Normal_sweep_NormalOrRecovery_Recovery,22,30,0.733,M_Neutral,115,107,115,866,13,c5nep_w6nm_11_nutation_mixed_neutral_v1_rect_s35_o345_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_11_nutation_mixed_neutral_v1_rect_s35_o345_v02_neutralmixed_mixed_chain.asset,22,30,73,72,649,0.983,0.955,0.974,2,8,26,73,8.89,21,0.513,351,True,2,186.8,ok,82,Style=PressureHard | Score=22063 | TargetInitial=5 | OpeningRatio=0.027 | Straightness=0.513 | EarlyChoices=21.3/46 | LocalRun=5 | Jump=8.0 | NearRate=0.55 | Peel style=PressureHard seed=1092479130 fill=649/660(0.983) chains=73 remaining=11 rejectedShort=0 failedPeels=1
12,Campaign500NormalFullV1:w6nm,nutation_mixed_neutral_v1_rect_s35_o345_v03_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s35_o345_v03_neutralmixed_mixed_chain,35,345,3,v03,445,Main/Level_Main_345,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Recovery,0,sweep,PSG_Normal_sweep_NormalOrRecovery_Recovery,22,30,0.733,M_Neutral,115,107,115,866,13,c5nep_w6nm_12_nutation_mixed_neutral_v1_rect_s35_o345_v03_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_12_nutation_mixed_neutral_v1_rect_s35_o345_v03_neutralmixed_mixed_chain.asset,22,30,68,72,653,0.989,0.955,0.984,1,4,16,68,9.60,20,0.520,327,True,1,187.2,long-straight-run,135,Style=PressureHard | Score=26915 | TargetInitial=5 | OpeningRatio=0.015 | Straightness=0.520 | EarlyChoices=21.2/47 | LocalRun=5 | Jump=6.3 | NearRate=0.65 | Peel style=PressureHard seed=1098038911 fill=653/660(0.989) chains=68 remaining=7 rejectedShort=0 failedPeels=1
