Index,SourceBatch,SpecId,Type,Section10,Order,VariantIndex,VariantLabel,MainMissionId,LevelName,Category,RoleInSection,ProductionLane,ProductionStyleFamily,ProductionChainLanguage,ProductionDifficultyBand,ExperienceRole,ReviewOnly,StyleHint,ProfileHint,PlannedWidth,PlannedHeight,PlannedAspect,PlannedCanvasBand,PlannedTargetChains,TargetChainsMin,TargetChainsMax,ReferenceArrowTiles,ReferenceMaxChainLength,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s04_o040_v00_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s04_o040_v00_strictmixedhard_mixed_chain,4,40,0,v00,140,Main/Level_Main_40,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,FixedFront40,0,lock,PSG_Normal_lock_Hard_FixedFront40,23,31,0.742,M_PeelMid,103,95,103,717,13,c5nep_w9smh_01_nutation_strict_mixed_hard_v1_rect_s04_o040_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_01_nutation_strict_mixed_hard_v1_rect_s04_o040_v00_strictmixedhard_mixed_chain.asset,23,31,75,84,704,0.987,0.950,0.990,2,7,21,75,9.39,21,0.460,336,True,2,187.9,ok,329,Style=PressureHard | Score=20204 | TargetInitial=5 | OpeningRatio=0.027 | Straightness=0.460 | EarlyChoices=24.2/46 | LocalRun=6 | Jump=6.0 | NearRate=0.65 | Peel style=PressureHard seed=2046353027 fill=704/713(0.987) chains=75 remaining=9 rejectedShort=0 failedPeels=1
2,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s04_o040_v01_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s04_o040_v01_strictmixedhard_mixed_chain,4,40,1,v01,140,Main/Level_Main_40,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,FixedFront40,0,lock,PSG_Normal_lock_Hard_FixedFront40,23,31,0.742,M_PeelMid,103,95,103,717,13,c5nep_w9smh_02_nutation_strict_mixed_hard_v1_rect_s04_o040_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_02_nutation_strict_mixed_hard_v1_rect_s04_o040_v01_strictmixedhard_mixed_chain.asset,23,31,72,84,708,0.993,0.950,0.990,3,5,19,72,9.83,21,0.502,335,True,3,183.9,ok,60,Style=PressureHard | Score=18142 | TargetInitial=5 | OpeningRatio=0.042 | Straightness=0.502 | EarlyChoices=24.9/55 | LocalRun=5 | Jump=6.5 | NearRate=0.52 | Peel style=PressureHard seed=2018190134 fill=708/713(0.993) chains=72 remaining=5 rejectedShort=0 failedPeels=1
3,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain,4,40,2,v02,140,Main/Level_Main_40,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,FixedFront40,0,lock,PSG_Normal_lock_Hard_FixedFront40,23,31,0.742,M_PeelMid,103,95,103,717,13,c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset,23,31,81,84,704,0.987,0.950,0.985,3,8,28,81,8.69,20,0.434,382,True,3,180.7,ok,356,Style=PressureHard | Score=23433 | TargetInitial=6 | OpeningRatio=0.037 | Straightness=0.434 | EarlyChoices=20.5/47 | LocalRun=11 | Jump=6.3 | NearRate=0.74 | Peel style=PressureHard seed=2049199126 fill=704/713(0.987) chains=81 remaining=9 rejectedShort=0 failedPeels=1
4,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s04_o040_v03_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s04_o040_v03_strictmixedhard_mixed_chain,4,40,3,v03,140,Main/Level_Main_40,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,FixedFront40,0,lock,PSG_Normal_lock_Hard_FixedFront40,23,31,0.742,M_PeelMid,103,95,103,717,13,c5nep_w9smh_04_nutation_strict_mixed_hard_v1_rect_s04_o040_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_04_nutation_strict_mixed_hard_v1_rect_s04_o040_v03_strictmixedhard_mixed_chain.asset,23,31,79,84,704,0.987,0.950,0.990,3,7,29,79,8.91,21,0.478,377,True,3,188.3,ok,253,Style=PressureHard | Score=17782 | TargetInitial=6 | OpeningRatio=0.038 | Straightness=0.478 | EarlyChoices=26.9/51 | LocalRun=8 | Jump=8.3 | NearRate=0.71 | Peel style=PressureHard seed=2038421247 fill=704/713(0.987) chains=79 remaining=9 rejectedShort=0 failedPeels=1
5,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s05_o044_v00_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s05_o044_v00_strictmixedhard_mixed_chain,5,44,0,v00,144,Main/Level_Main_44,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,section,PSG_Normal_section_Hard_Pressure,21,28,0.750,S_PeelMid,86,78,86,628,13,c5nep_w9smh_05_nutation_strict_mixed_hard_v1_rect_s05_o044_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_05_nutation_strict_mixed_hard_v1_rect_s05_o044_v00_strictmixedhard_mixed_chain.asset,21,28,56,84,577,0.981,0.950,0.972,2,5,15,56,10.30,20,0.486,244,True,2,173.2,long-straight-run,208,Style=PressureHard | Score=-4625 | TargetInitial=4 | OpeningRatio=0.036 | Straightness=0.486 | EarlyChoices=20.1/51 | LocalRun=5 | Jump=7.7 | NearRate=0.48 | Peel style=PressureHard seed=46632213 fill=577/588(0.981) chains=56 remaining=11 rejectedShort=0 failedPeels=1
6,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain,5,44,1,v01,144,Main/Level_Main_44,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,section,PSG_Normal_section_Hard_Pressure,21,28,0.750,S_PeelMid,86,78,86,628,13,c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain.asset,21,28,65,84,576,0.980,0.950,0.978,2,5,22,65,8.86,20,0.500,305,True,2,172.9,ok,384,Style=PressureHard | Score=-1873 | TargetInitial=5 | OpeningRatio=0.031 | Straightness=0.500 | EarlyChoices=27.0/49 | LocalRun=3 | Jump=9.1 | NearRate=0.32 | Peel style=PressureHard seed=65073661 fill=576/588(0.980) chains=65 remaining=12 rejectedShort=0 failedPeels=1
7,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s05_o044_v02_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s05_o044_v02_strictmixedhard_mixed_chain,5,44,2,v02,144,Main/Level_Main_44,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,section,PSG_Normal_section_Hard_Pressure,21,28,0.750,S_PeelMid,86,78,86,628,13,c5nep_w9smh_07_nutation_strict_mixed_hard_v1_rect_s05_o044_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_07_nutation_strict_mixed_hard_v1_rect_s05_o044_v02_strictmixedhard_mixed_chain.asset,21,28,60,84,580,0.986,0.950,0.978,1,5,17,60,9.67,21,0.526,258,True,1,175.3,ok,250,Style=PressureHard | Score=-1780 | TargetInitial=4 | OpeningRatio=0.017 | Straightness=0.526 | EarlyChoices=19.8/46 | LocalRun=9 | Jump=6.1 | NearRate=0.61 | Peel style=PressureHard seed=51049119 fill=580/588(0.986) chains=60 remaining=8 rejectedShort=0 failedPeels=1
8,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s05_o044_v03_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s05_o044_v03_strictmixedhard_mixed_chain,5,44,3,v03,144,Main/Level_Main_44,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,section,PSG_Normal_section_Hard_Pressure,21,28,0.750,S_PeelMid,86,78,86,628,13,c5nep_w9smh_08_nutation_strict_mixed_hard_v1_rect_s05_o044_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_08_nutation_strict_mixed_hard_v1_rect_s05_o044_v03_strictmixedhard_mixed_chain.asset,21,28,68,84,582,0.990,0.950,0.994,2,9,29,68,8.56,21,0.507,312,True,2,173.8,ok,328,Style=PressureHard | Score=-4748 | TargetInitial=5 | OpeningRatio=0.029 | Straightness=0.507 | EarlyChoices=21.4/56 | LocalRun=4 | Jump=7.0 | NearRate=0.55 | Peel style=PressureHard seed=59227125 fill=582/588(0.990) chains=68 remaining=6 rejectedShort=0 failedPeels=1
9,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s12_o116_v00_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s12_o116_v00_strictmixedhard_mixed_chain,12,116,0,v00,216,Main/Level_Main_116,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,lock,PSG_Normal_lock_Hard_Pressure,21,28,0.750,S_PeelMid,89,81,89,673,13,c5nep_w9smh_09_nutation_strict_mixed_hard_v1_rect_s12_o116_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_09_nutation_strict_mixed_hard_v1_rect_s12_o116_v00_strictmixedhard_mixed_chain.asset,21,28,70,84,579,0.985,0.950,0.989,2,6,29,70,8.27,21,0.490,240,True,2,186.1,ok,97,Style=PressureHard | Score=-8560 | TargetInitial=5 | OpeningRatio=0.029 | Straightness=0.490 | EarlyChoices=27.8/63 | LocalRun=5 | Jump=6.0 | NearRate=0.58 | Peel style=PressureHard seed=1607285067 fill=579/588(0.985) chains=70 remaining=9 rejectedShort=0 failedPeels=1
10,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain,12,116,1,v01,216,Main/Level_Main_116,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,lock,PSG_Normal_lock_Hard_Pressure,21,28,0.750,S_PeelMid,89,81,89,673,13,c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain.asset,21,28,66,84,580,0.986,0.950,0.978,3,5,24,66,8.79,21,0.453,298,True,3,180.0,ok,189,Style=PressureHard | Score=-2306 | TargetInitial=5 | OpeningRatio=0.045 | Straightness=0.453 | EarlyChoices=24.3/51 | LocalRun=7 | Jump=6.3 | NearRate=0.52 | Peel style=PressureHard seed=1616929279 fill=580/588(0.986) chains=66 remaining=8 rejectedShort=0 failedPeels=1
11,Campaign500NormalFullV1:w9smh,nutation_strict_mixed_hard_v1_rect_s12_o116_v02_strictmixedhard_mixed_chain,nutation_strict_mixed_hard_v1_rect_s12_o116_v02_strictmixedhard_mixed_chain,12,116,2,v02,216,Main/Level_Main_116,normal,Hard,StrictMixedHard,strict_mixed_dependency,mixed_chain,Hard,Pressure,0,lock,PSG_Normal_lock_Hard_Pressure,21,28,0.750,S_PeelMid,89,81,89,673,13,c5nep_w9smh_11_nutation_strict_mixed_hard_v1_rect_s12_o116_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_11_nutation_strict_mixed_hard_v1_rect_s12_o116_v02_strictmixedhard_mixed_chain.asset,21,28,57,84,578,0.983,0.950,0.983,3,6,16,57,10.14,21,0.509,264,True,3,172.9,ok,338,Style=PressureHard | Score=-7638 | TargetInitial=4 | OpeningRatio=0.053 | Straightness=0.509 | EarlyChoices=23.4/43 | LocalRun=8 | Jump=6.6 | NearRate=0.71 | Peel style=PressureHard seed=1632543044 fill=578/588(0.983) chains=57 remaining=10 rejectedShort=0 failedPeels=1
