Index,SourceBatch,SpecId,Type,Section10,Order,VariantIndex,VariantLabel,MainMissionId,LevelName,Category,RoleInSection,ProductionLane,ProductionStyleFamily,ProductionChainLanguage,ProductionDifficultyBand,ExperienceRole,ReviewOnly,StyleHint,ProfileHint,PlannedWidth,PlannedHeight,PlannedAspect,PlannedCanvasBand,PlannedTargetChains,TargetChainsMin,TargetChainsMax,ReferenceArrowTiles,ReferenceMaxChainLength,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s06_o060_v00_flowrail_patch_chain,nutation_flow_rail_v1_rect_s06_o060_v00_flowrail_patch_chain,6,60,0,v00,160,Main/Level_Main_60,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Recovery,0,section,PSG_Normal_section_NormalOrRecovery_Recovery,18,24,0.750,S_Flow,59,51,59,370,11,campaign500_normal_early_plus_v1_topup_fastlane1_01_nutation_flow_rail_v1_rect_s06_o060_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_01_nutation_flow_rail_v1_rect_s06_o060_v00_flowrail_patch_chain.asset,18,24,40,59,424,0.981,0.935,0.974,8,8,6,40,10.60,22,0.593,124,True,8,182.6,ok,4,Style=NutationFlowRailV1 | Score=38903 | TargetInitial=7 | OpeningRatio=0.200 | Peel style=NutationFlowRailV1 seed=1798686244 fill=424/432(0.981) chains=40 remaining=8 rejectedShort=0 failedPeels=1
2,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s06_o060_v01_flowrail_patch_chain,nutation_flow_rail_v1_rect_s06_o060_v01_flowrail_patch_chain,6,60,1,v01,160,Main/Level_Main_60,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Recovery,0,section,PSG_Normal_section_NormalOrRecovery_Recovery,18,24,0.750,S_Flow,59,51,59,370,11,campaign500_normal_early_plus_v1_topup_fastlane1_02_nutation_flow_rail_v1_rect_s06_o060_v01_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_02_nutation_flow_rail_v1_rect_s06_o060_v01_flowrail_patch_chain.asset,18,24,40,59,428,0.991,0.935,0.980,7,7,8,40,10.70,22,0.644,87,True,7,183.4,ok,2,Style=NutationFlowRailV1 | Score=38716 | TargetInitial=7 | OpeningRatio=0.175 | Peel style=NutationFlowRailV1 seed=1798485930 fill=428/432(0.991) chains=40 remaining=4 rejectedShort=0 failedPeels=1
3,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain,nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain,6,60,2,v02,160,Main/Level_Main_60,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Recovery,0,section,PSG_Normal_section_NormalOrRecovery_Recovery,18,24,0.750,S_Flow,59,51,59,370,11,campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset,18,24,38,59,430,0.995,0.935,1.000,2,2,6,38,11.32,22,0.684,137,True,2,167.1,long-straight-run,3,Style=NutationFlowRailV1 | Score=38595 | TargetInitial=7 | OpeningRatio=0.053 | Peel style=NutationFlowRailV1 seed=1798599803 fill=430/432(0.995) chains=38 remaining=2 rejectedShort=0 failedPeels=1
4,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain,nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain,7,68,0,v00,168,Main/Level_Main_68,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,18,24,0.750,S_Flow,59,51,59,368,9,campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain.asset,18,24,36,59,426,0.986,0.935,0.993,5,5,4,36,11.83,21,0.624,96,True,5,172.6,long-straight-run,4,Style=NutationFlowRailV1 | Score=38482 | TargetInitial=7 | OpeningRatio=0.139 | Peel style=NutationFlowRailV1 seed=765406706 fill=426/432(0.986) chains=36 remaining=6 rejectedShort=0 failedPeels=1
5,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s07_o068_v01_flowrail_mixed_chain,nutation_flow_rail_v1_rect_s07_o068_v01_flowrail_mixed_chain,7,68,1,v01,168,Main/Level_Main_68,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,18,24,0.750,S_Flow,59,51,59,368,9,campaign500_normal_early_plus_v1_topup_fastlane1_05_nutation_flow_rail_v1_rect_s07_o068_v01_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_05_nutation_flow_rail_v1_rect_s07_o068_v01_flowrail_mixed_chain.asset,18,24,42,59,426,0.986,0.935,0.987,3,3,7,42,10.14,22,0.588,137,True,3,170.7,long-straight-run,1,Style=NutationFlowRailV1 | Score=38824 | TargetInitial=7 | OpeningRatio=0.071 | Peel style=NutationFlowRailV1 seed=765101663 fill=426/432(0.986) chains=42 remaining=6 rejectedShort=0 failedPeels=1
6,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s07_o068_v02_flowrail_mixed_chain,nutation_flow_rail_v1_rect_s07_o068_v02_flowrail_mixed_chain,7,68,2,v02,168,Main/Level_Main_68,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,18,24,0.750,S_Flow,59,51,59,368,9,campaign500_normal_early_plus_v1_topup_fastlane1_06_nutation_flow_rail_v1_rect_s07_o068_v02_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_06_nutation_flow_rail_v1_rect_s07_o068_v02_flowrail_mixed_chain.asset,18,24,45,59,429,0.993,0.935,0.993,9,9,11,45,9.53,22,0.605,104,True,9,184.2,ok,1,Style=NutationFlowRailV1 | Score=38602 | TargetInitial=7 | OpeningRatio=0.200 | Peel style=NutationFlowRailV1 seed=765110807 fill=429/432(0.993) chains=45 remaining=3 rejectedShort=0 failedPeels=1
7,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,9,81,0,v00,181,Main/Level_Main_81,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Recovery,0,sweep,PSG_Normal_sweep_NormalOrRecovery_Recovery,18,24,0.750,S_Flow,46,38,46,380,117,campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset,18,24,36,46,429,0.993,0.935,1.000,5,5,7,36,11.92,22,0.630,149,True,5,164.5,long-straight-run,2,Style=NutationFlowRailV1 | Score=40930 | TargetInitial=7 | OpeningRatio=0.139 | Peel style=NutationFlowRailV1 seed=1991200359 fill=429/432(0.993) chains=36 remaining=3 rejectedShort=0 failedPeels=1
8,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s09_o081_v01_flowrail_patch_chain,nutation_flow_rail_v1_rect_s09_o081_v01_flowrail_patch_chain,9,81,1,v01,181,Main/Level_Main_81,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Recovery,0,sweep,PSG_Normal_sweep_NormalOrRecovery_Recovery,18,24,0.750,S_Flow,46,38,46,380,117,campaign500_normal_early_plus_v1_topup_fastlane1_08_nutation_flow_rail_v1_rect_s09_o081_v01_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_08_nutation_flow_rail_v1_rect_s09_o081_v01_flowrail_patch_chain.asset,18,24,41,46,426,0.986,0.935,0.987,3,3,8,41,10.39,21,0.631,130,True,3,174.6,long-straight-run,2,Style=NutationFlowRailV1 | Score=41104 | TargetInitial=7 | OpeningRatio=0.073 | Peel style=NutationFlowRailV1 seed=1991209567 fill=426/432(0.986) chains=41 remaining=6 rejectedShort=0 failedPeels=1
9,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s09_o081_v02_flowrail_patch_chain,nutation_flow_rail_v1_rect_s09_o081_v02_flowrail_patch_chain,9,81,2,v02,181,Main/Level_Main_81,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Recovery,0,sweep,PSG_Normal_sweep_NormalOrRecovery_Recovery,18,24,0.750,S_Flow,46,38,46,380,117,campaign500_normal_early_plus_v1_topup_fastlane1_09_nutation_flow_rail_v1_rect_s09_o081_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_09_nutation_flow_rail_v1_rect_s09_o081_v02_flowrail_patch_chain.asset,18,24,38,46,427,0.988,0.935,1.000,3,3,5,38,11.24,22,0.664,122,True,3,180.3,long-straight-run,7,Style=NutationFlowRailV1 | Score=41640 | TargetInitial=7 | OpeningRatio=0.079 | Peel style=NutationFlowRailV1 seed=1991742420 fill=427/432(0.988) chains=38 remaining=5 rejectedShort=0 failedPeels=1
10,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s10_o092_v00_flowrail_rail_chain,nutation_flow_rail_v1_rect_s10_o092_v00_flowrail_rail_chain,10,92,0,v00,192,Main/Level_Main_92,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,rail_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,18,24,0.750,S_Flow,48,40,48,393,19,campaign500_normal_early_plus_v1_topup_fastlane1_10_nutation_flow_rail_v1_rect_s10_o092_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_10_nutation_flow_rail_v1_rect_s10_o092_v00_flowrail_rail_chain.asset,18,24,42,48,428,0.991,0.935,0.980,5,5,10,42,10.19,22,0.616,139,True,5,177.4,long-straight-run,1,Style=NutationFlowRailV1 | Score=40606 | TargetInitial=7 | OpeningRatio=0.119 | Peel style=NutationFlowRailV1 seed=1314681249 fill=428/432(0.991) chains=42 remaining=4 rejectedShort=0 failedPeels=1
11,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s10_o092_v01_flowrail_rail_chain,nutation_flow_rail_v1_rect_s10_o092_v01_flowrail_rail_chain,10,92,1,v01,192,Main/Level_Main_92,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,rail_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,18,24,0.750,S_Flow,48,40,48,393,19,campaign500_normal_early_plus_v1_topup_fastlane1_11_nutation_flow_rail_v1_rect_s10_o092_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_11_nutation_flow_rail_v1_rect_s10_o092_v01_flowrail_rail_chain.asset,18,24,39,48,430,0.995,0.935,0.993,4,4,8,39,11.03,22,0.747,102,True,4,179.5,long-straight-run,6,Style=NutationFlowRailV1 | Score=40757 | TargetInitial=7 | OpeningRatio=0.103 | Peel style=NutationFlowRailV1 seed=1315214102 fill=430/432(0.995) chains=39 remaining=2 rejectedShort=0 failedPeels=1
12,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,10,92,2,v02,192,Main/Level_Main_92,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,rail_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,18,24,0.750,S_Flow,48,40,48,393,19,campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset,18,24,34,48,425,0.984,0.935,0.987,5,5,7,34,12.50,22,0.625,92,True,5,171.6,long-straight-run,2,Style=NutationFlowRailV1 | Score=39634 | TargetInitial=7 | OpeningRatio=0.147 | Peel style=NutationFlowRailV1 seed=1314804394 fill=425/432(0.984) chains=34 remaining=7 rejectedShort=0 failedPeels=1
13,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s12_o115_v00_flowrail_patch_chain,nutation_flow_rail_v1_rect_s12_o115_v00_flowrail_patch_chain,12,115,0,v00,215,Main/Level_Main_115,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,74,66,74,584,13,campaign500_normal_early_plus_v1_topup_fastlane1_13_nutation_flow_rail_v1_rect_s12_o115_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_13_nutation_flow_rail_v1_rect_s12_o115_v00_flowrail_patch_chain.asset,20,27,56,70,536,0.993,0.935,0.988,11,11,11,56,9.57,22,0.583,223,True,11,181.6,long-straight-run,7,Style=NutationFlowRailV1 | Score=49171 | TargetInitial=8 | OpeningRatio=0.196 | Peel style=NutationFlowRailV1 seed=807203150 fill=536/540(0.993) chains=56 remaining=4 rejectedShort=0 failedPeels=1
14,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s12_o115_v01_flowrail_patch_chain,nutation_flow_rail_v1_rect_s12_o115_v01_flowrail_patch_chain,12,115,1,v01,215,Main/Level_Main_115,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,74,66,74,584,13,campaign500_normal_early_plus_v1_topup_fastlane1_14_nutation_flow_rail_v1_rect_s12_o115_v01_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_14_nutation_flow_rail_v1_rect_s12_o115_v01_flowrail_patch_chain.asset,20,27,51,70,536,0.993,0.935,0.994,10,10,6,51,10.51,22,0.622,156,True,10,185.3,long-straight-run,26,Style=NutationFlowRailV1 | Score=50003 | TargetInitial=8 | OpeningRatio=0.196 | Peel style=NutationFlowRailV1 seed=809202209 fill=536/540(0.993) chains=51 remaining=4 rejectedShort=0 failedPeels=1
15,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain,nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain,12,115,2,v02,215,Main/Level_Main_115,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,74,66,74,584,13,campaign500_normal_early_plus_v1_topup_fastlane1_15_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_15_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset,20,27,56,70,540,1.000,0.935,1.000,7,7,13,56,9.64,21,0.603,174,True,7,178.7,long-straight-run,38,Style=NutationFlowRailV1 | Score=49115 | TargetInitial=8 | OpeningRatio=0.125 | Peel style=NutationFlowRailV1 seed=810468165 fill=540/540(1.000) chains=56 remaining=0 rejectedShort=0 failedPeels=0
16,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain,nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain,15,145,0,v00,245,Main/Level_Main_145,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Recovery,0,maze,PSG_Normal_maze_NormalOrRecovery_Recovery,20,27,0.741,M_Flow,95,87,95,704,13,campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset,20,27,46,70,535,0.991,0.935,0.988,3,3,7,46,11.63,22,0.648,210,True,3,164.1,long-straight-run,1,Style=NutationFlowRailV1 | Score=48186 | TargetInitial=7 | OpeningRatio=0.065 | Peel style=NutationFlowRailV1 seed=1207185157 fill=535/540(0.991) chains=46 remaining=5 rejectedShort=0 failedPeels=1
17,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s15_o145_v01_flowrail_patch_chain,nutation_flow_rail_v1_rect_s15_o145_v01_flowrail_patch_chain,15,145,1,v01,245,Main/Level_Main_145,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Recovery,0,maze,PSG_Normal_maze_NormalOrRecovery_Recovery,20,27,0.741,M_Flow,95,87,95,704,13,campaign500_normal_early_plus_v1_topup_fastlane1_17_nutation_flow_rail_v1_rect_s15_o145_v01_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_17_nutation_flow_rail_v1_rect_s15_o145_v01_flowrail_patch_chain.asset,20,27,53,70,535,0.991,0.935,0.994,3,3,6,53,10.09,21,0.671,204,True,3,182.1,long-straight-run,55,Style=NutationFlowRailV1 | Score=49968 | TargetInitial=8 | OpeningRatio=0.057 | Peel style=NutationFlowRailV1 seed=1212849667 fill=535/540(0.991) chains=53 remaining=5 rejectedShort=0 failedPeels=1
18,Campaign500NormalFullV1:fastlane1,nutation_flow_rail_v1_rect_s15_o145_v02_flowrail_patch_chain,nutation_flow_rail_v1_rect_s15_o145_v02_flowrail_patch_chain,15,145,2,v02,245,Main/Level_Main_145,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Recovery,0,maze,PSG_Normal_maze_NormalOrRecovery_Recovery,20,27,0.741,M_Flow,95,87,95,704,13,campaign500_normal_early_plus_v1_topup_fastlane1_18_nutation_flow_rail_v1_rect_s15_o145_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_18_nutation_flow_rail_v1_rect_s15_o145_v02_flowrail_patch_chain.asset,20,27,48,70,533,0.987,0.935,0.988,5,5,7,48,11.10,21,0.584,188,True,5,183.1,ok,16,Style=NutationFlowRailV1 | Score=48676 | TargetInitial=7 | OpeningRatio=0.104 | Peel style=NutationFlowRailV1 seed=1208774380 fill=533/540(0.987) chains=48 remaining=7 rejectedShort=0 failedPeels=1
