Index,SourceBatch,SpecId,Type,Section10,Order,VariantIndex,VariantLabel,MainMissionId,LevelName,Category,RoleInSection,ProductionLane,ProductionStyleFamily,ProductionChainLanguage,ProductionDifficultyBand,ExperienceRole,ReviewOnly,StyleHint,ProfileHint,PlannedWidth,PlannedHeight,PlannedAspect,PlannedCanvasBand,PlannedTargetChains,TargetChainsMin,TargetChainsMax,ReferenceArrowTiles,ReferenceMaxChainLength,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s12_o115_v00_flowrail_patch_chain,nutation_flow_rail_v1_rect_s12_o115_v00_flowrail_patch_chain,12,115,0,v00,215,Main/Level_Main_115,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,74,66,74,584,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_01_nutation_flow_rail_v1_rect_s12_o115_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_01_nutation_flow_rail_v1_rect_s12_o115_v00_flowrail_patch_chain.asset,20,27,52,70,536,0.993,0.935,0.988,13,13,7,52,10.31,22,0.618,157,True,13,185.1,ok,32,Style=NutationFlowRailV1 | Score=49481 | TargetInitial=8 | OpeningRatio=0.250 | Peel style=NutationFlowRailV1 seed=809711263 fill=536/540(0.993) chains=52 remaining=4 rejectedShort=0 failedPeels=1
2,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s12_o115_v01_flowrail_patch_chain,nutation_flow_rail_v1_rect_s12_o115_v01_flowrail_patch_chain,12,115,1,v01,215,Main/Level_Main_115,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,74,66,74,584,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_02_nutation_flow_rail_v1_rect_s12_o115_v01_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_02_nutation_flow_rail_v1_rect_s12_o115_v01_flowrail_patch_chain.asset,20,27,51,70,536,0.993,0.935,0.977,4,4,8,51,10.51,22,0.634,194,True,4,177.0,long-straight-run,8,Style=NutationFlowRailV1 | Score=49012 | TargetInitial=8 | OpeningRatio=0.078 | Peel style=NutationFlowRailV1 seed=807206975 fill=536/540(0.993) chains=51 remaining=4 rejectedShort=0 failedPeels=1
3,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain,nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain,12,115,2,v02,215,Main/Level_Main_115,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,74,66,74,584,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset,20,27,47,70,535,0.991,0.935,0.983,8,8,7,47,11.38,22,0.637,177,True,8,176.6,long-straight-run,38,Style=NutationFlowRailV1 | Score=48774 | TargetInitial=7 | OpeningRatio=0.170 | Peel style=NutationFlowRailV1 seed=810358053 fill=535/540(0.991) chains=47 remaining=5 rejectedShort=0 failedPeels=1
4,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s16_o160_v00_flowrail_mixed_chain,nutation_flow_rail_v1_rect_s16_o160_v00_flowrail_mixed_chain,16,160,0,v00,260,Main/Level_Main_160,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,20,27,0.741,M_Flow,76,68,76,638,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_04_nutation_flow_rail_v1_rect_s16_o160_v00_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_04_nutation_flow_rail_v1_rect_s16_o160_v00_flowrail_mixed_chain.asset,20,27,49,70,530,0.981,0.935,0.977,9,9,6,49,10.82,21,0.586,175,True,9,181.5,ok,35,Style=NutationFlowRailV1 | Score=48942 | TargetInitial=7 | OpeningRatio=0.184 | Peel style=NutationFlowRailV1 seed=1270182378 fill=530/540(0.981) chains=49 remaining=10 rejectedShort=0 failedPeels=1
5,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s16_o160_v01_flowrail_mixed_chain,nutation_flow_rail_v1_rect_s16_o160_v01_flowrail_mixed_chain,16,160,1,v01,260,Main/Level_Main_160,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,20,27,0.741,M_Flow,76,68,76,638,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_05_nutation_flow_rail_v1_rect_s16_o160_v01_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_05_nutation_flow_rail_v1_rect_s16_o160_v01_flowrail_mixed_chain.asset,20,27,55,70,537,0.994,0.935,1.000,9,9,12,55,9.76,22,0.672,175,True,9,178.8,long-straight-run,87,Style=NutationFlowRailV1 | Score=48955 | TargetInitial=8 | OpeningRatio=0.164 | Peel style=NutationFlowRailV1 seed=1275637494 fill=537/540(0.994) chains=55 remaining=3 rejectedShort=0 failedPeels=1
6,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s16_o160_v02_flowrail_mixed_chain,nutation_flow_rail_v1_rect_s16_o160_v02_flowrail_mixed_chain,16,160,2,v02,260,Main/Level_Main_160,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,mixed_chain,NormalFlow,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,20,27,0.741,M_Flow,76,68,76,638,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_06_nutation_flow_rail_v1_rect_s16_o160_v02_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_06_nutation_flow_rail_v1_rect_s16_o160_v02_flowrail_mixed_chain.asset,20,27,54,70,536,0.993,0.935,0.988,6,6,9,54,9.93,22,0.572,241,True,6,183.6,long-straight-run,2,Style=NutationFlowRailV1 | Score=49576 | TargetInitial=8 | OpeningRatio=0.111 | Peel style=NutationFlowRailV1 seed=1266744737 fill=536/540(0.993) chains=54 remaining=4 rejectedShort=0 failedPeels=1
7,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s18_o175_v00_flowrail_patch_chain,nutation_flow_rail_v1_rect_s18_o175_v00_flowrail_patch_chain,18,175,0,v00,275,Main/Level_Main_175,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,92,84,92,649,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_07_nutation_flow_rail_v1_rect_s18_o175_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_07_nutation_flow_rail_v1_rect_s18_o175_v00_flowrail_patch_chain.asset,20,27,55,70,534,0.989,0.935,0.988,9,9,7,55,9.71,22,0.561,150,True,9,184.6,long-straight-run,6,Style=NutationFlowRailV1 | Score=50441 | TargetInitial=8 | OpeningRatio=0.164 | Peel style=NutationFlowRailV1 seed=741456109 fill=534/540(0.989) chains=55 remaining=6 rejectedShort=0 failedPeels=1
8,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain,nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain,18,175,1,v01,275,Main/Level_Main_175,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,92,84,92,649,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset,20,27,53,70,535,0.991,0.935,0.994,6,6,10,53,10.09,21,0.667,203,True,6,182.9,long-straight-run,9,Style=NutationFlowRailV1 | Score=48903 | TargetInitial=8 | OpeningRatio=0.113 | Peel style=NutationFlowRailV1 seed=741779440 fill=535/540(0.991) chains=53 remaining=5 rejectedShort=0 failedPeels=1
9,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s18_o175_v02_flowrail_patch_chain,nutation_flow_rail_v1_rect_s18_o175_v02_flowrail_patch_chain,18,175,2,v02,275,Main/Level_Main_175,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,patch_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,92,84,92,649,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_09_nutation_flow_rail_v1_rect_s18_o175_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_09_nutation_flow_rail_v1_rect_s18_o175_v02_flowrail_patch_chain.asset,20,27,48,70,538,0.996,0.935,1.000,3,3,5,48,11.21,20,0.600,178,True,3,179.4,long-straight-run,31,Style=NutationFlowRailV1 | Score=49660 | TargetInitial=7 | OpeningRatio=0.063 | Peel style=NutationFlowRailV1 seed=744092622 fill=538/540(0.996) chains=48 remaining=2 rejectedShort=0 failedPeels=1
10,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain,nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain,26,254,0,v00,354,Main/Level_Main_254,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,rail_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,101,93,101,740,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset,20,27,50,70,535,0.991,0.935,1.000,8,8,7,50,10.70,21,0.605,182,True,8,183.4,ok,15,Style=NutationFlowRailV1 | Score=49580 | TargetInitial=8 | OpeningRatio=0.160 | Peel style=NutationFlowRailV1 seed=67852757 fill=535/540(0.991) chains=50 remaining=5 rejectedShort=0 failedPeels=1
11,Campaign500NormalFullV1:wave2_flowrail_rerun1,nutation_flow_rail_v1_rect_s26_o254_v01_flowrail_rail_chain,nutation_flow_rail_v1_rect_s26_o254_v01_flowrail_rail_chain,26,254,1,v01,354,Main/Level_Main_254,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,rail_chain,NormalFlow,Normal,0,section,PSG_Normal_section_NormalOrRecovery_Normal,20,27,0.741,M_Flow,101,93,101,740,13,campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_11_nutation_flow_rail_v1_rect_s26_o254_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/wave2_flowrail_rerun1/campaign500_normal_early_plus_v1_topup_wave2_flowrail_rerun1_11_nutation_flow_rail_v1_rect_s26_o254_v01_flowrail_rail_chain.asset,20,27,52,70,537,0.994,0.935,0.994,7,7,7,52,10.33,22,0.642,150,True,7,185.7,ok,7,Style=NutationFlowRailV1 | Score=50088 | TargetInitial=8 | OpeningRatio=0.135 | Peel style=NutationFlowRailV1 seed=67024069 fill=537/540(0.994) chains=52 remaining=3 rejectedShort=0 failedPeels=1
