"rankClass","psgRankScore","processKeep","visualPass","keepCandidate","stsMetricPresent","stsPass","stsKeepCandidate","rejectReasons","slot","sourceIndex","order","sourceBatch","sourceReport","section10","variantIndex","variantLabel","mainMissionId","levelName","category","roleInSection","productionLane","productionStyleFamily","productionChainLanguage","productionDifficultyBand","experienceRole","reviewOnly","plannedWidth","plannedHeight","plannedAspect","plannedCanvasBand","plannedTargetChains","targetChainsMin","targetChainsMax","referenceArrowTiles","referenceMaxChainLength","actualTargetChains","mode","styleHint","profileHint","type","styleFamily","generatorVariant","generatorGrammar","chainLanguage","chainLanguageDetail","chainTags","flowLanguage","flowTags","riskTags","styleRiskBand","specId","levelId","assetPath","path","selected","width","height","sourceCoverage","chains","sourceAvgChain","sourceMaxChain","sourceStraightness","sourceShortChainRate","sourceEdgeHeadRate","sourceOpeners","sourceEdgeHeads","solved","processTier","processTierReason","avgChoices","maxChoices","localPatchRun","nearOuterRun","dependencyFollowRun","directionalRisk","stripeRisk","edgeInwardSweepRun","edgeInwardSweepSide","startSideHint","solveVectorRun","solveTraceQualityScore","solveTraceCollapseRiskScore","solveAxisDriftRate","solveSameAxisRunMax","solveSameDirHeadRunMax","solveRegionEntropy","solveRegionCollapseRunMax","solveFrontWidthAvg","solveFrontWidthNarrowRate","dependencyRegionEntropy","dependencyLocalSameRegionRate","dependencySameAxisHeadRate","dependencySameDirHeadRate","dependencyBraidScore","hardStructureV3Class","sourceStatus"
"TraceOrderKeep","2.684","True","True","True","True","True","True","","3","13","3","Campaign500NormalFullV1:s01_s13","relocated_from_order_11","1","0","v00","103","Main/Level_Main_3","normal","NormalA_FlowOrNeutral","FlowCurve","flow_continuous","curve_chain","NormalFlow","Normal","0","18","24","0.75","S_Flow","19","16","22","122","9","31","","normal","PSG_Normal_normal_NormalOrRecovery_Normal","nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain","flow_continuous","nutation_flow_rail_v1","rectangle_peel","rail_chain","flow_rail_chain","long_chain;straight_lane;flow_rail_chain;edge_headed;flow_curve_chain","staged_unlock","peel_grammar;multi_region;axis_drift;wide_front;staged_unlock;peel_visible","choice_peak_watch;stripe_watch;near_outer_watch;long_low_turn_visual","watch","nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain","campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","1","18","24","0.988","40","10.68","22","0.611","0.175","0.125","5","5","True","B","flow or late-campaign only","5.08","9","5","5","2","0.187","0.191","2","T","top-edge inward / starts around top side","2","0.919","0.113","0.513","5","5","0.991","3","3.825","0.25","0.992","0.314","0.4","0.343","0.334","LocalEasy","Style=NutationFlowRailV1 | Score=40926 | TargetInitial=7 | OpeningRatio=0.125 | Peel style=NutationFlowRailV1 seed=1260472832 fill=427/432(0.988) chains=40 remaining=5 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.683","True","True","True","True","True","True","","5","6","5","Campaign500NormalFullV1:s01_s13","relocated_from_order_5","1","2","v02","105","Main/Level_Main_5","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","0","20","27","0.741","S_Neutral","26","23","29","364","204","37","","normal","PSG_Normal_normal_NormalOrRecovery_Normal","nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain","mixed_unknown","unknown_variant","rectangle_peel","mixed_chain","mixed_chain","","staged_unlock","peel_grammar;multi_region;axis_drift;wide_front;stable_front;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;same_dir_watch","watch","nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","1","20","27","0.981","51","10.39","21","0.523","0.176","0.078","3","4","True","B","flow or late-campaign only","5.88","10","6","2","3","0.146","0.113","2","T","top-edge inward / starts around top side","3","0.889","0.137","0.54","6","6","0.988","3","4.49","0.078","0.99","0.458","0.562","0.521","0.322","LocalEasy","Style=PressureHard | Score=1939 | TargetInitial=4 | OpeningRatio=0.078 | Straightness=0.523 | EarlyChoices=24.2/42 | LocalRun=4 | Jump=8.8 | NearRate=0.52 | Peel style=PressureHard seed=950268344 fill=530/540(0.981) chains=51 remaining=10 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=4->3 edgeHeads=6->4 earlyChoices=25.1/42 localRun=4 jump=8.4 near=0.55 targetInitial=3"
"TraceOrderKeep","2.669","True","True","True","True","True","True","","8","4","8","Campaign500NormalFullV1:w4pl","","1","3","v03","108","Main/Level_Main_8","normal","Hard","PeelMid","peel_mid","curve_chain","Hard","Normal","0","21","28","0.75","S_PeelMid","46","42","50","347","13","52","","normal","PSG_Normal_normal_NormalOrRecovery_Normal","nutation_peel_rect_s01_o008_v03_peellight_curve_chain","peel_layered","nutation_peel_curve_v1","rectangle_peel","curve_chain","peel_layer_chain","short_patchwork;woven_medium;peel_layer_chain","staged_unlock","peel_grammar;multi_region;axis_drift;wide_front;stable_front;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;broad_choice_curve;near_outer_watch;same_axis_watch","watch","nutation_peel_rect_s01_o008_v03_peellight_curve_chain","c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain.asset","1","21","28","0.986","64","9.06","21","0.139","0.266","0.062","4","4","True","B","flow or late-campaign only","6.02","10","5","5","5","0.187","0.026","2","R","right-edge inward / starts around right side","2","0.912","0.095","0.524","7","4","0.997","3","4.062","0.094","0.993","0.45","0.55","0.483","0.326","LocalEasy","Style=NutationPeelLayer | Score=-102254 | TargetInitial=4 | OpeningRatio=0.078 | Straightness=0.139 | EarlyChoices=34.9/55 | LocalRun=7 | Jump=10.0 | NearRate=0.48 | TraceRun=5/1 HeadRun=2/2 TraceJump=13.2 TraceNear=0.26 TraceSame=0 Rhythm=9/32/2 AxisShift=0 DirShift=0 PeelLayer=4/24/4 PeelBack=13 PeelProgress=0.33 | Peel style=NutationPeelLayer seed=749350027 fill=580/588(0.986) chains=64 remaining=8 rejectedShort=0 failedPeels=1 interference=NearDirV1 directionGrammar=CycleV1 | FlipGate=ops=1 initial=5->4 edgeHeads=5->4 earlyChoices=33.4/55 localRun=8 jump=9.9 near=0.52 | TraceRun=5/1 HeadRun=2/2 TraceJump=13.5 TraceNear=0.26 TraceSame=0 Rhythm=9/32/2 AxisShift=0 DirShift=0 PeelLayer=4/25/4 PeelBack=14 PeelProgress=0.33 targetInitial=3"
"TraceOrderKeep","2.672","True","True","True","True","True","True","","10","1","10","Campaign500NormalFullV1:w11a","","1","0","v00","110","Main/Level_Main_10","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Normal","0","22","30","0.733","S_Peak","60","55","65","372","9","58","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain","mixed_unknown","unknown_variant","rectangle_peel","curve_chain","woven_medium","woven_medium","staged_unlock","peel_grammar;multi_region;axis_drift;wide_front;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;same_axis_watch","watch","nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain","c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset","1","22","30","0.986","65","10.02","21","0.503","0.277","0.077","1","5","True","B","flow or late-campaign only","5.54","10","4","4","3","0.132","0.106","2","B","bottom-edge inward / starts around bottom side","2","0.835","0.224","0.484","8","5","0.99","5","4.108","0.185","0.99","0.547","0.562","0.516","0.243","LocalEasy","Style=PressureHard | Score=13714 | TargetInitial=5 | OpeningRatio=0.015 | Straightness=0.503 | EarlyChoices=24.3/65 | LocalRun=5 | Jump=7.4 | NearRate=0.55 | Peel style=PressureHard seed=1536715824 fill=651/660(0.986) chains=65 remaining=9 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.86","True","True","True","True","True","True","","11","15","11","Campaign500NormalFullV1:s01_s13","relocated_from_order_11","2","2","v02","111","Main/Level_Main_11","normal","NormalA_FlowOrNeutral","FlowRail","flow_continuous","rail_chain","NormalFlow","Normal","0","18","24","0.75","S_Flow","31","28","34","209","11","31","","normal","PSG_Normal_normal_NormalOrRecovery_Normal","nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain","flow_continuous","nutation_flow_rail_v1","rectangle_peel","rail_chain","flow_rail_chain","long_chain;straight_lane;flow_rail_chain;edge_headed;flow_curve_chain","region_alternating_flow","peel_grammar;multi_region;axis_drift;wide_front;peel_visible","stripe_watch;long_low_turn_visual","watch","nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain","campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","1","18","24","0.988","36","11.86","22","0.637","0.111","0.167","6","6","True","A","usable process curve","3.94","7","3","3","5","0.03","0.233","2","R","right-edge inward / starts around right side","2","0.809","0.051","0.771","3","2","0.991","4","3.667","0.111","0.981","0.267","0.367","0.267","0.545","LocalEasy","Style=NutationFlowRailV1 | Score=42667 | TargetInitial=7 | OpeningRatio=0.167 | Peel style=NutationFlowRailV1 seed=1260491248 fill=427/432(0.988) chains=36 remaining=5 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.726","True","True","True","True","True","True","","16","6","16","Campaign500NormalFullV1:w4pl","","2","1","v01","116","Main/Level_Main_16","normal","Hard","PeelMid","peel_mid","rail_chain","Hard","Normal","0","21","28","0.75","S_PeelMid","54","50","58","426","13","52","","lock","PSG_Normal_lock_NormalOrRecovery_Normal","nutation_peel_rect_s02_o016_v01_peellight_curve_chain","peel_layered","nutation_peel_curve_v1","rectangle_peel","curve_chain","peel_layer_chain","short_patchwork;woven_medium;edge_headed;peel_layer_chain","region_alternating_flow","peel_grammar;multi_region;axis_drift;wide_front","directional_sweep_watch;near_outer_watch","watch","nutation_peel_rect_s02_o016_v01_peellight_curve_chain","c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain.asset","1","21","28","0.974","63","9.1","21","0.103","0.27","0.111","5","7","True","B","flow or late-campaign only","5.19","8","6","5","4","0.236","0.004","1","B","bottom-edge inward / starts around bottom side","3","0.848","0.085","0.645","4","4","0.992","4","3.905","0.143","0.988","0.534","0.5","0.483","0.379","LocalEasy","Style=NutationPeelLayer | Score=-117206 | TargetInitial=4 | OpeningRatio=0.127 | Straightness=0.103 | EarlyChoices=33.6/83 | LocalRun=4 | Jump=9.5 | NearRate=0.48 | TraceRun=3/1 HeadRun=1/1 TraceJump=13.5 TraceNear=0.15 TraceSame=0 Rhythm=9/33/3 AxisShift=1 DirShift=1 PeelLayer=5/27/4 PeelBack=15 PeelProgress=0.25 | Peel style=NutationPeelLayer seed=338949472 fill=573/588(0.974) chains=63 remaining=15 rejectedShort=0 failedPeels=1 interference=NearDirV1 directionGrammar=CycleV1 | FlipGate=ops=3 initial=8->5 edgeHeads=10->7 earlyChoices=24.2/56 localRun=4 jump=7.1 near=0.65 | TraceRun=2/1 HeadRun=1/1 TraceJump=12.4 TraceNear=0.15 TraceSame=0 Rhythm=9/33/3 AxisShift=1 DirShift=1 PeelLayer=5/26/5 PeelBack=14 PeelProgress=0.50 targetInitial=3"
"TraceOrderKeep","2.698","True","True","True","True","True","True","","19","4","19","Campaign500NormalFullV1:w11b","","2","3","v03","119","Main/Level_Main_19","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Normal","0","22","30","0.733","S_Peak","94","86","102","693","13","70","","lock","PSG_Normal_lock_VeryHard_Normal","nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain","mixed_unknown","unknown_variant","rectangle_peel","patch_chain","short_patchwork","short_patchwork;edge_headed","flow_spread","peel_grammar;multi_region;wide_front","choice_peak_watch;near_outer_watch","watch","nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain","c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain.asset","1","22","30","0.979","74","8.73","20","0.49","0.351","0.095","3","7","True","B","flow or late-campaign only","5.35","9","5","5","3","0.187","0.079","1","B","bottom-edge inward / starts around bottom side","3","0.894","0.129","0.411","5","5","0.996","4","3.892","0.122","0.995","0.451","0.592","0.577","0.276","LocalEasy","Style=PressureHard | Score=16796 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.490 | EarlyChoices=25.8/45 | LocalRun=5 | Jump=7.7 | NearRate=0.48 | Peel style=PressureHard seed=382989438 fill=646/660(0.979) chains=74 remaining=14 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.736","True","True","True","True","True","True","","20","17","20","Campaign500NormalFullV1:s01_s13","relocated_from_order_20","2","1","v01","120","Main/Level_Main_20","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","0","20","27","0.741","S_Neutral","41","38","44","327","13","41","","shell","PSG_Normal_shell_NormalOrRecovery_Normal","nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","outer_shell","unknown_variant","rectangle_peel","hook_chain","mixed_chain","outer_shell_chain","staged_unlock","peel_grammar;multi_region;axis_drift;wide_front;staged_unlock;peel_visible","near_outer_watch","watch","nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","1","20","27","0.976","50","10.54","21","0.485","0.22","0.06","2","3","True","B","flow or late-campaign only","4.48","8","5","5","6","0.187","0.085","2","T","top-edge inward / starts around top side","3","0.851","0.14","0.592","5","5","0.992","4","3.88","0.2","0.99","0.438","0.479","0.438","0.414","LocalEasy","Style=PressureHard | Score=8490 | TargetInitial=4 | OpeningRatio=0.040 | Straightness=0.485 | EarlyChoices=22.0/50 | LocalRun=4 | Jump=6.3 | NearRate=0.58 | Peel style=PressureHard seed=1479159913 fill=527/540(0.976) chains=50 remaining=13 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.718","True","True","True","True","True","True","","21","28","21","Campaign500NormalFullV1:s01_s13","relocated_from_order_21","3","0","v00","121","Main/Level_Main_21","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","FixedFront40","0","20","27","0.741","S_Neutral","59","53","65","398","11","59","","sweep","PSG_Normal_sweep_NormalOrRecovery_FixedFront40","nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain","sweep","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium;edge_headed","staged_unlock","peel_grammar;multi_region;axis_drift;wide_front;staged_unlock;peel_visible;sweep_pressure","same_axis_watch;same_dir_watch","watch","nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","1","20","27","0.993","58","9.24","21","0.529","0.31","0.086","2","5","True","B","flow or late-campaign only","5.19","8","6","3","3","0.176","0.043","2","L","left-edge inward / starts around left side","3","0.857","0.209","0.491","8","6","0.986","4","3.81","0.103","0.987","0.446","0.571","0.5","0.363","LocalEasy","Style=PressureHard | Score=8432 | TargetInitial=4 | OpeningRatio=0.034 | Straightness=0.529 | EarlyChoices=24.9/51 | LocalRun=8 | Jump=5.8 | NearRate=0.68 | Peel style=PressureHard seed=127088092 fill=536/540(0.993) chains=58 remaining=4 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.781","True","True","True","True","True","True","","22","78","22","Campaign500NormalFullV1:s01_s13","relocated_from_order_62","3","2","v02","122","Main/Level_Main_22","normal","NormalA_FlowOrNeutral","FlowPatch","flow_continuous","patch_chain","NormalFlow","FixedFront40","0","18","24","0.75","S_Flow","55","49","61","379","13","63","","section","PSG_Normal_section_NormalOrRecovery_FixedFront40","nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain","dense_weave","unknown_variant","rectangle_peel","curve_chain","woven_medium","short_patchwork;edge_headed;dense_weave_chain","staged_unlock","peel_grammar;multi_region;axis_drift;staged_unlock;peel_visible","","clean","nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","1","20","27","0.994","60","8.95","21","0.496","0.35","0.1","1","6","True","B","flow or late-campaign only","4.45","8","4","4","3","0.109","0.072","2","R","right-edge inward / starts around right side","2","0.828","0.16","0.61","5","5","0.986","4","3.1","0.333","0.988","0.475","0.475","0.458","0.248","LocalEasy","Style=PressureHard | Score=12793 | TargetInitial=4 | OpeningRatio=0.017 | Straightness=0.496 | EarlyChoices=20.5/38 | LocalRun=5 | Jump=5.2 | NearRate=0.68 | Peel style=PressureHard seed=650663263 fill=537/540(0.994) chains=60 remaining=3 rejectedShort=0 failedPeels=1"
