"Index","SourceBatch","SpecId","Type","Section10","Order","VariantIndex","VariantLabel","MainMissionId","LevelName","Category","RoleInSection","ProductionLane","ProductionStyleFamily","ProductionChainLanguage","ProductionDifficultyBand","ExperienceRole","ReviewOnly","StyleHint","ProfileHint","PlannedWidth","PlannedHeight","PlannedAspect","PlannedCanvasBand","PlannedTargetChains","TargetChainsMin","TargetChainsMax","ReferenceArrowTiles","ReferenceMaxChainLength","LevelId","AssetPath","Width","Height","Chains","TargetChains","Arrows","Coverage","TargetCoverage","OuterBandCoverage","InitialMovableChains","EdgeHeadChains","ShortChains","GreedyMoves","AvgChain","MaxChain","Straightness","BlockLinks","PortableSolved","PortableOpeners","PortableScore","PortableQuality","Attempts","Status"
"1","Campaign500NormalFullV1:s01_s13","nutation_flow_curve_v1_rect_s01_o003_v00_flowcurve_curve_chain","nutation_flow_curve_v1_rect_s01_o003_v00_flowcurve_curve_chain","1","3","0","v00","103","Main/Level_Main_3","normal","NormalA_FlowOrNeutral","FlowCurve","flow_continuous","curve_chain","NormalFlow","Normal","0","normal","PSG_Normal_normal_NormalOrRecovery_Normal","18","24","0.750","S_Flow","19","16","22","122","9","campaign500_normal_full_v1_s01_s13_01_nutation_flow_curve_v1_rect_s01_o003_v00_flowcurve_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_01_nutation_flow_curve_v1_rect_s01_o003_v00_flowcurve_curve_chain.asset","18","24","43","34","420","0.972","0.940","0.954","11","11","7","43","9.77","19","0.153","110","True","11","180.4","ok","18","Style=NutationFlowCurveV1 | Score=39820 | TargetInitial=6 | OpeningRatio=0.256 | Peel style=NutationFlowCurveV1 seed=151632962 fill=420/432(0.972) chains=43 remaining=12 rejectedShort=0 failedPeels=1 directionGrammar=CycleV1"
"2","Campaign500NormalFullV1:s01_s13","nutation_flow_curve_v1_rect_s01_o003_v01_flowcurve_curve_chain","nutation_flow_curve_v1_rect_s01_o003_v01_flowcurve_curve_chain","1","3","1","v01","103","Main/Level_Main_3","normal","NormalA_FlowOrNeutral","FlowCurve","flow_continuous","curve_chain","NormalFlow","Normal","0","normal","PSG_Normal_normal_NormalOrRecovery_Normal","18","24","0.750","S_Flow","19","16","22","122","9","campaign500_normal_full_v1_s01_s13_02_nutation_flow_curve_v1_rect_s01_o003_v01_flowcurve_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_02_nutation_flow_curve_v1_rect_s01_o003_v01_flowcurve_curve_chain.asset","18","24","41","34","416","0.963","0.940","0.934","8","8","7","41","10.15","19","0.180","103","True","8","179.3","ok","26","Style=NutationFlowCurveV1 | Score=40211 | TargetInitial=6 | OpeningRatio=0.195 | Peel style=NutationFlowCurveV1 seed=152480002 fill=416/432(0.963) chains=41 remaining=16 rejectedShort=0 failedPeels=1 directionGrammar=CycleV1"
"3","Campaign500NormalFullV1:s01_s13","nutation_flow_curve_v1_rect_s01_o003_v02_flowcurve_curve_chain","nutation_flow_curve_v1_rect_s01_o003_v02_flowcurve_curve_chain","1","3","2","v02","103","Main/Level_Main_3","normal","NormalA_FlowOrNeutral","FlowCurve","flow_continuous","curve_chain","NormalFlow","Normal","0","normal","PSG_Normal_normal_NormalOrRecovery_Normal","18","24","0.750","S_Flow","19","16","22","122","9","campaign500_normal_full_v1_s01_s13_03_nutation_flow_curve_v1_rect_s01_o003_v02_flowcurve_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_03_nutation_flow_curve_v1_rect_s01_o003_v02_flowcurve_curve_chain.asset","18","24","44","34","423","0.979","0.940","0.947","8","8","7","44","9.61","19","0.179","143","True","8","180.6","weak-outer","186","Style=NutationFlowCurveV1 | Score=40267 | TargetInitial=6 | OpeningRatio=0.182 | Peel style=NutationFlowCurveV1 seed=169245850 fill=423/432(0.979) chains=44 remaining=9 rejectedShort=0 failedPeels=1 directionGrammar=CycleV1"
"4","Campaign500NormalFullV1:s01_s13","nutation_mixed_neutral_v1_rect_s01_o005_v00_neutralmixed_mixed_chain","nutation_mixed_neutral_v1_rect_s01_o005_v00_neutralmixed_mixed_chain","1","5","0","v00","105","Main/Level_Main_5","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","0","normal","PSG_Normal_normal_NormalOrRecovery_Normal","20","27","0.741","S_Neutral","26","23","29","364","204","campaign500_normal_full_v1_s01_s13_04_nutation_mixed_neutral_v1_rect_s01_o005_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_04_nutation_mixed_neutral_v1_rect_s01_o005_v00_neutralmixed_mixed_chain.asset","20","27","49","37","526","0.974","0.955","0.965","2","4","11","49","10.73","21","0.463","203","True","2","162.7","ok","198","Style=PressureHard | Score=-1044 | TargetInitial=4 | OpeningRatio=0.041 | Straightness=0.463 | EarlyChoices=25.9/53 | LocalRun=6 | Jump=7.5 | NearRate=0.52 | Peel style=PressureHard seed=970462625 fill=526/540(0.974) chains=49 remaining=14 rejectedShort=0 failedPeels=1"
"5","Campaign500NormalFullV1:s01_s13","nutation_mixed_neutral_v1_rect_s01_o005_v01_neutralmixed_mixed_chain","nutation_mixed_neutral_v1_rect_s01_o005_v01_neutralmixed_mixed_chain","1","5","1","v01","105","Main/Level_Main_5","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","0","normal","PSG_Normal_normal_NormalOrRecovery_Normal","20","27","0.741","S_Neutral","26","23","29","364","204","campaign500_normal_full_v1_s01_s13_05_nutation_mixed_neutral_v1_rect_s01_o005_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_05_nutation_mixed_neutral_v1_rect_s01_o005_v01_neutralmixed_mixed_chain.asset","20","27","54","37","533","0.987","0.955","0.983","3","5","14","54","9.87","21","0.485","230","True","3","168.6","ok","322","Style=PressureHard | Score=-3071 | TargetInitial=4 | OpeningRatio=0.056 | Straightness=0.485 | EarlyChoices=23.2/51 | LocalRun=7 | Jump=8.0 | NearRate=0.45 | Peel style=PressureHard seed=983458229 fill=533/540(0.987) chains=54 remaining=7 rejectedShort=0 failedPeels=1"
"6","Campaign500NormalFullV1:s01_s13","nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain","nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain","1","5","2","v02","105","Main/Level_Main_5","normal","NormalB_NeutralOrPeelLight","NeutralMixed","psg_like_neutral","mixed_chain","NormalNeutral","Normal","0","normal","PSG_Normal_normal_NormalOrRecovery_Normal","20","27","0.741","S_Neutral","26","23","29","364","204","campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","20","27","51","37","530","0.981","0.955","0.977","3","4","9","51","10.39","21","0.523","191","True","3","167.7","ok","5","Style=PressureHard | Score=1939 | TargetInitial=4 | OpeningRatio=0.078 | Straightness=0.523 | EarlyChoices=24.2/42 | LocalRun=4 | Jump=8.8 | NearRate=0.52 | Peel style=PressureHard seed=950268344 fill=530/540(0.981) chains=51 remaining=10 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=4->3 edgeHeads=6->4 earlyChoices=25.1/42 localRun=4 jump=8.4 near=0.55 targetInitial=3"
"7","Campaign500NormalFullV1:s01_s13","nutation_peel_v2_rect_s01_o008_v00_peelmid_curve_chain","nutation_peel_v2_rect_s01_o008_v00_peelmid_curve_chain","1","8","0","v00","108","Main/Level_Main_8","normal","Hard","PeelMid","peel_mid","curve_chain","Hard","Normal","0","normal","PSG_Normal_normal_NormalOrRecovery_Normal","21","28","0.750","S_PeelMid","46","42","50","347","13","campaign500_normal_full_v1_s01_s13_07_nutation_peel_v2_rect_s01_o008_v00_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_07_nutation_peel_v2_rect_s01_o008_v00_peelmid_curve_chain.asset","21","28","67","52","577","0.981","0.965","0.978","4","4","21","67","8.61","21","0.104","231","True","4","184.4","ok","27","Style=NutationPeelLayerV2 | Score=-138851 | TargetInitial=5 | OpeningRatio=0.075 | Straightness=0.104 | EarlyChoices=51.1/73 | LocalRun=5 | Jump=7.9 | NearRate=0.48 | TraceRun=4/2 HeadRun=2/2 TraceJump=11.0 TraceNear=0.36 TraceSame=1 Rhythm=9/30/4 AxisShift=2 DirShift=2 PeelLayer=5/29/3 PeelBack=13 PeelProgress=0.50 | Peel style=NutationPeelLayerV2 seed=87489029 fill=577/588(0.981) chains=67 remaining=11 rejectedShort=0 failedPeels=1 interference=NearDirV1 directionGrammar=CycleV2 | FlipGate=ops=2 initial=5->4 edgeHeads=5->4 earlyChoices=44.0/73 localRun=6 jump=7.4 near=0.61 | TraceRun=4/2 HeadRun=2/2 TraceJump=10.3 TraceNear=0.38 TraceSame=1 Rhythm=7/26/4 AxisShift=2 DirShift=2 PeelLayer=6/28/5 PeelBack=13 PeelProgress=0.60 targetInitial=3"
"8","Campaign500NormalFullV1:s01_s13","nutation_peel_v2_rect_s01_o008_v01_peelmid_curve_chain","nutation_peel_v2_rect_s01_o008_v01_peelmid_curve_chain","1","8","1","v01","108","Main/Level_Main_8","normal","Hard","PeelMid","peel_mid","curve_chain","Hard","Normal","0","normal","PSG_Normal_normal_NormalOrRecovery_Normal","21","28","0.750","S_PeelMid","46","42","50","347","13","campaign500_normal_full_v1_s01_s13_08_nutation_peel_v2_rect_s01_o008_v01_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_08_nutation_peel_v2_rect_s01_o008_v01_peelmid_curve_chain.asset","21","28","62","52","569","0.968","0.965","0.956","4","5","13","62","9.18","21","0.119","206","True","4","181.2","weak-outer","472","Style=NutationPeelLayerV2 | Score=-157994 | TargetInitial=4 | OpeningRatio=0.113 | Straightness=0.119 | EarlyChoices=41.4/87 | LocalRun=6 | Jump=11.3 | NearRate=0.52 | TraceRun=4/2 HeadRun=2/2 TraceJump=13.8 TraceNear=0.28 TraceSame=1 Rhythm=8/27/3 AxisShift=1 DirShift=1 PeelLayer=6/28/3 PeelBack=13 PeelProgress=1.00 | Peel style=NutationPeelLayerV2 seed=134102578 fill=569/588(0.968) chains=62 remaining=19 rejectedShort=0 failedPeels=1 interference=NearDirV1 directionGrammar=CycleV2 | FlipGate=ops=5 initial=7->4 edgeHeads=10->5 earlyChoices=31.3/62 localRun=7 jump=7.5 near=0.65 | TraceRun=4/2 HeadRun=3/3 TraceJump=11.1 TraceNear=0.31 TraceSame=1 Rhythm=7/26/3 AxisShift=1 DirShift=1 PeelLayer=6/32/3 PeelBack=15 PeelProgress=0.40 targetInitial=3"
"9","Campaign500NormalFullV1:s01_s13","nutation_peel_v2_rect_s01_o008_v02_peelmid_curve_chain","nutation_peel_v2_rect_s01_o008_v02_peelmid_curve_chain","1","8","2","v02","108","Main/Level_Main_8","normal","Hard","PeelMid","peel_mid","curve_chain","Hard","Normal","0","normal","PSG_Normal_normal_NormalOrRecovery_Normal","21","28","0.750","S_PeelMid","46","42","50","347","13","campaign500_normal_full_v1_s01_s13_09_nutation_peel_v2_rect_s01_o008_v02_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_09_nutation_peel_v2_rect_s01_o008_v02_peelmid_curve_chain.asset","21","28","68","52","571","0.971","0.965","0.967","8","10","22","68","8.40","21","0.094","195","True","8","182.7","weak-outer","409","Style=NutationPeelLayerV2 | Score=-134021 | TargetInitial=5 | OpeningRatio=0.118 | Straightness=0.094 | EarlyChoices=39.1/79 | LocalRun=6 | Jump=9.6 | NearRate=0.55 | TraceRun=3/2 HeadRun=2/2 TraceJump=11.8 TraceNear=0.28 TraceSame=1 Rhythm=8/27/4 AxisShift=3 DirShift=3 PeelLayer=5/29/3 PeelBack=15 PeelProgress=-0.25 | Peel style=NutationPeelLayerV2 seed=127513795 fill=571/588(0.971) chains=68 remaining=17 rejectedShort=0 failedPeels=1 interference=NearDirV1 directionGrammar=CycleV2 | FlipGate=ops=1 initial=8->8 edgeHeads=10->10 earlyChoices=37.7/79 localRun=6 jump=9.3 near=0.55 | TraceRun=3/1 HeadRun=2/2 TraceJump=12.5 TraceNear=0.26 TraceSame=0 Rhythm=9/29/4 AxisShift=4 DirShift=4 PeelLayer=5/29/5 PeelBack=15 PeelProgress=0.25 targetInitial=3"
"10","Campaign500NormalFullV1:s01_s13","nutation_peel_rail_v1_rect_s01_o010_v00_peelhard_rail_chain","nutation_peel_rail_v1_rect_s01_o010_v00_peelhard_rail_chain","1","10","0","v00","110","Main/Level_Main_10","normal","Peak","PeelHard","peel_hard","rail_chain","Peak","Normal","0","lock","PSG_Normal_lock_Hard_Normal","22","30","0.733","S_Peak","60","55","65","372","9","campaign500_normal_full_v1_s01_s13_10_nutation_peel_rail_v1_rect_s01_o010_v00_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_10_nutation_peel_rail_v1_rect_s01_o010_v00_peelhard_rail_chain.asset","22","30","63","60","653","0.989","0.955","0.995","9","11","15","63","10.37","20","0.693","185","True","9","186.2","long-straight-run","485","Style=NutationPeelRailV1 | Score=-251515 | TargetInitial=4 | OpeningRatio=0.190 | Straightness=0.693 | EarlyChoices=64.8/133 | LocalRun=5 | Jump=9.7 | NearRate=0.48 | TraceRun=4/2 HeadRun=3/3 TraceJump=13.9 TraceNear=0.26 TraceSame=2 Rhythm=9/32/4 AxisShift=2 DirShift=2 PeelLayer=6/27/5 PeelBack=12 PeelProgress=-0.40 | RailHead=outer:14 edge:12 inner:0 sideMax:4 sideRun:1 innerRate:0.00 | Peel style=NutationPeelRailV1 seed=979097669 fill=653/660(0.989) chains=63 remaining=7 rejectedShort=0 failedPeels=1 directionGrammar=CycleV2 | FlipGate=ops=4 initial=12->9 edgeHeads=14->11 earlyChoices=42.3/97 localRun=5 jump=9.8 near=0.52 | TraceRun=4/2 HeadRun=2/2 TraceJump=13.2 TraceNear=0.15 TraceSame=2 Rhythm=9/32/4 AxisShift=2 DirShift=2 PeelLayer=6/28/4 PeelBack=13 PeelProgress=-0.40 targetInitial=3 | RailHeadPost=outer:11 edge:9 inner:0 sideMax:4 sideRun:1 innerRate:0.00"
