Index,SourceBatch,SpecId,Type,Section10,Order,VariantIndex,VariantLabel,MainMissionId,LevelName,Category,RoleInSection,ProductionLane,ProductionStyleFamily,ProductionChainLanguage,ProductionDifficultyBand,ExperienceRole,ReviewOnly,StyleHint,ProfileHint,PlannedWidth,PlannedHeight,PlannedAspect,PlannedCanvasBand,PlannedTargetChains,TargetChainsMin,TargetChainsMax,ReferenceArrowTiles,ReferenceMaxChainLength,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,Campaign500NormalFullV1:s14_s26,nutation_flow_rail_v1_rect_s14_o134_v00_flowrail_rail_chain,nutation_flow_rail_v1_rect_s14_o134_v00_flowrail_rail_chain,14,134,0,v00,234,Main/Level_Main_134,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,rail_chain,NormalFlow,Normal,0,maze,PSG_Normal_maze_NormalOrRecovery_Normal,18,24,0.750,S_Flow,56,50,62,399,11,campaign500_normal_full_v1_s14_s26_01_nutation_flow_rail_v1_rect_s14_o134_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_01_nutation_flow_rail_v1_rect_s14_o134_v00_flowrail_rail_chain.asset,18,24,42,56,428,0.991,0.935,0.987,3,3,8,42,10.19,22,0.622,123,True,3,180.2,long-straight-run,3,Style=NutationFlowRailV1 | Score=39324 | TargetInitial=7 | OpeningRatio=0.071 | Peel style=NutationFlowRailV1 seed=1788659177 fill=428/432(0.991) chains=42 remaining=4 rejectedShort=0 failedPeels=1
2,Campaign500NormalFullV1:s14_s26,nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain,nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain,14,134,1,v01,234,Main/Level_Main_134,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,rail_chain,NormalFlow,Normal,0,maze,PSG_Normal_maze_NormalOrRecovery_Normal,18,24,0.750,S_Flow,56,50,62,399,11,campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset,18,24,39,56,427,0.988,0.935,0.980,8,8,7,39,10.95,22,0.562,119,True,8,177.6,ok,8,Style=NutationFlowRailV1 | Score=39291 | TargetInitial=7 | OpeningRatio=0.205 | Peel style=NutationFlowRailV1 seed=1789192030 fill=427/432(0.988) chains=39 remaining=5 rejectedShort=0 failedPeels=1
3,Campaign500NormalFullV1:s14_s26,nutation_flow_rail_v1_rect_s14_o134_v02_flowrail_rail_chain,nutation_flow_rail_v1_rect_s14_o134_v02_flowrail_rail_chain,14,134,2,v02,234,Main/Level_Main_134,normal,NormalA_FlowOrNeutral,FlowRail,flow_continuous,rail_chain,NormalFlow,Normal,0,maze,PSG_Normal_maze_NormalOrRecovery_Normal,18,24,0.750,S_Flow,56,50,62,399,11,campaign500_normal_full_v1_s14_s26_03_nutation_flow_rail_v1_rect_s14_o134_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_03_nutation_flow_rail_v1_rect_s14_o134_v02_flowrail_rail_chain.asset,18,24,37,56,427,0.988,0.935,0.993,6,6,7,37,11.54,21,0.643,98,True,6,178.7,long-straight-run,1,Style=NutationFlowRailV1 | Score=38867 | TargetInitial=7 | OpeningRatio=0.162 | Peel style=NutationFlowRailV1 seed=1788468135 fill=427/432(0.988) chains=37 remaining=5 rejectedShort=0 failedPeels=1
4,Campaign500NormalFullV1:s14_s26,nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain,14,137,0,v00,237,Main/Level_Main_137,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,80,72,88,639,13,campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain.asset,22,30,72,72,650,0.985,0.955,0.990,1,4,25,72,9.03,21,0.502,341,True,1,185.4,ok,178,Style=PressureHard | Score=22614 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.502 | EarlyChoices=26.6/49 | LocalRun=4 | Jump=7.9 | NearRate=0.48 | Peel style=PressureHard seed=1706747786 fill=650/660(0.985) chains=72 remaining=10 rejectedShort=0 failedPeels=1
5,Campaign500NormalFullV1:s14_s26,nutation_mixed_neutral_v1_rect_s14_o137_v01_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s14_o137_v01_neutralmixed_mixed_chain,14,137,1,v01,237,Main/Level_Main_137,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,80,72,88,639,13,campaign500_normal_full_v1_s14_s26_05_nutation_mixed_neutral_v1_rect_s14_o137_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_05_nutation_mixed_neutral_v1_rect_s14_o137_v01_neutralmixed_mixed_chain.asset,22,30,66,72,647,0.980,0.955,0.974,2,5,21,66,9.80,21,0.499,272,True,2,167.1,long-straight-run,175,Style=PressureHard | Score=17868 | TargetInitial=5 | OpeningRatio=0.030 | Straightness=0.499 | EarlyChoices=20.2/59 | LocalRun=5 | Jump=8.5 | NearRate=0.48 | Peel style=PressureHard seed=1706442743 fill=647/660(0.980) chains=66 remaining=13 rejectedShort=0 failedPeels=1
6,Campaign500NormalFullV1:s14_s26,nutation_mixed_neutral_v1_rect_s14_o137_v02_neutralmixed_mixed_chain,nutation_mixed_neutral_v1_rect_s14_o137_v02_neutralmixed_mixed_chain,14,137,2,v02,237,Main/Level_Main_137,normal,NormalB_NeutralOrPeelLight,NeutralMixed,psg_like_neutral,mixed_chain,NormalNeutral,Normal,0,lock,PSG_Normal_lock_NormalOrRecovery_Normal,22,30,0.733,M_Neutral,80,72,88,639,13,campaign500_normal_full_v1_s14_s26_06_nutation_mixed_neutral_v1_rect_s14_o137_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_06_nutation_mixed_neutral_v1_rect_s14_o137_v02_neutralmixed_mixed_chain.asset,22,30,74,72,651,0.986,0.955,0.984,1,4,26,74,8.80,21,0.511,358,True,1,179.4,ok,20,Style=PressureHard | Score=27774 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.511 | EarlyChoices=18.9/47 | LocalRun=5 | Jump=5.9 | NearRate=0.65 | Peel style=PressureHard seed=1690218892 fill=651/660(0.986) chains=74 remaining=9 rejectedShort=0 failedPeels=1
7,Campaign500NormalFullV1:s14_s26,nutation_peel_v2_rect_s14_o140_v00_peelmid_curve_chain,nutation_peel_v2_rect_s14_o140_v00_peelmid_curve_chain,14,140,0,v00,240,Main/Level_Main_140,normal,Hard,PeelMid,peel_mid,curve_chain,Hard,Normal,0,section,PSG_Normal_section_Hard_Normal,23,31,0.742,M_PeelMid,102,92,112,769,13,campaign500_normal_full_v1_s14_s26_07_nutation_peel_v2_rect_s14_o140_v00_peelmid_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_07_nutation_peel_v2_rect_s14_o140_v00_peelmid_curve_chain.asset,23,31,77,84,697,0.978,0.965,0.980,4,5,24,77,9.05,21,0.092,238,True,4,185.9,ok,652,Style=NutationPeelLayerV2 | Score=-182962 | TargetInitial=5 | OpeningRatio=0.117 | Straightness=0.092 | EarlyChoices=62.0/106 | LocalRun=7 | Jump=8.8 | NearRate=0.58 | TraceRun=4/1 HeadRun=2/2 TraceJump=12.7 TraceNear=0.31 TraceSame=0 Rhythm=9/26/4 AxisShift=3 DirShift=3 PeelLayer=5/28/3 PeelBack=16 PeelProgress=-0.50 | Peel style=NutationPeelLayerV2 seed=1534697621 fill=697/713(0.978) chains=77 remaining=16 rejectedShort=0 failedPeels=1 interference=NearDirV1 directionGrammar=CycleV2 | FlipGate=ops=5 initial=9->4 edgeHeads=9->5 earlyChoices=47.4/80 localRun=7 jump=7.7 near=0.61 | TraceRun=4/1 HeadRun=2/2 TraceJump=11.5 TraceNear=0.33 TraceSame=0 Rhythm=9/24/4 AxisShift=3 DirShift=3 PeelLayer=5/31/3 PeelBack=16 PeelProgress=0.75 targetInitial=3
8,Campaign500NormalFullV1:s14_s26,nutation_peel_v2_rect_s14_o140_v01_peelmid_curve_chain,nutation_peel_v2_rect_s14_o140_v01_peelmid_curve_chain,14,140,1,v01,240,Main/Level_Main_140,normal,Hard,PeelMid,peel_mid,curve_chain,Hard,Normal,0,section,PSG_Normal_section_Hard_Normal,23,31,0.742,M_PeelMid,102,92,112,769,13,campaign500_normal_full_v1_s14_s26_08_nutation_peel_v2_rect_s14_o140_v01_peelmid_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_08_nutation_peel_v2_rect_s14_o140_v01_peelmid_curve_chain.asset,23,31,79,84,695,0.975,0.965,0.975,7,7,21,79,8.80,21,0.110,251,True,7,185.0,ok,254,Style=NutationPeelLayerV2 | Score=-159303 | TargetInitial=6 | OpeningRatio=0.139 | Straightness=0.110 | EarlyChoices=51.3/103 | LocalRun=6 | Jump=8.9 | NearRate=0.52 | TraceRun=3/2 HeadRun=2/2 TraceJump=12.9 TraceNear=0.38 TraceSame=2 Rhythm=8/23/4 AxisShift=2 DirShift=2 PeelLayer=5/23/6 PeelBack=11 PeelProgress=0.50 | Peel style=NutationPeelLayerV2 seed=1493024623 fill=695/713(0.975) chains=79 remaining=18 rejectedShort=0 failedPeels=1 interference=NearDirV1 directionGrammar=CycleV2 | FlipGate=ops=4 initial=11->7 edgeHeads=11->7 earlyChoices=37.0/71 localRun=6 jump=7.5 near=0.58 | TraceRun=3/2 HeadRun=2/2 TraceJump=10.7 TraceNear=0.46 TraceSame=2 Rhythm=9/21/4 AxisShift=2 DirShift=2 PeelLayer=6/25/5 PeelBack=12 PeelProgress=0.00 targetInitial=3
9,Campaign500NormalFullV1:s14_s26,nutation_peel_v2_rect_s14_o140_v02_peelmid_curve_chain,nutation_peel_v2_rect_s14_o140_v02_peelmid_curve_chain,14,140,2,v02,240,Main/Level_Main_140,normal,Hard,PeelMid,peel_mid,curve_chain,Hard,Normal,0,section,PSG_Normal_section_Hard_Normal,23,31,0.742,M_PeelMid,102,92,112,769,13,campaign500_normal_full_v1_s14_s26_09_nutation_peel_v2_rect_s14_o140_v02_peelmid_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_09_nutation_peel_v2_rect_s14_o140_v02_peelmid_curve_chain.asset,23,31,79,84,693,0.972,0.965,0.960,5,8,20,79,8.77,20,0.103,284,True,5,184.4,ok,474,Style=NutationPeelLayerV2 | Score=-180337 | TargetInitial=6 | OpeningRatio=0.127 | Straightness=0.103 | EarlyChoices=50.7/104 | LocalRun=6 | Jump=8.7 | NearRate=0.48 | TraceRun=4/2 HeadRun=3/3 TraceJump=11.4 TraceNear=0.41 TraceSame=1 Rhythm=8/27/3 AxisShift=1 DirShift=1 PeelLayer=6/27/3 PeelBack=13 PeelProgress=0.00 | Peel style=NutationPeelLayerV2 seed=1516074147 fill=693/713(0.972) chains=79 remaining=20 rejectedShort=0 failedPeels=1 interference=NearDirV1 directionGrammar=CycleV2 | FlipGate=ops=5 initial=10->5 edgeHeads=13->8 earlyChoices=36.3/70 localRun=6 jump=9.5 near=0.48 | TraceRun=4/2 HeadRun=2/2 TraceJump=11.0 TraceNear=0.41 TraceSame=1 Rhythm=8/27/3 AxisShift=3 DirShift=3 PeelLayer=6/29/3 PeelBack=15 PeelProgress=0.20 targetInitial=3
10,Campaign500NormalFullV1:s14_s26,nutation_peel_v2_rect_s14_o136_v00_peelhard_curve_chain,nutation_peel_v2_rect_s14_o136_v00_peelhard_curve_chain,14,136,0,v00,236,Main/Level_Main_136,normal,Peak,PeelHard,peel_hard,curve_chain,Peak,Peak,0,section,PSG_Normal_section_Extreme_Peak,24,32,0.750,M_Peak,113,102,124,817,13,campaign500_normal_full_v1_s14_s26_10_nutation_peel_v2_rect_s14_o136_v00_peelhard_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_10_nutation_peel_v2_rect_s14_o136_v00_peelhard_curve_chain.asset,24,32,83,84,753,0.980,0.965,0.971,7,8,16,83,9.07,21,0.114,267,True,7,186.1,ok,840,Style=NutationPeelLayerV2 | Score=-163171 | TargetInitial=6 | OpeningRatio=0.096 | Straightness=0.114 | EarlyChoices=66.0/91 | LocalRun=7 | Jump=9.5 | NearRate=0.61 | TraceRun=5/1 HeadRun=2/2 TraceJump=14.3 TraceNear=0.38 TraceSame=0 Rhythm=9/24/5 AxisShift=2 DirShift=2 PeelLayer=5/29/3 PeelBack=16 PeelProgress=0.00 | Peel style=NutationPeelLayerV2 seed=1587822228 fill=753/768(0.980) chains=83 remaining=15 rejectedShort=0 failedPeels=1 interference=NearDirV1 directionGrammar=CycleV2 | FlipGate=ops=2 initial=8->7 edgeHeads=9->8 earlyChoices=63.5/85 localRun=7 jump=9.2 near=0.65 | TraceRun=5/1 HeadRun=1/1 TraceJump=14.7 TraceNear=0.36 TraceSame=0 Rhythm=9/23/5 AxisShift=2 DirShift=2 PeelLayer=5/30/3 PeelBack=15 PeelProgress=0.50 targetInitial=3
