order,action,lockReason,oldLevelId,oldType,levelType,difficulty,oldWidth,oldHeight,oldChains,newLevelId,newType,newWidth,newHeight,newChains,chainDelta,note
1,keep_locked,front15,tutorial_simple_01_hi,tutorial,普通,1,10,7,6,tutorial_simple_01_hi,tutorial,10,7,6,0,front15
2,keep_locked,hole_position,seed_Arrowz_level_035_holeblock_multiseed_final,hole_rescue,hole,1,16,18,22,seed_Arrowz_level_035_holeblock_multiseed_final,hole_rescue,16,18,22,0,hole_position
3,keep_locked,front15,level3_tiny_03_level3_tiny_mini_maze_17,normal,普通,1,9,14,19,level3_tiny_03_level3_tiny_mini_maze_17,normal,9,14,19,0,front15
4,keep_locked,front15,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,shape,普通,1,20,24,30,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,shape,20,24,30,0,front15
5,keep_locked,front15,nomask_style_01_hui_spiral,normal,普通,1,16,23,26,nomask_style_01_hui_spiral,normal,16,23,26,0,front15
6,keep_locked,front15,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,shape,普通,1,26,18,32,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,shape,26,18,32,0,front15
7,keep_locked,front15,nomask_style_expansion_08_double_room_lock_b,lock,普通,1,18,24,39,nomask_style_expansion_08_double_room_lock_b,lock,18,24,39,0,front15
8,keep_locked,front15,nomask_08_dual_zone,normal,普通,1,16,22,46,nomask_08_dual_zone,normal,16,22,46,0,front15
9,keep_locked,front15,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,shape,普通,1,22,22,32,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,shape,22,22,32,0,front15
10,keep_locked,front15,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,lock,普通,2,14,27,60,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,lock,14,27,60,0,front15
11,keep_locked,front15,level3_thirty_03_level3_thirty_mini_maze_30,normal,普通,1,12,18,31,level3_thirty_03_level3_thirty_mini_maze_30,normal,12,18,31,0,front15
12,keep_locked,front15,nomask_style_expansion_23_center_cross_b,normal,普通,1,17,24,50,nomask_style_expansion_23_center_cross_b,normal,17,24,50,0,front15
13,keep_locked,front15,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,shape,普通,1,24,24,37,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,shape,24,24,37,0,front15
14,keep_locked,front15,nomask_06_sweep,normal,普通,1,15,21,42,nomask_06_sweep,normal,15,21,42,0,front15
15,keep_locked,front15,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,section,普通,2,14,26,53,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,section,14,26,53,0,front15
16,keep,,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,lock,普通,2,15,29,54,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,lock,15,29,54,0,
17,keep_locked,hole_position,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,hole_rescue,hole,1,18,20,37,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,hole_rescue,18,20,37,0,hole_position
18,keep,,nomask_style_10_zig_river,normal,普通,1,18,25,53,nomask_style_10_zig_river,normal,18,25,53,0,
19,keep,,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,lock,普通,4,19,37,94,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,lock,19,37,94,0,
20,keep,,nomask_01_outer_shell,shell,普通,1,15,22,41,nomask_01_outer_shell,shell,15,22,41,0,
21,keep,,nomask_style_02_snake_spine,sweep,普通,1,16,24,44,nomask_style_02_snake_spine,sweep,16,24,44,0,
22,keep,,nomask_style_expansion_26_stair_ladder_a,section,普通,1,16,24,55,nomask_style_expansion_26_stair_ladder_a,section,16,24,55,0,
23,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,shape_magic,普通,4,30,44,80,r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train,shape,37,29,69,-11,train:compact
24,keep,,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,section,普通,1,18,37,82,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,section,18,37,82,0,
25,keep,,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,lock,普通,2,21,35,98,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,lock,21,35,98,0,
26,keep_locked,hole_position,hole_candidate_058_tall_18x26_section,hole_rescue,hole,1,18,26,42,hole_candidate_058_tall_18x26_section,hole_rescue,18,26,42,0,hole_position
27,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,shape_object,普通,2,28,42,80,r2_outer_strong_005_r2_006_a401_maskonlyb09_09_compact_crownvarianta,shape,36,29,68,-12,crownvarianta:compact
28,keep,,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,maze,普通,1,17,29,63,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,maze,17,29,63,0,
29,keep,,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,dense,普通,3,20,34,99,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,dense,20,34,99,0,
30,keep,,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,lock,普通,2,23,37,106,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,lock,23,37,106,0,
