order,oldGuid,oldLevelId,oldType,difficulty,oldWidth,oldHeight,oldChains,newGuid,newShapeName,newSizeBand,newLevelId,newWidth,newHeight,newChains,chainDelta,sourceAsset,destAsset,copyStatus,matchScore
23,75f0acb33cf133f43be072c8925f8dc7,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,shape_magic,4,30,44,80,223dd96a5c5126445b6b87084cffa934,train,compact,r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train,37,29,69,-11,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_01_compact_train_20260615_154532.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L023_train_compact.asset,copied,44.081
27,b0f5347763b20144fb4dea338c3d1ca5,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,shape_object,2,28,42,80,fa67cdc654e97734e897e651ad9b412a,crownvarianta,compact,r2_outer_strong_005_r2_006_a401_maskonlyb09_09_compact_crownvarianta,36,29,68,-12,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_09_compact_crownvarianta_20260616_111003.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L027_crownvarianta_compact.asset,copied,36.422
32,cf724c930e0ca0e49af97c9b7195ad7d,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,shape_magic,3,28,40,83,7de586b1c8ba9f241b50f1e9cdb84571,wavecrest,compact,r2_outer_strong_005_r2_006_a401_maskonlyb08_03_compact_wavecrest,36,36,67,-16,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb08_03_compact_wavecrest_20260615_235430.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L032_wavecrest_compact.asset,copied,42.08
38,d7e3ffa7ccc7498439bb25a85b945ab4,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,shape_magic,3,30,42,88,3405b365ef91a4743a2604e044596b56,suspensionbridge,main,r2_outer_strong_005_r2_006_a401_maskonlyb08_07_main_suspensionbridge,40,32,100,12,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb08_07_main_suspensionbridge_20260615_235823.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L038_suspensionbridge_main.asset,copied,28.41
43,7b5fd137430742e44a840e229a30844f,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,shape_magic,2,32,42,87,b8f874907acefdb41b584351ee1aa524,sunglasses,large,r2_outer_strong_005_r2_006_a401_maskonlyb05_17_large_sunglasses,35,27,80,-7,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_17_large_sunglasses_20260615_191035.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L043_sunglasses_large.asset,copied,25.706
48,c6d9e4983e09f8e498cc39fef95fb99a,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,shape_magic,2,32,44,88,119df48d75b731247ad9d98d1a58b2e8,kite,large,r2_outer_strong_005_r2_006_a401_maskonlyb02_15_large_kite,34,49,78,-10,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_15_large_kite_20260614_171956.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L048_kite_large.asset,copied,20.825
53,f1b9417388bfe4c47a529d25ae76107e,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,shape_space,1,30,42,86,3f145cb3a1501064aaa2e796e937ea42,television,compact,r2_outer_strong_005_r2_006_a401_maskonlyb04_18_compact_television,36,31,74,-12,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_18_compact_television_20260615_154706.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L053_television_compact.asset,copied,27.81
58,69baf15ac762f224396372900cc42a77,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,shape_symbol,1,30,42,87,64de08efa6a066940b3da09d48d0e4c0,wizardhat,main,r2_outer_strong_005_r2_006_a401_maskonlyb02_07_main_wizardhat,42,38,108,21,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_07_main_wizardhat_20260614_171914.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L058_wizardhat_main.asset,copied,26.73
63,a543f338e8cc1f146aade4e4cfbb9ca7,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,shape_nature,2,32,42,90,1bb6371b22070444ba41976165e86e47,wrappedcandy,large,r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy,37,29,86,-4,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_10_large_wrappedcandy_20260614_171924.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L063_wrappedcandy_large.asset,copied,19.484
67,070a100516438934c9d51a4b11c4546b,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,shape_symbol,2,30,40,86,49433cfa51b045e42a44a9282027234b,pager,main,r2_outer_strong_005_r2_006_a401_maskonlyb06_02_main_pager,38,30,104,18,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_02_main_pager_20260615_223129.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L067_pager_main.asset,copied,32.565
