"order","action","status","severity","oldFlags","slotRole","oldType","relativeDifficulty","oldLevelId","oldAssetPath","oldWidth","oldHeight","oldChains","oldFill","newLevelId","newKind","newPool","newTypeGuess","newShapeName","newSizeBand","newWidth","newHeight","newChains","newFill","chainDelta","sourceAsset","destAsset","score","reason"
"447","replace","Red","46","GrindyLowClear|BadEndingFragments|ShapeLowFill","Shape","shape_object","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb09_01_main_keyvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L447_keyvarianta_main.asset","34","44","79","0.332","r2_outer_strong_005_r2_006_a401_maskonlyb02_08_compact_magicbook","shape","shape_maskonly_accepted347_pack","shape","magicbook","compact","31","36","78","0.708","-1","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb02_08_compact_magicbook_20260614_171916.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L447_magicbook_compact.asset","-42.281","shape_unused_family_fill_chain_match"
"113","replace","Yellow","42","StartFakeWide|BottleneckHeavy|ShapeLowFill","Shape","shape_magic","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb03_02_large_guitar","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L113_guitar_large.asset","38","49","97","0.419","r2_outer_strong_005_r2_006_a401_maskonlyb09_23_large_lightningbolt","shape","shape_maskonly_accepted347_pack","shape","lightningbolt","large","34","49","97","0.465","0","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb09_23_large_lightningbolt_20260616_111016.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L113_lightningbolt_large.asset","-40.415","shape_unused_family_fill_chain_match"
"53","replace","Yellow","38","StartTooNarrow|BottleneckHeavy","Shape","shape_space","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb04_18_compact_television","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L053_television_compact.asset","36","31","74","0.659","r2_outer_strong_005_r2_006_a401_maskonlyb09_38_compact_camera","shape","shape_maskonly_accepted347_pack","shape","camera","compact","36","29","75","0.775","1","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb09_38_compact_camera_20260616_111028.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L053_camera_compact.asset","-31.572","shape_unused_family_fill_chain_match"
"353","replace","Yellow","34","StartFakeWide|GrindyLowClear","Shape","shape_magic","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb04_15_large_medal","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L353_medal_large.asset","36","49","140","0.652","r2_outer_strong_005_r2_006_a401_maskonlyb04_11_large_flower","shape","shape_maskonly_accepted347_pack","shape","flower","large","38","49","141","0.642","1","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb04_11_large_flower_20260615_154611.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L353_flower_large.asset","-26.912","shape_unused_family_fill_chain_match"
"301","replace","Yellow","32","BottleneckHeavy|GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_highchain_014_hc_34x28_shell_a","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_014_hc_34x28_shell_a.asset","34","28","87","0.902","hole_candidate_091_wide_32x28_section","oldbase","old_base_no_ab_r1r2","hole","","","32","28","88","0.89","1","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\CandidatePool\hole_candidate_091_wide_32x28_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_091_wide_32x28_section.asset","4.384","hole_same_position_oldbase_match"
"335","replace","Yellow","32","BottleneckHeavy|GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_highchain_extra_003_hc2_32x28_lock_a","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_003_hc2_32x28_lock_a.asset","32","28","89","0.904","hole_candidate_054_std_30x30_lock","oldbase","old_base_no_ab_r1r2","hole","","","30","30","84","0.9","-5","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\CandidatePool\hole_candidate_054_std_30x30_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","4.3","hole_same_position_oldbase_match"
"338","replace","Yellow","32","BottleneckHeavy|GrindyLowClear","Shape","shape_landmark","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_14_large_strawberry","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L338_strawberry_large.asset","40","47","135","0.609","r2_outer_strong_005_r2_006_a401_maskonlyb02_11_large_cupcake","shape","shape_maskonly_accepted347_pack","shape","cupcake","large","38","47","137","0.619","2","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb02_11_large_cupcake_20260614_171927.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L338_cupcake_large.asset","-24.955","shape_unused_family_fill_chain_match"
"378","replace","Yellow","32","BottleneckHeavy|GrindyLowClear","Shape","shape_landmark","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb04_11_large_flower","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L378_flower_large.asset","38","49","141","0.642","r2_outer_strong_005_r2_006_a401_maskonlyb04_15_large_medal","shape","shape_maskonly_accepted347_pack","shape","medal","large","36","49","140","0.652","-1","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb04_15_large_medal_20260615_154623.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L378_medal_large.asset","-27.267","shape_unused_family_fill_chain_match"
"413","replace","Yellow","32","BottleneckHeavy|GrindyLowClear","Shape","shape_landmark","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_08_large_magicbook","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L413_magicbook_large.asset","40","47","155","0.702","r2_outer_strong_005_r2_006_a401_maskonlyb06_06_large_payphone","shape","shape_maskonly_accepted347_pack","shape","payphone","large","38","49","153","0.682","-2","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb06_06_large_payphone_20260615_223649.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L413_payphone_large.asset","-24.772","shape_unused_family_fill_chain_match"
"47","replace","Yellow","30","GrindyLowClear|PeakTooFlat","Peak","lock","VeryHard","direct_normal_73_direct_normal_rect_lock_buckle_g1_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset","23","40","118","0.982","direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01","oldbase","old_base_no_ab_r1r2","lock","","","24","40","117","0.979","-1","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01.asset","-7.792","normal_oldbase_type_chain_match"
