pool,candidateIndex,guid,status,duplicateInCampaign500,assetPath,unityAssetPath,levelId,assetName,width,height,chains,arrowCells,coverage,targetDifficultyScore,family,shapeId,typeGuess,sourceGroup,sourceStatus
normal_optional_merged48_from_report,1,,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,156,1595,0.9773284,1228,sgp_manual_keep_outer1_repair,,normal,MANUAL8_REPAIRED,manual8_final
normal_optional_merged48_from_report,2,,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,164,1575,0.9650735,1210,sgp_manual_keep_outer1_repair,,normal,MANUAL8_REPAIRED,manual8_final
normal_optional_merged48_from_report,3,,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive,19,30,63,561,0.98421055,285,sgp_manual_keep_outer1_repair,,normal,MANUAL8_REPAIRED,manual8_final
normal_optional_merged48_from_report,4,,missing_asset,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPSeedHardSkeletonLanguageNewSeed20260618_100431Diverse/sgp_seed_hard_skeleton_newseed20260618_100431_diverse_10_seed_100431_032_arrowz_297_lock.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPSeedHardSkeletonLanguageNewSeed20260618_100431Diverse/sgp_seed_hard_skeleton_newseed20260618_100431_diverse_10_seed_100431_032_arrowz_297_lock.asset,,sgp_seed_hard_skeleton_newseed20260618_100431_diverse_10_seed_100431_032_arrowz_297_lock,,,0,0,,,,,,MANUAL8_REPAIRED,manual8_final
normal_optional_merged48_from_report,5,,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,156,1609,0.98590684,1120,sgp_manual_keep_outer1_repair,,normal,MANUAL8_REPAIRED,manual8_final
normal_optional_merged48_from_report,6,,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive,22,38,92,822,0.9832536,562,sgp_manual_keep_outer1_repair,,normal,MANUAL8_REPAIRED,manual8_final
normal_optional_merged48_from_report,7,,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive,21,36,71,737,0.9748677,353,sgp_manual_keep_outer1_repair,,normal,MANUAL8_REPAIRED,manual8_final
normal_optional_merged48_from_report,8,,missing_asset,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPSeedHardSkeletonLanguageNewSeed20260618_100431Diverse/sgp_seed_hard_skeleton_newseed20260618_100431_diverse_22_seed_100431_028_arrowz_269_long.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPSeedHardSkeletonLanguageNewSeed20260618_100431Diverse/sgp_seed_hard_skeleton_newseed20260618_100431_diverse_22_seed_100431_028_arrowz_269_long.asset,,sgp_seed_hard_skeleton_newseed20260618_100431_diverse_22_seed_100431_028_arrowz_269_long,,,0,0,,,,,,MANUAL8_REPAIRED,manual8_final
normal_optional_merged48_from_report,9,,missing_asset,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_01_sgp_seed_hard_skeleton_newseed20260618_100431.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_01_sgp_seed_hard_skeleton_newseed20260618_100431.asset,,sgp_merged_final_outer_repair_newseed100431_final20_01_sgp_seed_hard_skeleton_newseed20260618_100431,,,0,0,,,,,,NEWSEED100431_FINAL20,pass_no_problem
normal_optional_merged48_from_report,10,,missing_asset,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_02_sgp_seed_hard_skeleton_newseed20260618_100431.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_02_sgp_seed_hard_skeleton_newseed20260618_100431.asset,,sgp_merged_final_outer_repair_newseed100431_final20_02_sgp_seed_hard_skeleton_newseed20260618_100431,,,0,0,,,,,,NEWSEED100431_FINAL20,outer1_repair_ok outer1=0.962->1.000 visualOuter=0.987->0.997 outer=0.980->1.000 addedChains=0 addedCells=4
normal_optional_merged48_from_report,11,,missing_asset,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_03_sgp_seed_hard_skeleton_newseed20260618_100431.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_03_sgp_seed_hard_skeleton_newseed20260618_100431.asset,,sgp_merged_final_outer_repair_newseed100431_final20_03_sgp_seed_hard_skeleton_newseed20260618_100431,,,0,0,,,,,,NEWSEED100431_FINAL20,no_outer1_safe_improvement outer1=0.935->0.935 outer=0.949->0.949
