pool,candidateIndex,guid,worktreeRoot,packPath,assetPath,levelId,assetName,width,height,chains,arrowCells,coverage,longestChain,spawnMaskGuid,inferredShapeKey,parseStatus
normal_sgp40,1,8b353240f7569f24098f7b8710614e85,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,156,1595,0.977,79,,,ok
normal_sgp40,2,07612276f7059c34a8420a95e1671b17,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,164,1575,0.965,79,,,ok
normal_sgp40,3,184203ec99db0034b9671737b5c8a63f,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive,19,30,63,561,0.984,34,,,ok
normal_sgp40,4,e9b13e342a3649d4893bc4e8bf11d98d,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,,,,,,,,,,,,missing_meta
normal_sgp40,5,3c09d12b09ea5304abc68b7d7c0cb543,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,156,1609,0.986,79,,,ok
normal_sgp40,6,0f510c5710fadb24d958ed6078a6df07,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive,22,38,92,822,0.983,54,,,ok
normal_sgp40,7,bbb9f013ccbed114589e1c96fac2b3b2,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive,21,36,71,737,0.975,58,,,ok
normal_sgp40,8,688165a79869269428fe2194ddc54fd1,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,,,,,,,,,,,,missing_meta
normal_sgp40,9,30e41acb34d38d54f8c253d83c3a74b7,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,,,,,,,,,,,,missing_meta
normal_sgp40,10,e3b49b02fd9377c4eb38cbf1fedf09e5,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,,,,,,,,,,,,missing_meta
normal_sgp40,11,c9e7fa75282021d4fae7487749c11190,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,,,,,,,,,,,,missing_meta
normal_sgp40,12,bcb640d9010bccc44ac0b4ea96942c9d,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,,,,,,,,,,,,missing_meta
normal_sgp40,13,cd1954c1032254a45a1dc67fd6a2d0b6,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Packs/SelfGeneratedProduction/Final/SGPManualCuratedFinal40Pack.asset,,,,,,,,,,,,missing_meta
