pool,candidateIndex,guid,status,duplicateInCampaign500,assetPath,unityAssetPath,levelId,assetName,width,height,chains,arrowCells,coverage,targetDifficultyScore,family,shapeId,typeGuess,sourceGroup,sourceStatus
normal_sgp_manual_curated_final40_pack,1,8b353240f7569f24098f7b8710614e85,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,156,1595,0.9773284,1228,sgp_manual_keep_outer1_repair,,normal,,
normal_sgp_manual_curated_final40_pack,2,07612276f7059c34a8420a95e1671b17,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,164,1575,0.9650735,1210,sgp_manual_keep_outer1_repair,,normal,,
normal_sgp_manual_curated_final40_pack,3,184203ec99db0034b9671737b5c8a63f,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive,19,30,63,561,0.98421055,285,sgp_manual_keep_outer1_repair,,normal,,
normal_sgp_manual_curated_final40_pack,4,e9b13e342a3649d4893bc4e8bf11d98d,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,5,3c09d12b09ea5304abc68b7d7c0cb543,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,156,1609,0.98590684,1120,sgp_manual_keep_outer1_repair,,normal,,
normal_sgp_manual_curated_final40_pack,6,0f510c5710fadb24d958ed6078a6df07,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive,22,38,92,822,0.9832536,562,sgp_manual_keep_outer1_repair,,normal,,
normal_sgp_manual_curated_final40_pack,7,bbb9f013ccbed114589e1c96fac2b3b2,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive,sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive,21,36,71,737,0.9748677,353,sgp_manual_keep_outer1_repair,,normal,,
normal_sgp_manual_curated_final40_pack,8,688165a79869269428fe2194ddc54fd1,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,9,30e41acb34d38d54f8c253d83c3a74b7,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,10,e3b49b02fd9377c4eb38cbf1fedf09e5,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,11,c9e7fa75282021d4fae7487749c11190,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,12,bcb640d9010bccc44ac0b4ea96942c9d,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,13,cd1954c1032254a45a1dc67fd6a2d0b6,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,14,96f43d55f375d1b449a5e31140f2aa6a,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,15,0189606f42945b942b7e296cd1608ed6,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,16,555b35f3d88e13447a18552b77839073,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,17,dc706f3b210b1464ebbd468c7ca6ae87,missing_meta,,,,,,,,,,,,,,,,
normal_sgp_manual_curated_final40_pack,18,e3ecd712e1904874985289dadbffeeaf,missing_meta,,,,,,,,,,,,,,,,
