pool,finalLevel,guid,duplicateInCampaign500,levelId,zipAssetEntry,zippedAssetName,originalAssetPath,sourceGroup,sourceIndex,width,height,chains,arrowCells,parsedChains,parsedArrowCells,coverage,afterOuter1Coverage,afterOuterBandCoverage,edgeHeadChains,shortChains,addedChains,addedCells,problem,repaired,status,initialMovableArrowCount,targetDifficultyScore,minPathLen,maxPathLength,twistiness
normal_sgp40_zip_complete,1,8b353240f7569f24098f7b8710614e85,,sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive,Levels/Level_01_sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618.asset,Level_01_sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,MANUAL8_REPAIRED,1,34,48,156,1595,156,1595,0.9773,0.981,0.990,9,45,0,9,True,True,outer1_repair_ok outer1=0.938->0.981 visualOuter=0.981->0.993 outer=0.965->0.990 addedChains=0 addedCells=9,9,1228,3,84,0.42
normal_sgp40_zip_complete,2,07612276f7059c34a8420a95e1671b17,,sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive,Levels/Level_02_sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618.asset,Level_02_sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,MANUAL8_REPAIRED,2,34,48,164,1575,164,1575,0.9651,0.956,0.978,8,47,0,13,True,True,outer1_repair_ok outer1=0.900->0.956 visualOuter=0.960->0.978 outer=0.942->0.978 addedChains=0 addedCells=13,8,1210,3,84,0.42
normal_sgp40_zip_complete,3,184203ec99db0034b9671737b5c8a63f,,sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive,Levels/Level_03_sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618.asset,Level_03_sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,MANUAL8_REPAIRED,3,19,30,63,561,63,561,0.9842,0.989,0.994,12,20,0,8,True,True,outer1_repair_ok outer1=0.968->0.989 visualOuter=0.973->0.997 outer=0.972->0.994 addedChains=0 addedCells=8,12,285,3,44,0.42
normal_sgp40_zip_complete,4,e9b13e342a3649d4893bc4e8bf11d98d,,sgp_seed_hard_skeleton_newseed20260618_100431_diverse_10_seed_100431_032_arrowz_297_lock,Levels/Level_04_sgp_seed_hard_skeleton_newseed20260618_100431_diverse_10_seed_100431_032.asset,Level_04_sgp_seed_hard_skeleton_newseed20260618_100431_diverse_10_seed_100431_032.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPSeedHardSkeletonLanguageNewSeed20260618_100431Diverse/sgp_seed_hard_skeleton_newseed20260618_100431_diverse_10_seed_100431_032_arrowz_297_lock.asset,MANUAL8_REPAIRED,4,18,25,52,431,52,431,0.9578,0.988,0.974,4,11,0,0,False,False,pass_no_problem,4,256,4,32,0.3
normal_sgp40_zip_complete,5,3c09d12b09ea5304abc68b7d7c0cb543,,sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive,Levels/Level_05_sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618.asset,Level_05_sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,MANUAL8_REPAIRED,5,34,48,156,1609,156,1609,0.9859,1.000,1.000,17,38,0,27,True,True,outer1_repair_ok outer1=0.919->1.000 visualOuter=0.960->0.997 outer=0.949->1.000 addedChains=0 addedCells=27,17,1120,3,84,0.42
normal_sgp40_zip_complete,6,0f510c5710fadb24d958ed6078a6df07,,sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive,Levels/Level_06_sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618.asset,Level_06_sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,MANUAL8_REPAIRED,6,22,38,92,822,92,822,0.9833,0.957,0.969,18,27,0,10,True,True,outer1_repair_ok outer1=0.931->0.957 visualOuter=0.954->0.978 outer=0.946->0.969 addedChains=0 addedCells=10,19,562,3,64,0.42
normal_sgp40_zip_complete,7,bbb9f013ccbed114589e1c96fac2b3b2,,sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive,Levels/Level_07_sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618.asset,Level_07_sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset,MANUAL8_REPAIRED,7,21,36,71,737,71,737,0.9749,1.000,0.995,6,15,0,11,True,True,outer1_repair_ok outer1=0.909->1.000 visualOuter=0.959->0.987 outer=0.948->0.995 addedChains=0 addedCells=11,6,353,3,68,0.42
normal_sgp40_zip_complete,8,688165a79869269428fe2194ddc54fd1,,sgp_seed_hard_skeleton_newseed20260618_100431_diverse_22_seed_100431_028_arrowz_269_long,Levels/Level_08_sgp_seed_hard_skeleton_newseed20260618_100431_diverse_22_seed_100431_028.asset,Level_08_sgp_seed_hard_skeleton_newseed20260618_100431_diverse_22_seed_100431_028.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPSeedHardSkeletonLanguageNewSeed20260618_100431Diverse/sgp_seed_hard_skeleton_newseed20260618_100431_diverse_22_seed_100431_028_arrowz_269_long.asset,MANUAL8_REPAIRED,8,23,32,81,711,81,711,0.966,0.991,0.980,10,25,0,0,False,False,pass_no_problem,10,406,5,42,0.18
normal_sgp40_zip_complete,9,30e41acb34d38d54f8c253d83c3a74b7,,sgp_merged_final_outer_repair_newseed100431_final20_01_sgp_seed_hard_skeleton_newseed20260618_100431,Levels/Level_09_sgp_merged_final_outer_repair_newseed100431_final20_01_sgp_seed_hard_ske.asset,Level_09_sgp_merged_final_outer_repair_newseed100431_final20_01_sgp_seed_hard_ske.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_01_sgp_seed_hard_skeleton_newseed20260618_100431.asset,NEWSEED100431_FINAL20,1,18,30,59,524,59,524,0.9704,0.989,0.966,8,9,0,0,False,False,pass_no_problem,8,325,3,33,0.42
normal_sgp40_zip_complete,10,e3b49b02fd9377c4eb38cbf1fedf09e5,,sgp_merged_final_outer_repair_newseed100431_final20_04_sgp_seed_hard_skeleton_newseed20260618_100431,Levels/Level_10_sgp_merged_final_outer_repair_newseed100431_final20_04_sgp_seed_hard_ske.asset,Level_10_sgp_merged_final_outer_repair_newseed100431_final20_04_sgp_seed_hard_ske.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_04_sgp_seed_hard_skeleton_newseed20260618_100431.asset,NEWSEED100431_FINAL20,4,20,31,71,612,71,612,0.9871,0.990,0.984,13,16,0,5,True,True,outer1_repair_ok outer1=0.949->0.990 visualOuter=0.974->0.988 outer=0.957->0.984 addedChains=0 addedCells=5,13,361,3,36,0.42
