category,packPath,packId,displayName,refs,resolved,unresolved,inCurrentCampaign500,unusedResolved,uniqueResolved,chainsMinAvgMax,widthMinAvgMax,heightMinAvgMax,topTypeGuess
Architectural_old_pool,Assets/ArrowMagic/SOData/Packs/ArchitecturalLinework/ArchitecturalLineworkPreviewPack.asset,architectural_linework_preview,Architectural Linework Preview (8),8,8,0,0,8,8,36/47.5/54,25/27.1/28,36/37.5/39,long:5;normal:3
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),10,10,0,9,1,10,263/312.0/366,30/33.2/38,54/58.4/63,lock:4;long:3;normal:2;section:1
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front20FeedbackPreviewPack.asset,campaign500_front20_feedback_preview,Campaign 500 Front20 Feedback Preview (20),20,20,0,20,0,20,6/40.2/94,9/16.7/26,7/22.2/37,normal:8;lock:4;hole:2;maze:2;sweep:2
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front30ReviewPack.asset,campaign500_front30_review,Campaign 500 Front30 Review (30),30,30,0,28,2,30,6/52.5/106,9/17.8/30,7/25.8/44,normal:10;lock:7;maze:3;sweep:3;hole:2
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front40ReviewPack.asset,campaign500_front40_review,Campaign 500 Front40 Review (40),40,40,0,37,3,40,6/59.5/106,9/18.6/30,7/27.7/44,lock:11;normal:10;sweep:4;hole:3;maze:3
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset,campaign500_hole_highchain_trial,Campaign 500 Hole High-Chain Trial (10),500,500,0,500,0,500,6/114.1/366,9/24.2/46,7/37.9/63,lock:117;shape:96;normal:68;hole:50;dense:38
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialReviewPack.asset,campaign500_single_level_review,Campaign 500 Single-Level Review (42),42,42,0,42,0,42,6/134.4/366,10/26.0/38,7/38.2/62,hole:11;lock:8;normal:6;section:4;maze:3
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset,campaign500_plan_preview_no_hole,Campaign 500 Plan Preview - Hole Slots Empty (479),479,479,0,346,133,479,6/116.1/347,9/23.7/46,7/38.9/61,lock:122;shape:94;normal:72;sweep:45;dense:44
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset,campaign500_plan_preview,Campaign 500 Plan Preview,500,500,0,500,0,500,6/114.1/366,9/24.2/46,7/37.9/63,lock:117;shape:96;normal:68;hole:50;dense:38
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500SingleLevelReviewPack.asset,campaign500_single_level_review,Campaign 500 Single-Level Review (42),42,42,0,42,0,42,6/134.4/366,10/26.0/38,7/38.2/62,hole:11;lock:8;normal:6;section:4;maze:3
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/SingleLevelCandidatePoolPack.asset,campaign500_single_level_candidate_pool,Campaign 500 Single Level Candidate Pool (4),4,4,0,4,0,4,19/27.2/37,9/13.8/18,14/17.5/20,hole:2;maze:2
Mask_experiment_old_pool,Assets/ArrowMagic/SOData/Packs/Demo_Seed_Mask_Compare.asset,Demo_Seed_Mask_Compare_seed_mask_largecomposite_source_bigbadge,Seed Mask Compare - seed_mask_largecomposite_source_bigbadge (Source,3,3,0,0,3,3,190/234.3/283,84/84.0/84,60/60.0/60,normal:3
DirectProcedural_big_pool,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectArchitecturePreviewPack.asset,direct_architecture_preview,Direct Architecture Preview (8),8,8,0,0,8,8,63/74.0/88,22/23.9/26,31/32.8/35,normal:6;long:2
DirectProcedural_big_pool,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset,direct_differentiation120_candidates,Direct Differentiation 120 Candidates (120),120,120,0,0,120,120,30/108.3/195,14/23.0/35,19/35.3/50,lock:36;long:32;normal:32;shell:8;dense:8
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset,hole_candidate_pool,Hole Candidate Pool (71),71,71,0,25,46,71,24/59.3/105,16/24.6/34,18/25.7/30,hole:71
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset,hole_combined_candidates,Hole Combined Candidates (109),109,109,0,38,71,109,24/60.8/105,16/24.9/34,18/26.1/30,hole:109
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleFrontPreviewPack.asset,hole_front_preview,Hole Front Preview (2),2,2,0,0,2,2,24/26.0/28,16/16.5/17,18/18.0/18,hole:2
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleHighChainCandidatesPack.asset,hole_high_chain_candidates,Hole High Chain Candidates (12),12,12,0,10,2,12,80/86.0/94,28/31.8/34,26/28.3/30,hole:12
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleTopupCandidatesPack.asset,hole_topup_candidates,Hole Topup Candidates (38),38,38,0,13,25,38,40/63.4/98,18/25.4/34,22/26.7/30,hole:38
Misc_old_pack,Assets/ArrowMagic/SOData/Packs/HoleV13Top5DemoPack.asset,hole_v13_template_blocks_top5_demo_pack,Hole V13 Template Blocks Top5 Demo Pack,5,5,0,0,5,5,69/71.6/77,24/24.0/24,28/28.0/28,hole:5
Misc_old_pack,Assets/ArrowMagic/SOData/Packs/LargeCompositeBigBadge_LevelPack.asset,large_composite_bigbadge_190,Large Composite Big Badge 190,1,1,0,0,1,1,190/190.0/190,84/84.0/84,60/60.0/60,normal:1
