category,packPath,packId,displayName,levelIndex,guid,status,inCurrentCampaign500,assetPath,levelId,width,height,chains,arrowCells,coverage,typeGuess
Architectural_old_pool,Assets/ArrowMagic/SOData/Packs/ArchitecturalLinework/ArchitecturalLineworkPreviewPack.asset,architectural_linework_preview,Architectural Linework Preview (8),1,bf96b3d6cb2e26c4ea58ec8123943699,ok,,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_02_corridor_v1.asset,arch_linework_02_corridor_v1,27,36,49,377,0.3878601,long
Architectural_old_pool,Assets/ArrowMagic/SOData/Packs/ArchitecturalLinework/ArchitecturalLineworkPreviewPack.asset,architectural_linework_preview,Architectural Linework Preview (8),2,7fcc9739a3759644a909b0216271986a,ok,,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_04_circuit_v2.asset,arch_linework_04_circuit_v2,27,37,41,311,0.3113113,normal
Architectural_old_pool,Assets/ArrowMagic/SOData/Packs/ArchitecturalLinework/ArchitecturalLineworkPreviewPack.asset,architectural_linework_preview,Architectural Linework Preview (8),3,40b527d8d89f1664e99c933e4011da7f,ok,,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_05_corridor_v2.asset,arch_linework_05_corridor_v2,28,37,52,419,0.40444016,long
Architectural_old_pool,Assets/ArrowMagic/SOData/Packs/ArchitecturalLinework/ArchitecturalLineworkPreviewPack.asset,architectural_linework_preview,Architectural Linework Preview (8),4,34b8f1ef321304b4f8bc6e1a400458a8,ok,,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_07_circuit_v3.asset,arch_linework_07_circuit_v3,28,38,43,363,0.34116542,normal
Architectural_old_pool,Assets/ArrowMagic/SOData/Packs/ArchitecturalLinework/ArchitecturalLineworkPreviewPack.asset,architectural_linework_preview,Architectural Linework Preview (8),5,36c07bb33bf1f72418061d3d27c879fd,ok,,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_08_corridor_v3.asset,arch_linework_08_corridor_v3,27,38,51,401,0.3908382,long
Architectural_old_pool,Assets/ArrowMagic/SOData/Packs/ArchitecturalLinework/ArchitecturalLineworkPreviewPack.asset,architectural_linework_preview,Architectural Linework Preview (8),6,cea032638307722499791da8fe4146d6,ok,,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_11_corridor_v4.asset,arch_linework_11_corridor_v4,28,39,54,436,0.3992674,long
Architectural_old_pool,Assets/ArrowMagic/SOData/Packs/ArchitecturalLinework/ArchitecturalLineworkPreviewPack.asset,architectural_linework_preview,Architectural Linework Preview (8),7,4373259e69b8cea41902058faf22ec57,ok,,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_12_rooms_v4.asset,arch_linework_12_rooms_v4,25,39,36,278,0.2851282,normal
Architectural_old_pool,Assets/ArrowMagic/SOData/Packs/ArchitecturalLinework/ArchitecturalLineworkPreviewPack.asset,architectural_linework_preview,Architectural Linework Preview (8),8,57d93e81fd4048c4395c5f612b0ab1cd,ok,,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/ArchitecturalLinework/Preview/arch_linework_14_corridor_v5.asset,arch_linework_14_corridor_v5,27,36,54,419,0.43106997,long
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),1,38c40f38f78ce664093ac020db1cd7b1,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishExtremeLongCandidates/direct_polish_extreme_long_02_direct_polish_extreme_rect_long_corridor_g9_v01.asset,direct_polish_extreme_long_02_direct_polish_extreme_rect_long_corridor_g9_v01,36,61,347,2148,0.9781421,long
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),2,9378e8197e114ae43bddd889c14a002d,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_60_direct_advanced_extreme_rect_dual_zone_g5_v02.asset,direct_advanced_60_direct_advanced_extreme_rect_dual_zone_g5_v02,34,58,318,1924,0.97565925,normal
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),3,b00b853178bb3b547bd6ef3ef5fb48d9,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_57_direct_advanced_extreme_rect_lock_buckle_g5_v02.asset,direct_advanced_57_direct_advanced_extreme_rect_lock_buckle_g5_v02,31,56,280,1703,0.98099077,lock
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),4,dedd7b837bfc70f45bf8db67a0e3f603,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01.asset,direct_advanced_51_direct_advanced_extreme_rect_core_burst_g4_v01,32,60,318,1890,0.984375,lock
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),5,5e44d3a21c5828e42b09720d41006712,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_69_direct_advanced_extreme_rect_stair_push_g6_v03.asset,direct_advanced_69_direct_advanced_extreme_rect_stair_push_g6_v03,31,56,286,1706,0.9827189,section
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),6,be6926e0a57fdea4daa819e5a53aedbf,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_70_direct_advanced_extreme_rect_quasi_symmetry_g6_v03.asset,direct_advanced_70_direct_advanced_extreme_rect_quasi_symmetry_g6_v03,32,59,305,1835,0.97192794,normal
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),7,666d20e69bc9a5543989a3ed503439dd,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_49_direct_advanced_extreme_rect_lock_buckle_g4_v01.asset,direct_advanced_49_direct_advanced_extreme_rect_lock_buckle_g4_v01,30,54,263,1590,0.9814815,lock
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),8,bd0ed95c2026cfc43871332faa76f94c,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishExtremeLongCandidates/direct_polish_extreme_long_03_direct_polish_extreme_rect_hui_spiral_g9_v01.asset,direct_polish_extreme_long_03_direct_polish_extreme_rect_hui_spiral_g9_v01,38,62,366,2285,0.9698642,long
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),9,0bb81c9cf655750408eb0e04bca4d0ad,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishExtremeLongCandidates/direct_polish_extreme_long_04_direct_polish_extreme_rect_snake_spine_g9_v01.asset,direct_polish_extreme_long_04_direct_polish_extreme_rect_snake_spine_g9_v01,35,63,337,2150,0.9750567,long
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),10,848c126ecb9040e4dadc886509631ecd,ok,,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_59_direct_advanced_extreme_rect_core_burst_g5_v02.asset,direct_advanced_59_direct_advanced_extreme_rect_core_burst_g5_v02,33,55,300,1782,0.9818182,lock
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front20FeedbackPreviewPack.asset,campaign500_front20_feedback_preview,Campaign 500 Front20 Feedback Preview (20),1,c7475ef21e814ea4a946ec2a0d7f304d,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,tutorial_simple_01_hi,10,7,6,21,0.3,tutorial
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front20FeedbackPreviewPack.asset,campaign500_front20_feedback_preview,Campaign 500 Front20 Feedback Preview (20),2,9595af5f4e73af041850c0510d56c48c,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,seed_Arrowz_level_035_holeblock_multiseed_final,16,18,22,130,1,hole
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front20FeedbackPreviewPack.asset,campaign500_front20_feedback_preview,Campaign 500 Front20 Feedback Preview (20),3,cf4f0ee35c7141d40a8fe8ef2ef93ed8,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,level3_tiny_03_level3_tiny_mini_maze_17,9,14,19,122,0.96825397,maze
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front20FeedbackPreviewPack.asset,campaign500_front20_feedback_preview,Campaign 500 Front20 Feedback Preview (20),4,184e146ce1f8e9341988c3dd9e0fb5e0,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,20,24,30,327,0.96,normal
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front20FeedbackPreviewPack.asset,campaign500_front20_feedback_preview,Campaign 500 Front20 Feedback Preview (20),5,b0906372515e5244aab0364e478ccbba,ok,guid_in_current,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,nomask_style_01_hui_spiral,16,23,26,364,0.98913044,normal
