guid,levelId,assetPath,width,height,chains,arrowCells,coverage,typeGuess,inCurrentCampaign500,packCount,categories,packs
f607777810adf37408dfffd309fa0cc6,direct_diff120_27_direct_diff_refresh_near_square_dense_kernel_g1_v07,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_27_direct_diff_refresh_near_square_dense_kernel_g1_v07.asset,19,20,47,375,0.9868421,dense,,1,DirectProcedural_big_pool,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
d8af1ee596132f44e8462c61f5baf4aa,direct_diff120_11_direct_diff_refresh_near_square_dense_kernel_g2_v03,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_11_direct_diff_refresh_near_square_dense_kernel_g2_v03.asset,19,20,48,376,0.9894737,dense,,1,DirectProcedural_big_pool,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
5b3e932ccd0fafd4684f1fec45bcd626,direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04.asset,15,27,61,391,0.9654321,dense,guid_in_current,2,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset
71fe2ecb163c6f2448c4109791a23ad5,direct_pure_topup_03_20_direct_refresh_topup_rect_dense_weave_g2_v09,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_20_direct_refresh_topup_rect_dense_weave_g2_v09.asset,16,25,63,392,0.98,dense,,1,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset
af05bd9213c2b3842be44b1485f5a3fa,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,17,29,65,484,0.9817444,dense,guid_in_current,4,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front40ReviewPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset
9c731985c61051e40b11c67c34717167,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset,19,33,80,618,0.98564595,dense,guid_in_current,2,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset
1b3ce2230b2f97c4da5df70eb17e22b4,direct_diff120_67_direct_diff_normal_near_square_dense_kernel_g1_v07,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_67_direct_diff_normal_near_square_dense_kernel_g1_v07.asset,25,27,84,663,0.9822222,dense,,1,DirectProcedural_big_pool,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
1dcd2cd3b6d385e4c8f2c5ddba4d6d13,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset,18,35,84,615,0.97619045,dense,guid_in_current,3,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset
ed6f0a53f86a5e7498fe0a2ad559b001,direct_diff120_51_direct_diff_normal_near_square_dense_kernel_g2_v03,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_51_direct_diff_normal_near_square_dense_kernel_g2_v03.asset,25,27,86,667,0.98814815,dense,,1,DirectProcedural_big_pool,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
efb8f2ce23d120149a1e78d9e4e111a3,direct_pure_normal_extra_01_11_direct_normal_pure_extra_rect_dense_weave_g16_v02,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_11_direct_normal_pure_extra_rect_dense_weave_g16_v02.asset,18,37,87,660,0.990991,dense,guid_in_current,3,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset
2d085aa69a8152e4b8f8e40fcf19579b,direct_pure_topup_04_04_direct_normal_pure_rect_dense_weave_g6_v01,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_04_direct_normal_pure_rect_dense_weave_g6_v01.asset,21,32,87,663,0.98660713,dense,,1,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset
6e4ae4c9a34d58945a6f0dad2d491a96,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset,20,32,89,630,0.984375,dense,guid_in_current,3,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset
ef07ad4390a7c00458e39b33556a6284,direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset,20,35,89,693,0.99,dense,guid_in_current,3,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset
10d704aa5805f4348ae236f15fd666dc,direct_pure_topup_05_12_direct_normal_pure_rect_dense_weave_g10_v05,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_12_direct_normal_pure_rect_dense_weave_g10_v05.asset,18,36,90,642,0.9907407,dense,guid_in_current,3,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset
8d0cd5db231505048af0f062eae931d0,direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07.asset,19,38,95,705,0.9764543,dense,guid_in_current,3,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset
e44f074630f5d4840a3387454f3a2fa1,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset,22,31,95,668,0.97947216,dense,guid_in_current,3,Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset;Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset
