guid,levelId,assetPath,width,height,chains,arrowCells,coverage,typeGuess,categories,packCount,packs
f607777810adf37408dfffd309fa0cc6,direct_diff120_27_direct_diff_refresh_near_square_dense_kernel_g1_v07,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_27_direct_diff_refresh_near_square_dense_kernel_g1_v07.asset,19,20,47,375,0.9868421,dense,DirectProcedural_big_pool,1,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
d8af1ee596132f44e8462c61f5baf4aa,direct_diff120_11_direct_diff_refresh_near_square_dense_kernel_g2_v03,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_11_direct_diff_refresh_near_square_dense_kernel_g2_v03.asset,19,20,48,376,0.9894737,dense,DirectProcedural_big_pool,1,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
1b3ce2230b2f97c4da5df70eb17e22b4,direct_diff120_67_direct_diff_normal_near_square_dense_kernel_g1_v07,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_67_direct_diff_normal_near_square_dense_kernel_g1_v07.asset,25,27,84,663,0.9822222,dense,DirectProcedural_big_pool,1,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
ed6f0a53f86a5e7498fe0a2ad559b001,direct_diff120_51_direct_diff_normal_near_square_dense_kernel_g2_v03,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_51_direct_diff_normal_near_square_dense_kernel_g2_v03.asset,25,27,86,667,0.98814815,dense,DirectProcedural_big_pool,1,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
4c716667c80292b479cd6b09e553d80f,direct_diff120_91_direct_diff_hard_near_square_dense_kernel_g2_v03,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_91_direct_diff_hard_near_square_dense_kernel_g2_v03.asset,30,33,126,977,0.9868687,dense,DirectProcedural_big_pool,1,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
0a3235d254abd1444b94cb78a70ff262,direct_diff120_107_direct_diff_hard_near_square_dense_kernel_g1_v07,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_107_direct_diff_hard_near_square_dense_kernel_g1_v07.asset,30,33,129,974,0.9838384,dense,DirectProcedural_big_pool,1,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
51b5b5ed30aad6e4da2e0d4f999a646e,direct_diff120_131_direct_diff_veryhard_near_square_dense_kernel_g2_v03,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_131_direct_diff_veryhard_near_square_dense_kernel_g2_v03.asset,34,39,166,1306,0.98491704,dense,DirectProcedural_big_pool,1,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
5ed43491ca5655a4d8ef4d1fd812ee28,direct_diff120_147_direct_diff_veryhard_near_square_dense_kernel_g1_v07,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_147_direct_diff_veryhard_near_square_dense_kernel_g1_v07.asset,34,39,167,1300,0.98039216,dense,DirectProcedural_big_pool,1,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset
9abc809b4ed892f469146bfa646c5141,hole_candidate_002_front20_02_section_17x18,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_002_front20_02_section_17x18.asset,17,18,24,230,0.982906,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
23b5e0cb8b7067c439281d577e26f841,hole_direct_front_02_level3_tiny_hole_section_17x18,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/FrontPreview/hole_direct_front_02_level3_tiny_hole_section_17x18.asset,17,18,24,230,0.982906,hole,Hole_old_pool,1,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleFrontPreviewPack.asset
c404fcd2b0e44ab46b587d2e6c35a7b6,hole_candidate_001_front20_01_lock_16x18,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_001_front20_01_lock_16x18.asset,16,18,28,211,0.9768519,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
a3f826b485111e4489e161f61ac24ade,hole_direct_front_01_level3_tiny_hole_lock_16x18,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/FrontPreview/hole_direct_front_01_level3_tiny_hole_lock_16x18.asset,16,18,28,211,0.9768519,hole,Hole_old_pool,1,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleFrontPreviewPack.asset
bb6bb8ba9d807c841a6f8ef01ee14535,hole_candidate_005_std_18x22_maze,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_005_std_18x22_maze.asset,18,22,33,322,0.99382716,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
3d955dc4599aea94f9743c7c544535e6,hole_candidate_003_std_18x22_lock,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_003_std_18x22_lock.asset,18,22,35,314,0.9691358,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
6597682c25cbc18489cf991b5816ed01,hole_candidate_008_std_18x24_dense,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_008_std_18x24_dense.asset,18,24,38,351,0.975,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
d5fe82a7bf6e8be469676dcf5ea8bdce,hole_candidate_059_tall_18x26_maze,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_059_tall_18x26_maze.asset,18,26,39,382,0.96464646,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
deb2eb4ac348d144bb445f126d334f07,hole_topup_003_topup_tall_18x26_maze,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_003_topup_tall_18x26_maze.asset,18,26,40,386,0.9747475,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleTopupCandidatesPack.asset
277df9408e454ff429c9305e5b86ebf2,hole_topup_004_topup_tall_18x26_shell,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_004_topup_tall_18x26_shell.asset,18,26,40,379,0.9570707,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleTopupCandidatesPack.asset
a325706b7c9d6254aa204817e1096f85,hole_candidate_006_std_18x24_lock,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_006_std_18x24_lock.asset,18,24,42,352,0.9777778,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
1d689b8eb3487a545a31ae0789f6a748,hole_candidate_013_std_20x24_section,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_013_std_20x24_section.asset,20,24,45,395,0.96813726,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
f0f6a7dcfddce104bbf0f7661f52a18b,hole_candidate_015_std_20x26_lock,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_015_std_20x26_lock.asset,20,26,45,439,0.97991073,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
ad5d27b6a62f0e9469557b3e43ed4b97,hole_candidate_014_std_20x24_dual,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_014_std_20x24_dual.asset,20,24,47,394,0.96568626,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
fcf2104f62c57514ba42dac13faf46f3,hole_candidate_062_tall_20x28_dense,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_062_tall_20x28_dense.asset,20,28,47,479,0.98155737,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
c8a4451cbc50aac44ab10a13d4ea1a53,hole_candidate_011_std_20x22_shell,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_011_std_20x22_shell.asset,20,22,49,360,0.9782609,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
50bd053f39c9d53479eca774a163ef20,hole_candidate_007_std_18x24_section,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_007_std_18x24_section.asset,18,24,51,350,0.9722222,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
0463b6f8e002198469d99e02cdbcc95a,hole_candidate_060_tall_20x28_lock,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_060_tall_20x28_lock.asset,20,28,51,476,0.97540987,hole,Hole_old_pool,2,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset;Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset
