pool,candidateIndex,guid,worktreeRoot,packPath,assetPath,levelId,assetName,width,height,chains,arrowCells,coverage,longestChain,spawnMaskGuid,inferredShapeKey,parseStatus
shape_maskonly347,1,5ab77a61271fd5d489c5743ab09cfd83,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_compact_mushroom_20260614_170703.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_01_compact_mushroom,maskonlyb01_01_compact_mushroom_20260614_170703,29,29,50,510,0.606,24,4ea3df0df1a72134c8209cbb9589b4a3,maskonlyb01_01_compact_mushroom,ok
shape_maskonly347,2,871364050d469e8429cc9a63f45cac27,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_main_mushroom_20260614_170705.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_01_main_mushroom,maskonlyb01_01_main_mushroom_20260614_170705,34,34,96,707,0.612,13,2b391a0369bb1d1429d1df122bde5c34,maskonlyb01_01_main_mushroom,ok
shape_maskonly347,3,7a2a74cdb060997428cf11e5d918b23f,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_large_mushroom_20260614_170706.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_01_large_mushroom,maskonlyb01_01_large_mushroom_20260614_170706,38,38,102,885,0.613,17,b55d6c74add0db44091eb41027ca7c3a,maskonlyb01_01_large_mushroom,ok
shape_maskonly347,4,7c61f8bd12336104baa07d80b0d1a88b,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_compact_umbrella_20260614_170706.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_02_compact_umbrella,maskonlyb01_02_compact_umbrella_20260614_170706,33,36,41,461,0.388,23,f7413c88cd7228a46a718c5622b76bf1,maskonlyb01_02_compact_umbrella,ok
shape_maskonly347,5,982babcac44ffb64298f4f6b03750fa8,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_main_umbrella_20260614_170706.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_02_main_umbrella,maskonlyb01_02_main_umbrella_20260614_170706,38,42,91,626,0.392,13,bbc3effb51ffce847b5d4e7deb9af7a0,maskonlyb01_02_main_umbrella,ok
shape_maskonly347,6,43f34d8c57e85424f87a03bc5ca96b49,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_large_umbrella_20260614_170816.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_02_large_umbrella,maskonlyb01_02_large_umbrella_20260614_170816,43,47,97,810,0.401,17,7fd9ba9dc49e7a141883d8b9215f2f16,maskonlyb01_02_large_umbrella,ok
shape_maskonly347,7,4f94d921520da1a4e8979a2a0c72e47d,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_compact_magnifier_20260614_170817.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_03_compact_magnifier,maskonlyb01_03_compact_magnifier_20260614_170817,29,36,43,470,0.45,24,0224046148ef2424d9baf5df2194070f,maskonlyb01_03_compact_magnifier,ok
shape_maskonly347,8,94d9b57275c7e754ab85dedd11357ab7,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_main_magnifier_20260614_170817.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_03_main_magnifier,maskonlyb01_03_main_magnifier_20260614_170817,34,42,99,641,0.449,13,b0c8dd4e29cbc2449b945439aec0c25b,maskonlyb01_03_main_magnifier,ok
shape_maskonly347,9,ac0442edf995faa4d837f4c9fae6d4f6,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_large_magnifier_20260614_170825.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_03_large_magnifier,maskonlyb01_03_large_magnifier_20260614_170825,38,47,102,804,0.45,17,b74e8168f6c9c214e9d0f1e3b5b728b6,maskonlyb01_03_large_magnifier,ok
shape_maskonly347,10,1f0ce141d3a7b9d4a99929bb733910c1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_04_compact_compass_20260614_170826.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_04_compact_compass,maskonlyb01_04_compact_compass_20260614_170826,29,36,52,620,0.594,24,ec934191c6fdcc2498f124d561a00ec2,maskonlyb01_04_compact_compass,ok
