pool,candidateIndex,guid,status,duplicateInCampaign500,assetPath,unityAssetPath,levelId,assetName,width,height,chains,arrowCells,coverage,targetDifficultyScore,family,shapeId,typeGuess,sourceGroup,sourceStatus
shape_maskonly_accepted347_pack,1,5ab77a61271fd5d489c5743ab09cfd83,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_compact_mushroom_20260614_170703.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_compact_mushroom_20260614_170703.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_01_compact_mushroom,maskonlyb01_01_compact_mushroom_20260614_170703,29,29,50,510,0.96,974,r2_outer_strong_r2_a401,,shape,,
shape_maskonly_accepted347_pack,2,871364050d469e8429cc9a63f45cac27,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_main_mushroom_20260614_170705.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_main_mushroom_20260614_170705.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_01_main_mushroom,maskonlyb01_01_main_mushroom_20260614_170705,34,34,96,707,0.96,974,r2_outer_strong_r2_a401,,shape,,
shape_maskonly_accepted347_pack,3,7a2a74cdb060997428cf11e5d918b23f,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_large_mushroom_20260614_170706.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_large_mushroom_20260614_170706.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_01_large_mushroom,maskonlyb01_01_large_mushroom_20260614_170706,38,38,102,885,0.96,974,r2_outer_strong_r2_a401,,shape,,
shape_maskonly_accepted347_pack,4,7c61f8bd12336104baa07d80b0d1a88b,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_compact_umbrella_20260614_170706.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_compact_umbrella_20260614_170706.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_02_compact_umbrella,maskonlyb01_02_compact_umbrella_20260614_170706,33,36,41,461,0.96,974,r2_outer_strong_r2_a401,,shape,,
shape_maskonly_accepted347_pack,5,982babcac44ffb64298f4f6b03750fa8,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_main_umbrella_20260614_170706.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_main_umbrella_20260614_170706.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_02_main_umbrella,maskonlyb01_02_main_umbrella_20260614_170706,38,42,91,626,0.96,974,r2_outer_strong_r2_a401,,shape,,
shape_maskonly_accepted347_pack,6,43f34d8c57e85424f87a03bc5ca96b49,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_large_umbrella_20260614_170816.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_large_umbrella_20260614_170816.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_02_large_umbrella,maskonlyb01_02_large_umbrella_20260614_170816,43,47,97,810,0.96,974,r2_outer_strong_r2_a401,,shape,,
shape_maskonly_accepted347_pack,7,4f94d921520da1a4e8979a2a0c72e47d,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_compact_magnifier_20260614_170817.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_compact_magnifier_20260614_170817.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_03_compact_magnifier,maskonlyb01_03_compact_magnifier_20260614_170817,29,36,43,470,0.96,974,r2_outer_strong_r2_a401,,shape,,
shape_maskonly_accepted347_pack,8,94d9b57275c7e754ab85dedd11357ab7,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_main_magnifier_20260614_170817.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_main_magnifier_20260614_170817.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_03_main_magnifier,maskonlyb01_03_main_magnifier_20260614_170817,34,42,99,641,0.96,974,r2_outer_strong_r2_a401,,shape,,
shape_maskonly_accepted347_pack,9,ac0442edf995faa4d837f4c9fae6d4f6,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_large_magnifier_20260614_170825.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_03_large_magnifier_20260614_170825.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_03_large_magnifier,maskonlyb01_03_large_magnifier_20260614_170825,38,47,102,804,0.96,974,r2_outer_strong_r2_a401,,shape,,
shape_maskonly_accepted347_pack,10,1f0ce141d3a7b9d4a99929bb733910c1,ok,,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_04_compact_compass_20260614_170826.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_04_compact_compass_20260614_170826.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_04_compact_compass,maskonlyb01_04_compact_compass_20260614_170826,29,36,52,620,0.96,974,r2_outer_strong_r2_a401,,shape,,
