order,中文名,displayShapeId,maskName,theme,shapeRole,chains,assetChains,width,height,occupiedCells,occupiedCoverage,maskCoverage,maskFill,reviewPriority,riskReasons,sourceAsset,suggestedRevealPng,人工判断_是否一眼可认,人工备注
23,魔法羽毛笔,shape_main_magic_quill_tall,MainMagicQuillTall,Magic,object,80,80,30,44,664,0.503,0.517,0.974,B_需要肉眼确认,mask覆盖偏低,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,Art/ShapeReveal/shape_main_magic_quill_tall.png,,
27,沙漏,shape_main_hourglass_tall,MainHourglassTall,Object,object,80,80,28,42,635,0.54,0.544,0.992,B_需要肉眼确认,mask覆盖中等;轮廓面积偏小,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset,Art/ShapeReveal/shape_main_hourglass_tall.png,,
32,盾牌,shape_main_shield_tall,MainShieldTall,Magic,object,83,83,28,40,672,0.6,0.609,0.985,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,Art/ShapeReveal/shape_main_shield_tall.png,,
38,钥匙,shape_main_key_tall,MainKeyTall,Magic,object,88,88,30,42,723,0.574,0.582,0.986,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,Art/ShapeReveal/shape_main_key_tall.png,,
43,蝙蝠,shape_main_magic_bat_tall,MainMagicBatTall,Magic,creature,87,87,32,42,753,0.56,0.573,0.978,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,Art/ShapeReveal/shape_main_magic_bat_tall.png,,
48,黑猫,shape_main_magic_black_cat_tall,MainMagicBlackCatTall,Magic,creature,88,88,32,44,758,0.538,0.544,0.99,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,Art/ShapeReveal/shape_main_magic_black_cat_tall.png,,
53,火箭,shape_main_rocket_tall,MainRocketTall,Space,vehicle,86,86,30,42,608,0.483,0.492,0.981,B_需要肉眼确认,mask覆盖偏低;轮廓面积偏小;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,Art/ShapeReveal/shape_main_rocket_tall.png,,
58,拼图,shape_main_distinct_puzzle_tall,MainDistinctPuzzleTall,Symbol,symbol,87,87,30,42,653,0.518,0.525,0.988,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,Art/ShapeReveal/shape_main_distinct_puzzle_tall.png,,
63,叶子09,shape_main_leaf09_tall,MainLeaf09Tall,Nature,natural,90,90,32,42,732,0.545,0.556,0.98,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,Art/ShapeReveal/shape_main_leaf09_tall.png,,
67,星星,shape_main_star_tall,MainStarTall,Symbol,symbol,86,86,30,40,611,0.509,0.525,0.97,B_需要肉眼确认,mask覆盖中等;轮廓面积偏小;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset,Art/ShapeReveal/shape_main_star_tall.png,,
73,月牙,shape_main_distinct_crescent_tall,MainDistinctCrescentTall,Symbol,symbol,90,90,28,42,637,0.542,0.553,0.98,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall_20260611_111431.asset,Art/ShapeReveal/shape_main_distinct_crescent_tall.png,,
78,音符,shape_main_distinct_music_note_tall,MainDistinctMusicNoteTall,Music,object,92,92,28,42,658,0.56,0.571,0.981,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall_20260611_111451.asset,Art/ShapeReveal/shape_main_distinct_music_note_tall.png,,
83,爱心,shape_main_heart_tall,MainHeartTall,Symbol,symbol,91,91,30,40,667,0.556,0.565,0.984,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_11_onion_maskproceduralvertical_30x40-mainhearttall_20260611_110447.asset,Art/ShapeReveal/shape_main_heart_tall.png,,
87,调色盘,shape_main_paint_palette_tall,MainPaintPaletteTall,Art,object,95,95,30,40,861,0.718,0.733,0.98,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall_20260611_110916.asset,Art/ShapeReveal/shape_main_paint_palette_tall.png,,
93,闪电,shape_main_lightning_tall,MainLightningTall,Symbol,symbol,92,92,28,42,631,0.537,0.551,0.974,B_需要肉眼确认,mask覆盖中等;轮廓面积偏小;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall_20260611_110450.asset,Art/ShapeReveal/shape_main_lightning_tall.png,,
98,麦克风,shape_main_microphone_tall,MainMicrophoneTall,Music,object,94,94,28,42,766,0.651,0.660,0.987,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall_20260611_110914.asset,Art/ShapeReveal/shape_main_microphone_tall.png,,
103,漂流瓶,shape_main_ocean_drift_bottle_tall,MainOceanDriftBottleTall,Ocean,object,93,93,30,42,646,0.513,0.525,0.977,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall_20260611_111240.asset,Art/ShapeReveal/shape_main_ocean_drift_bottle_tall.png,,
