startLevel,endLevel,levelCount,estStandardMinutes,estFastMinutes,estSlowMinutes,totalChains,avgChains,difficultyCounts,typeTop,maxLevelEstMinutes
1,15,15,9.7,7.5,13.0,525,35,1:13;2:2,normal:6;shape:4;lock:2;tutorial:1;hole_rescue:1,0.9
16,30,15,14.5,11.3,19.6,1028,68.5,1:8;2:4;3:1;4:2,lock:4;hole_rescue:2;section:2;normal:1;shell:1,1.5
31,45,15,15.3,11.9,20.6,1185,79,1:7;2:4;3:3;4:1,lock:5;dense:4;shape_magic:3;sweep:1;hole_rescue:1,1.4
46,60,15,15.0,11.7,20.2,1215,81,1:10;2:4;3:1,section:4;lock:3;hole_rescue:2;shape_magic:1;sweep:1,1.4
61,75,15,14.9,11.6,20.1,1232,82.1,1:10;2:4;3:1,lock:3;section:3;hole_rescue:2;sweep:2;shape_symbol:2,1.3
76,90,15,14.9,11.6,20.2,1192,79.5,1:11;2:1;3:1;4:2,section:4;lock:3;maze:2;shape_music:1;sweep:1,1.5
91,105,15,15.8,12.4,21.4,1220,81.3,1:8;2:5;3:2,lock:3;section:3;hole_rescue:2;dense:2;shape_symbol:1,1.4
106,120,15,16.4,12.8,22.1,1401,93.4,1:10;2:3;3:1;4:1,section:5;lock:3;shape_symbol:1;dense:1;shape_magic:1,1.5
121,135,15,15.5,12.1,20.9,1226,81.7,1:11;2:2;3:2,section:3;lock:3;maze:2;dense:2;shape_magic:2,1.4
136,150,15,17.4,13.6,23.5,1474,98.3,1:9;2:3;3:2;4:1,section:5;lock:3;shape_space:1;sweep:1;hole_rescue:1,1.5
151,165,15,16.4,12.8,22.2,1392,92.8,1:11;2:1;3:2;4:1,lock:3;section:3;dense:2;sweep:2;hole_rescue:1,1.5
166,180,15,17.9,14.0,24.1,1487,99.1,1:7;2:5;3:2;4:1,section:4;lock:3;hole_rescue:2;shape_object:1;dense:1,1.6
181,195,15,17.1,13.3,23.0,1467,97.8,1:10;2:3;3:1;4:1,lock:3;section:3;shape_ocean:2;hole_rescue:2;sweep:2,1.6
196,210,15,17.5,13.6,23.6,1595,106.3,1:12;2:1;3:1;4:1,section:5;lock:3;maze:1;shape_object:1;hole_rescue:1,1.8
211,225,15,17.1,13.4,23.1,1461,97.4,1:10;2:2;3:3,lock:3;section:3;dense:2;hole_rescue:2;sweep:1,1.5
226,240,15,18.1,14.1,24.4,1658,110.5,1:10;2:3;3:1;4:1,section:5;lock:3;sweep:2;shape_magic:1;maze:1,1.9
241,255,15,20.1,15.7,27.1,1671,111.4,1:4;2:7;3:2;4:2,section:3;lock:3;hole_rescue:2;shape_space:2;dense:2,1.8
256,270,15,20.0,15.6,27.0,1814,120.9,1:9;2:2;3:3;4:1,section:4;lock:3;sweep:2;shape_ocean:1;dense:1,2.2
271,285,15,18.6,14.5,25.2,1711,114.1,1:12;2:2;4:1,lock:3;section:3;shape_toolui:2;dense:2;hole_rescue:2,2.2
286,300,15,22.5,17.5,30.3,2063,137.5,1:7;2:4;3:2;4:2,section:5;lock:3;shape_ocean:1;dense:1;hole_rescue:1,3.0
301,315,15,19.8,15.5,26.8,1845,123,1:10;2:3;3:2,section:3;lock:3;dense:2;maze:2;hole_rescue:1,2.0
316,330,15,22.2,17.3,30.0,2099,139.9,1:10;2:2;4:3,section:5;lock:3;hole_rescue:2;shape_character:1;maze:1,3.0
331,345,15,22.9,17.9,30.9,2122,141.5,1:6;2:5;3:3;4:1,sweep:3;section:3;lock:2;hole_rescue:2;dense:1,2.6
346,360,15,23.7,18.5,32.0,2275,151.7,1:8;2:3;3:2;4:2,section:4;dense:3;lock:2;maze:2;shape_landmark:1,3.3
361,375,15,22.3,17.4,30.2,2169,144.6,1:8;2:5;3:1;4:1,sweep:3;section:3;dense:2;lock:2;shape_landmark:1,2.2
376,390,15,24.6,19.2,33.2,2394,159.6,1:9;2:1;3:3;4:2,section:4;lock:3;hole_rescue:2;dense:2;shape_landmark:1,3.0
391,405,15,22.6,17.6,30.5,2144,142.9,1:10;2:1;3:2;4:2,section:3;sweep:2;hole_rescue:2;lock:2;dense:2,2.1
406,420,15,22.6,17.7,30.6,2185,145.7,1:9;2:2;3:3;4:1,section:5;dense:2;lock:2;sweep:2;shape_nature:1,2.2
421,435,15,24.3,19.0,32.8,2299,153.3,1:7;2:3;3:3;4:2,dense:3;section:3;shape_vehicle:2;lock:2;hole_rescue:2,2.2
436,450,15,23.0,17.9,31.0,2285,152.3,1:8;2:5;3:1;4:1,section:4;lock:2;sweep:2;dense:2;shape_nature:1,2.1
451,465,15,21.6,16.8,29.1,2117,141.1,1:9;2:4;3:2,lock:3;section:3;sweep:3;dense:2;hole_rescue:1,2.0
466,480,15,23.1,18.0,31.2,2218,147.9,1:10;3:3;4:2,section:5;hole_rescue:2;sweep:2;shape_toolui:1;maze:1,3.4
481,495,15,23.4,18.3,31.6,2187,145.8,1:7;2:4;3:1;4:3,section:3;sweep:3;lock:2;hole_rescue:2;shape_object:2,3.1
496,500,5,7.4,5.8,10.0,701,140.2,1:2;2:2;3:1,section:2;lock:1;dense:1;shape_nature:1,1.9
