"order","slotRole","target","bucket","type","chains","levelId","assetName","note"
"21","Recovery","easy-reopen","refresh","sweep","67","nomask_style_expansion_35_zig_river_tall","nomask_style_expansion_35_zig_river_tall","normal procedural"
"22","Observe","light-density","refresh","dense","68","nomask_style_expansion_15_dense_kernel_mid","nomask_style_expansion_15_dense_kernel_mid","normal procedural"
"23","MagicShape","magic-series","refresh","shape_magic","80","r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall","MainMagicQuillTall","Magic series shape"
"24","Normal","section-start","normal","section","88","direct_pure_normal_extra_02_14_direct_normal_pure_extra_rect_stair_push_g19_v05","direct_pure_normal_extra_02_14_direct_normal_pure_extra_rect_stair_push_g19_v05","normal procedural"
"25","Pressure","small-lock","normal","lock","108","direct_normal_46_direct_normal_rect_core_burst_g4_v05","direct_normal_46_direct_normal_rect_core_burst_g4_v05","normal procedural"
"26","Recovery","dip","refresh","section","72","direct_pure_normal_extra_01_01_direct_normal_pure_extra_rect_section_unlock_g15_v01","direct_pure_normal_extra_01_01_direct_normal_pure_extra_rect_section_unlock_g15_v01","normal procedural"
"27","Normal","section-build","normal","section","94","direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04","direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04","normal procedural"
"28","Novelty","maze-variation","normal","maze","100","direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01","direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01","normal procedural"
"29","Build","pre-peak","normal","section","104","direct_normal_topup_45_direct_normal_topup_rect_dual_zone_g11_v06","direct_normal_topup_45_direct_normal_topup_rect_dual_zone_g11_v06","normal procedural"
"30","Peak","first-21-50-peak","hard","section","124","direct_normal_117_direct_normal_rect_dual_zone_g5_v12","direct_normal_117_direct_normal_rect_dual_zone_g5_v12","normal procedural"
