"order","slotRole","relativeDifficulty","target","bucket","type","chains","levelId","note"
"21","Recovery","Recovery","easy-reopen","refresh","sweep","67","nomask_style_expansion_35_zig_river_tall","no_mask_style_expansion_preview"
"22","Observe","Normal","light-density","refresh","dense","68","nomask_style_expansion_15_dense_kernel_mid","no_mask_style_expansion_preview"
"23","MagicShape","Novelty","magic-series","refresh","shape_magic","80","r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall","shape_final_with_supplement"
"24","Normal","Normal","section-start","refresh","section","82","direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04","direct_pure_topup_slice05_candidates"
"25","Pressure","Hard","first-hard-small-peak","normal","lock","98","direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02","direct_pure_normal_extra_slice01_candidates"
"26","Recovery","Recovery","dip","refresh","section","72","direct_pure_normal_extra_01_01_direct_normal_pure_extra_rect_section_unlock_g15_v01","direct_pure_normal_extra_slice01_candidates"
"27","Normal","Normal","section-build","refresh","section","88","direct_pure_topup_04_18_direct_normal_pure_rect_section_unlock_g8_v03","direct_pure_topup_slice04_candidates"
"28","Novelty","Normal","maze-variation","refresh","maze","92","direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01","direct_pure_topup_slice04_candidates"
"29","Build","Hard","pre-peak","refresh","section","98","direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02","direct_pure_topup_slice04_candidates"
"30","Peak","VeryHard","first-very-hard-small-peak","normal","section","110","direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02","direct_normal_topup_candidates"
"31","Recovery","Recovery","post-peak-dip","refresh","dense","78","direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03","direct_pure_topup_slice04_candidates"
"32","MagicShape","Novelty","magic-series","refresh","shape_magic","83","r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall","shape_final_with_supplement"
"33","Normal","Normal","sweep-normal","refresh","sweep","97","direct_pure_topup_06_01_direct_normal_pure_rect_outer_shell_g6_v07","direct_pure_topup_slice06_candidates"
"34","Pressure","Hard","dense-hard-peak","normal","dense","108","direct_normal_124_direct_normal_rect_dense_weave_g0_v13","direct_normal_candidates"
"35","Recovery","Recovery","maze-dip","refresh","maze","83","direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06","direct_pure_topup_slice05_candidates"
"36","Pressure","Hard","lock-pressure","normal","lock","115","direct_normal_31_direct_normal_rect_outer_shell_g3_v04","direct_normal_candidates"
