"Slot","OrderHint","LevelId","Type","Chains","Width","Height","Score","PortableScore","Flags","Families","Path"
"21-Recovery","replace current 67-chain sweep","nomask_style_02_snake_spine","sweep","44","16","24","181.1","185.0","ok","motif:snake_spine","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset"
"21-Recovery","replace current 67-chain sweep","nomask_style_expansion_05_snake_spine_b","sweep","45","17","25","155.1","182.8","ok","motif:snake_spine","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_05_snake_spine_b.asset"
"21-Recovery","replace current 67-chain sweep","nomask_10_quasi_symmetry","section","46","17","22","156.5","184.6","ok","motif:quasi_symmetry","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_10_quasi_symmetry.asset"
"21-Recovery","replace current 67-chain sweep","nomask_02_section_unlock","section","46","16","23","147.4","184.1","ok","motif:section_unlock","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_02_section_unlock.asset"
"21-Recovery","replace current 67-chain sweep","nomask_style_expansion_04_snake_spine_a","sweep","46","16","24","154.9","184.0","ok","motif:snake_spine","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_04_snake_spine_a.asset"
"21-Recovery","replace current 67-chain sweep","direct_pure_topup_01_01_direct_refresh_topup_rect_outer_shell_g0_v01","sweep","46","14","24","152.1","181.2","ok","asset:direct_pure_topup_01_01_direct_r","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_01_direct_refresh_topup_rect_outer_shell_g0_v01.asset"
"21-Recovery","replace current 67-chain sweep","nomask_09_stair_push","section","47","15","23","184.5","184.1","ok","motif:stair_push","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_09_stair_push.asset"
"21-Recovery","replace current 67-chain sweep","nomask_style_05_double_shell","shell","48","17","24","152.8","177.5","ok","motif:double_shell","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_05_double_shell.asset"
"21-Recovery","replace current 67-chain sweep","direct_pure_topup_02_16_direct_refresh_topup_rect_maze_long_chain_g4_v05","maze","49","16","27","153.9","184.3","ok","direct_refresh:maze_long_chain:g4","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_16_direct_refresh_topup_rect_maze_long_chain_g4_v05.asset"
"21-Recovery","replace current 67-chain sweep","nomask_style_12_long_corridor","maze","49","19","27","159.1","182.4","ok","motif:long_corridor","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_12_long_corridor.asset"
"21-Recovery","replace current 67-chain sweep","direct_pure_topup_03_15_direct_refresh_topup_rect_dual_zone_g1_v08","section","49","17","26","156.5","182.1","ok","direct_refresh:dual_zone:g1","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_15_direct_refresh_topup_rect_dual_zone_g1_v08.asset"
"21-Recovery","replace current 67-chain sweep","nomask_style_expansion_24_double_shell_a","shell","49","17","24","154.0","176.2","ok","motif:double_shell","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_24_double_shell_a.asset"
