"Bucket","Order","Mask","Theme","Subtheme","Role","Band","W","H","Chains","MaskCoverage","BoardFill","Path"
"Magic<=100","1","EarlyProp01CrystalBall","Magic","alchemy","object","early","20","24","30","0.688","0.681","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset"
"Magic<=100","4","EarlyProp04MagicWand","Magic","academy","object","early","24","24","37","0.356","0.349","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset"
"Magic<=100","77","MainMagicQuillTall","Magic","academy","object","main","30","44","80","0.517","0.503","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset"
"Magic<=100","2","MainShieldTall","Magic","adventure-relic","object","main","28","40","83","0.609","0.6","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset"
"Magic<=100","79","MainMagicBatTall","Magic","creature","creature","main","32","42","87","0.573","0.56","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset"
"Magic<=100","6","MainKeyTall","Magic","adventure-relic","object","main","30","42","88","0.582","0.574","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset"
"Magic<=100","80","MainMagicBlackCatTall","Magic","creature","creature","main","32","44","88","0.544","0.538","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset"
"Magic<=100","24","MainWizardMascotTall","Magic","academy","object","main","30","42","91","0.654","0.64","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_24_long_maskproceduralvertical_30x42-mainwizardmascottall_20260611_110527.asset"
"Magic<=100","75","MainMagicHatTall","Magic","academy","object","main","30","42","91","0.547","0.536","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset"
"Magic<=100","81","MainMagicDragonEggTall","Magic","creature","creature","main","30","42","92","0.651","0.639","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset"
