order,slotRole,relativeDifficulty,target,bucket,type,chains,levelId,note
21,FixedFront40,Normal,FixedFront40,refresh,sweep,44,nomask_style_02_snake_spine,no_mask_style_preview;snake_spine;rhythm-v3
22,FixedFront40,Normal,FixedFront40,refresh,section,55,nomask_style_expansion_26_stair_ladder_a,no_mask_style_expansion_preview;stair_ladder;rhythm-v3
23,FixedFront40,Normal,FixedFront40,shape,shape_magic,80,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,shape_final_with_supplement;Magic;rhythm-v3
24,FixedFront40,Normal,FixedFront40,refresh,section,82,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,direct_pure_topup_slice05_candidates;section_unlock;rhythm-v3
25,FixedFront40,Normal,FixedFront40,normal,lock,98,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,direct_pure_normal_extra_slice01_candidates;lock_buckle;rhythm-v3
26,HoleRescue,Mechanic,hole10_block_21_30,normal,hole_rescue,42,hole_candidate_058_tall_18x26_section,direct_pure_topup_slice06_candidates;sweep;rhythm-v3;hole10-v4|SectionUnlock|old=sweep:direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08
27,Shape,Novelty,front_shape_recognition,shape,shape_object,80,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,tall_fit_shape_preview_pack;Magic;rhythm-v3;shape-recognition-v4|old=r1_outer_strong_051_r1_089_a565_maskpatch
28,FixedFront40,Normal,FixedFront40,normal,maze,63,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,direct_pure_topup_slice02_candidates;maze_long_chain;rhythm-v3
29,FixedFront40,Normal,FixedFront40,normal,dense,99,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,direct_pure_normal_extra_slice02_candidates;dense_weave;rhythm-v3
30,FixedFront40,Normal,FixedFront40,normal,lock,106,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,direct_normal_topup_candidates;core_burst;rhythm-v3
31,FixedFront40,Normal,FixedFront40,refresh,sweep,61,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,direct_pure_topup_slice01_candidates;sweep;rhythm-v3
32,FixedFront40,Normal,FixedFront40,refresh,shape_magic,83,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,shape_final_with_supplement;Magic;rhythm-v3
33,FixedFront40,Normal,FixedFront40,refresh,dense,78,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,direct_pure_topup_slice04_candidates;direct_pure_topup_04_17_direct_n;rhythm-v3
34,FixedFront40,Normal,FixedFront40,refresh,lock,93,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,direct_pure_topup_slice04_candidates;lock_buckle;rhythm-v3
35,FixedFront40,Normal,FixedFront40,refresh,dense,65,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,direct_pure_topup_slice01_candidates;dense_weave;rhythm-v3
36,FixedFront40,Normal,FixedFront40,normal,lock,83,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,direct_pure_normal_extra_slice01_candidates;core_burst;rhythm-v3
37,HoleRescue,Mechanic,hole10_block_31_40,normal,hole_rescue,41,hole_candidate_009_std_20x22_lock,hole_mask_early_front;6;rhythm-v3;hole10-v4|LockBuckle|old=hole_rescue:r1_ab_041_above300_level_473_final_holeblock_multiseed_final
38,FixedFront40,Normal,FixedFront40,shape,shape_magic,88,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,shape_final_with_supplement;Magic;rhythm-v3
39,FixedFront40,Normal,FixedFront40,normal,lock,101,direct_normal_06_direct_normal_rect_core_burst_g0_v01,direct_normal_candidates;core_burst;rhythm-v3
40,FixedFront40,Normal,FixedFront40,normal,lock,103,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,direct_pure_topup_slice05_candidates;lock_buckle;rhythm-v3
41,Recovery,Recovery,B_peak7_front50_manual,refresh,dense,62,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,direct_pure_topup_slice03_candidates;direct_pure_topup_03_17_direct_r;rhythm-v3
42,Normal,Normal,B_peak7_front50_manual,refresh,dense,80,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,direct_pure_topup_slice04_candidates;dense_weave;rhythm-v3
43,Shape,Novelty,B_peak7_front50_manual,refresh,shape_magic,87,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,shape_final_with_supplement;Magic;rhythm-v3
44,Pressure,Hard,B_peak7_front50_manual,normal,section,86,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,direct_pure_normal_extra_slice01_candidates;quasi_symmetry;rhythm-v3
45,Recovery,Recovery,B_peak7_front50_manual,refresh,lock,74,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,direct_pure_topup_slice05_candidates;lock_buckle;rhythm-v3
46,HoleRescue,Mechanic,hole10_block_41_50,normal,hole_rescue,43,hole_candidate_017_std_20x26_maze,direct_pure_topup_slice06_candidates;dual_zone;rhythm-v3;hole10-v4|MazeLongChain|old=section:direct_pure_topup_06_23_direct_normal_pure_rect_dual_zone_g8_v09
47,Peak,VeryHard,B_peak7_front50_manual,normal,lock,118,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,direct_normal_candidates;lock_buckle;rhythm-v3
