"afterOrder","bonusId","reason","occupiesMainline","suggestedTone"
"19","bonus_01_after_first_peak","first_major_peak_reward","False","easy_reward"
"50","bonus_02_after_front50_relative_extreme","relative_extreme_release","False","coin_reward"
"100","bonus_03_after_level100_relative_extreme","relative_extreme_release","False","coin_reward"
"150","bonus_04_after_level150_relative_extreme","relative_extreme_release","False","coin_reward"
"200","bonus_05_after_level200_relative_extreme","relative_extreme_release","False","coin_reward"
"250","bonus_06_after_level250_relative_extreme","relative_extreme_release","False","coin_reward"
"300","bonus_07_after_level300_relative_extreme","relative_extreme_release","False","coin_reward"
"350","bonus_08_after_level350_relative_extreme","relative_extreme_release","False","coin_reward"
"400","bonus_09_after_level400_relative_extreme","relative_extreme_release","False","coin_reward"
"450","bonus_10_after_level450_relative_extreme","relative_extreme_release","False","coin_reward"
"500","bonus_11_after_level500_relative_extreme","relative_extreme_release","False","coin_reward"
