rank,selected,selectRank,selectStatus,bucket,type,score,levelId,path,packs,width,height,chains,tiles,coverage,aspect,outer1,outer2,maxOuterEmptyRun,holeScore,localEmpty8,centerEmpty,openers,avgChoices,minChoices,maxChoices,unlockBursts,maxUnlockBurst,keyLockSteps,firstOuter,lastOuter,endingShort,avgChain,maxChain,regionSwitches,dependencyBlocks,dependencyCycles,dependencyLayerStuck,dependencyMaxRayBlockers,edgeShort,edgeLong,maxEdgeRun,families,qualityFlags,portableValid,portableSolved,portableOpeners,portableScore,portableQuality,details
1,1,1,selected,refresh,dense,194.8,direct_pure_topup_03_12_direct_refresh_topup_rect_dense_weave_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_12_direct_refresh_topup_rect_dense_weave_g1_v08.asset,direct_pure_topup_slice03_candidates,15,29,53,432,0.993,0.517,1.000,1.000,0,6.7,0.031,0.020,7,6.57,1,11,12,3,3,1.000,0.000,0.091,8.15,13,31,177,0,0,13,0,1,10,direct_refresh:dense_weave:g1,ok,True,True,7,185.1,ok,type=dense; play=115.3; deps=177/0/0
2,1,2,selected,refresh,shell,194.1,nomask_01_outer_shell,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,no_mask_type_preview,15,22,41,327,0.991,0.682,1.000,0.992,0,6.9,0.031,0.017,8,5.54,1,9,9,4,2,0.818,0.182,0.667,7.98,13,28,103,0,0,9,2,0,9,asset:nomask_01_outer_shell,ok,True,True,8,180.9,ok,type=shell; play=109.0; deps=103/0/0
3,1,3,selected,refresh,lock,193.3,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,direct_pure_topup_slice02_candidates,15,29,54,426,0.979,0.517,1.000,0.988,0,10.8,0.047,0.020,12,4.87,1,12,12,4,3,0.857,0.071,0.182,7.89,13,33,148,0,0,10,3,1,12,direct_refresh:core_burst:g3,ok,True,True,12,184.6,ok,type=dense; play=112.0; deps=148/0/0
4,1,4,selected,refresh,lock,193.1,nomask_03_lock_buckle,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_03_lock_buckle.asset,no_mask_type_preview,15,22,50,325,0.985,0.682,1.000,0.992,0,10.5,0.047,0.026,12,5.12,1,12,11,2,0,0.923,0.308,0.300,6.50,9,26,150,0,0,8,4,0,9,motif:lock_buckle,ok,True,True,12,181.4,ok,type=dense; play=106.9; deps=150/0/0
5,1,5,selected,refresh,dense,191.9,direct_pure_topup_03_09_direct_refresh_topup_rect_outer_shell_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_09_direct_refresh_topup_rect_outer_shell_g1_v08.asset,direct_pure_topup_slice03_candidates,17,26,53,436,0.986,0.654,0.988,0.994,1,7.2,0.031,0.013,12,5.38,1,12,10,4,4,0.929,0.071,0.273,8.23,13,32,154,0,0,10,0,1,10,asset:direct_pure_topup_03_09_direct_r,ok,True,True,12,184.6,ok,type=dense; play=107.5; deps=154/0/0
6,1,6,selected,refresh,lock,189.2,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,direct_pure_topup_slice01_candidates,14,27,60,372,0.984,0.519,1.000,0.993,0,10.9,0.047,0.031,10,5.08,1,10,13,5,4,0.867,0.267,0.417,6.20,9,38,192,0,0,9,4,0,9,direct_refresh:core_burst:g2,ok,True,True,10,185.8,ok,type=section; play=107.4; deps=192/0/0
7,1,7,selected,refresh,dense,185.9,direct_pure_topup_03_20_direct_refresh_topup_rect_dense_weave_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_20_direct_refresh_topup_rect_dense_weave_g2_v09.asset,direct_pure_topup_slice03_candidates,16,25,63,392,0.980,0.640,1.000,0.986,0,11.7,0.063,0.016,13,6.62,1,13,13,4,6,0.875,0.063,0.231,6.22,9,29,178,0,0,9,3,0,9,direct_refresh:dense_weave:g2,ok,True,True,13,185.8,ok,type=section; play=98.8; deps=178/0/0
8,1,8,selected,refresh,section,185.3,direct_pure_topup_03_02_direct_refresh_topup_rect_section_unlock_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_02_direct_refresh_topup_rect_section_unlock_g0_v07.asset,direct_pure_topup_slice03_candidates,14,25,57,345,0.986,0.560,1.000,0.993,0,10.9,0.047,0.036,14,5.60,1,14,12,3,4,1.000,0.267,0.250,6.05,9,29,154,0,0,9,10,0,9,direct_refresh:section_unlock:g0,ok,True,True,14,185.6,ok,type=dense; play=104.2; deps=154/0/0
9,1,9,selected,refresh,sweep,185.0,direct_pure_topup_02_21_direct_refresh_topup_rect_sweep_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_21_direct_refresh_topup_rect_sweep_g5_v06.asset,direct_pure_topup_slice02_candidates,15,26,62,385,0.987,0.577,0.987,0.980,1,8.0,0.047,0.007,15,6.15,1,15,13,3,3,0.938,0.188,0.308,6.21,9,37,192,0,0,10,2,0,9,direct_refresh:sweep:g5,ok,True,True,15,185.7,ok,type=dense; play=101.1; deps=192/0/0
10,1,10,selected,refresh,lock,184.7,nomask_style_expansion_30_vertical_gate_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_30_vertical_gate_a.asset,no_mask_style_expansion_preview,16,25,48,393,0.983,0.640,0.987,0.973,1,11.8,0.063,0.000,8,5.08,1,10,10,3,3,0.833,0.333,0.600,8.19,19,33,145,0,0,10,3,1,11,motif:vertical_gate,ok,True,True,8,177.6,long-straight-run,type=section; play=107.3; deps=145/0/0
