order,isSpecialShape,specialShapeId,maskName,theme,subtheme,campaignType,levelId,suggestedRevealPng,suggestedThumbPng,suggestedNameKey
1,0,,,,,,,,,
2,0,,,,,,,,,
3,0,,,,,,,,,
4,1,shape_early_prop01_crystal_ball,EarlyProp01CrystalBall,Magic,alchemy,shape,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Art/ShapeReveal/shape_early_prop01_crystal_ball.png,Art/ShapeRevealThumb/shape_early_prop01_crystal_ball_thumb.png,shape.name.shape_early_prop01_crystal_ball
5,0,,,,,,,,,
6,1,shape_early_prop02_eraser,EarlyProp02Eraser,Object,tools-items,shape,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Art/ShapeReveal/shape_early_prop02_eraser.png,Art/ShapeRevealThumb/shape_early_prop02_eraser_thumb.png,shape.name.shape_early_prop02_eraser
7,0,,,,,,,,,
8,0,,,,,,,,,
9,1,shape_early_prop03_ruler,EarlyProp03Ruler,Object,tools-items,shape,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Art/ShapeReveal/shape_early_prop03_ruler.png,Art/ShapeRevealThumb/shape_early_prop03_ruler_thumb.png,shape.name.shape_early_prop03_ruler
10,0,,,,,,,,,
11,0,,,,,,,,,
12,0,,,,,,,,,
13,1,shape_early_prop04_magic_wand,EarlyProp04MagicWand,Magic,academy,shape,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Art/ShapeReveal/shape_early_prop04_magic_wand.png,Art/ShapeRevealThumb/shape_early_prop04_magic_wand_thumb.png,shape.name.shape_early_prop04_magic_wand
14,0,,,,,,,,,
15,0,,,,,,,,,
16,0,,,,,,,,,
17,0,,,,,,,,,
18,0,,,,,,,,,
19,0,,,,,,,,,
20,0,,,,,,,,,
21,0,,,,,,,,,
22,0,,,,,,,,,
