"Order","Chains","Difficulty","Role","Type","Style","Score","LevelId","Flags"
"1","6","Tutorial","FrontFixed","tutorial","教程/HI","25","tutorial_simple_01_hi","fixed_front20"
"2","22","Hole","HoleRescue","hole_rescue","中空救援","67","seed_Arrowz_level_035_holeblock_multiseed_final","restored-early-hole-2"
"3","19","Flow","FrontFixed","normal","普通/混合","170","level3_tiny_03_level3_tiny_mini_maze_17","level3-tiny-pack-third"
"4","30","Shape","Shape","shape","新手道具Shape","105","r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball","fixed_front20"
"5","26","Flow","FrontFixed","normal","普通/混合","82","nomask_style_01_hui_spiral","fixed_front20"
"6","32","Shape","Shape","shape","新手道具Shape","109","r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser","fixed_front20"
"7","39","Normal","FrontFixed","lock","锁扣/核心卡点","117","nomask_style_expansion_08_double_room_lock_b","fixed_front20_replace"
"8","46","Normal","FrontFixed","normal","普通/混合","131","nomask_08_dual_zone","fixed_front20"
"9","32","Shape","Shape","shape","新手道具Shape","109","r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler","fixed_front20"
"10","60","Hard","Peak","lock","锁扣/核心卡点","237","direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03","fixed_front20_replace"
"11","31","Flow","FrontFixed","normal","普通/混合","128","level3_thirty_03_level3_thirty_mini_maze_30","level3-thirty-mini-maze-30"
"12","50","Normal","FrontFixed","normal","普通/混合","153","nomask_style_expansion_23_center_cross_b","fixed_front20"
"13","37","Shape","Shape","shape","新手道具Shape","130","r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand","fixed_front20"
"14","42","Normal","FrontFixed","normal","普通/混合","121","nomask_06_sweep","fixed_front20"
"15","53","Normal","FrontFixed","section","分区解锁","147","direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05","fixed_front20_replace"
"16","54","Normal","FrontFixed","lock","锁扣/核心卡点","180","direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04","fixed_front20_replace"
"17","37","Hole","HoleRescue","hole_rescue","中空救援","91","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","early30to40-hole-17"
"18","53","Normal","FrontFixed","normal","普通/混合","155","nomask_style_10_zig_river","fixed_front20"
"19","94","VeryHard","Peak","lock","锁扣/核心卡点","386","direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09","fixed_front20_replace"
"20","41","Normal","FrontFixed","shell","外壳剥离","112","nomask_01_outer_shell","fixed_front20_replace"
"21","44","Recovery","Recovery","sweep","清扫/爽关","181.1","nomask_style_02_snake_spine","ok"
"22","55","Normal","Observe","section","分区解锁","150.5","nomask_style_expansion_26_stair_ladder_a","ok"
"23","80","Novelty","MagicShape","shape_magic","魔法Shape","220","r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall","NoRisk"
"24","82","Normal","Normal","section","分区解锁","160.4","direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04","ok"
"25","98","Hard","Pressure","lock","锁扣/核心卡点","153.1","direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02","ok"
"26","83","Recovery","Recovery","sweep","清扫/爽关","160.0","direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08","section-reduced"
"27","60","Novelty","VisualShape","shape_magic","轻量Shape","160","r1_outer_strong_051_r1_089_a565_maskpatch","torch-light"
"28","63","Normal","Novelty","maze","迷宫长链","213.0","direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06","light-maze"
"29","99","Hard","Build","dense","密集编织","145.4","direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05","ok"
"30","106","VeryHard","Peak","lock","锁扣/核心卡点","199.2","direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09","hard-peak"
