"order","bucket","type","chains","score","levelId","path","packs","families","qualityFlags"
"1","refresh","tutorial","6","25","tutorial_simple_01_hi","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","tutorial_simple","fixed_front20:tutorial_simple:1","fixed_front20"
"2","refresh","hole","22","94","seed_Arrowz_level_035_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","hole_mask_early_front","fixed_front20:hole_mask_early_front:1","fixed_front20"
"3","refresh","normal","20","68","r2_outer_strong_166_r2_295_a003","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_166_r2_295_a003.asset","normal_campaign500","fixed_front20:normal_campaign500:24","fixed_front20"
"4","refresh","shape","30","105","r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset","shape_early_prop","fixed_front20:shape_early_prop:1","fixed_front20"
"5","refresh","normal","26","82","nomask_style_01_hui_spiral","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset","normal_campaign500","fixed_front20:normal_campaign500:58","fixed_front20"
"6","refresh","shape","32","109","r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset","shape_early_prop","fixed_front20:shape_early_prop:2","fixed_front20"
"7","refresh","normal","40","117","r2_outer_strong_106_r2_203_a772","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_106_r2_203_a772.asset","normal_campaign500","fixed_front20:normal_campaign500:9","fixed_front20"
"8","normal","normal","46","131","nomask_08_dual_zone","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset","normal_campaign500","fixed_front20:normal_campaign500:30","fixed_front20"
"9","refresh","shape","32","109","r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset","shape_early_prop","fixed_front20:shape_early_prop:3","fixed_front20"
"10","hard","normal","62","237","r2_outer_strong_051_r2_091_a571","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_051_r2_091_a571.asset","normal_campaign500","fixed_front20:normal_campaign500:124","fixed_front20"
"11","refresh","normal","48","137","nomask_style_09_vertical_gate","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_09_vertical_gate.asset","normal_campaign500","fixed_front20:normal_campaign500:104","fixed_front20"
"12","refresh","normal","50","153","nomask_style_expansion_23_center_cross_b","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset","normal_campaign500","fixed_front20:normal_campaign500:63","fixed_front20"
"13","refresh","shape","37","130","r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset","shape_early_prop","fixed_front20:shape_early_prop:4","fixed_front20"
"14","refresh","normal","42","121","nomask_06_sweep","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset","normal_campaign500","fixed_front20:normal_campaign500:83","fixed_front20"
"15","refresh","normal","50","147","r1_outer_strong_049_r1_087_a558","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_049_r1_087_a558.asset","normal_campaign500","fixed_front20:normal_campaign500:71","fixed_front20"
"16","normal","normal","53","180","r2_outer_strong_108_r2_205_a775","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_108_r2_205_a775.asset","normal_campaign500","fixed_front20:normal_campaign500:85","fixed_front20"
"17","normal","hole","43","165","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_18x22_standard_r01_r1_ab_091_above300_level_571_final_20260610_113628.asset","hole_mask_early_front","fixed_front20:hole_mask_early_front:3","fixed_front20"
"18","normal","normal","53","155","nomask_style_10_zig_river","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset","normal_campaign500","fixed_front20:normal_campaign500:13","fixed_front20"
"19","very_hard","normal","96","386","r1_ab_201_above300_level_764_final","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_201_above300_level_764_final.asset","normal_campaign500","fixed_front20:normal_campaign500:127","fixed_front20"
"20","refresh","normal","41","112","r1_outer_strong_111_r1_205_a775","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_111_r1_205_a775.asset","normal_campaign500","fixed_front20:normal_campaign500:23","fixed_front20"
"21","refresh","sweep","67","165.4","nomask_style_expansion_35_zig_river_tall","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset","no_mask_style_expansion_preview","motif:zig_river","ok"
"22","refresh","dense","68","161.9","nomask_style_expansion_15_dense_kernel_mid","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_15_dense_kernel_mid.asset","no_mask_style_expansion_preview","motif:dense_kernel","ok"
"23","normal","section","88","158.7","direct_pure_normal_extra_02_14_direct_normal_pure_extra_rect_stair_push_g19_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_14_direct_normal_pure_extra_rect_stair_push_g19_v05.asset","direct_pure_normal_extra_slice02_candidates","direct_normal:stair_push:g19","ok"
"24","normal","dense","89","141.3","direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset","direct_pure_normal_extra_slice01_candidates","direct_normal:dense_weave:g17","ok"
"25","normal","lock","108","186.6","direct_normal_46_direct_normal_rect_core_burst_g4_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_46_direct_normal_rect_core_burst_g4_v05.asset","direct_normal_candidates","direct_normal:core_burst:g4","ok"
"26","refresh","section","72","172.6","direct_pure_normal_extra_01_01_direct_normal_pure_extra_rect_section_unlock_g15_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_01_direct_normal_pure_extra_rect_section_unlock_g15_v01.asset","direct_pure_normal_extra_slice01_candidates","direct_normal:section_unlock:g15","ok"
"27","normal","section","94","165.1","direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04.asset","direct_pure_normal_extra_slice02_candidates","direct_normal:stair_push:g18","ok"
"28","normal","maze","100","177.8","direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01.asset","direct_pure_normal_extra_slice01_candidates","direct_normal:maze_long_chain:g15","ok"
"29","normal","section","104","152.7","direct_normal_72_direct_normal_rect_section_unlock_g1_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_72_direct_normal_rect_section_unlock_g1_v08.asset","direct_normal_candidates","direct_normal:section_unlock:g1","ok"
"30","hard","section","124","176.6","direct_normal_117_direct_normal_rect_dual_zone_g5_v12","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_117_direct_normal_rect_dual_zone_g5_v12.asset","direct_normal_candidates","direct_normal:dual_zone:g5","ok"
"31","refresh","dense","78","172.9","direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset","direct_pure_topup_slice04_candidates","asset:direct_pure_topup_04_17_direct_n","ok"
"32","normal","lock","101","176.1","direct_normal_06_direct_normal_rect_core_burst_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset","direct_normal_candidates","direct_normal:core_burst:g0","ok"
"33","normal","sweep","108","166.0","direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04.asset","direct_normal_topup_candidates","direct_normal:sweep:g9","ok"
"34","hard","dense","127","165.3","direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01.asset","direct_polish_clean_candidates","direct_polish:dense_weave:g0","ok"
"35","refresh","maze","83","156.9","direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06.asset","direct_pure_topup_slice05_candidates","direct_normal:maze_long_chain:g11","ok"
"36","hard","lock","137","161.0","direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03.asset","direct_polish_clean_candidates","direct_polish:lock_buckle:g2","ok"
"37","normal","section","104","151.7","direct_normal_topup_45_direct_normal_topup_rect_dual_zone_g11_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_45_direct_normal_topup_rect_dual_zone_g11_v06.asset","direct_normal_topup_candidates","direct_normal:dual_zone:g11","ok"
"38","normal","dense","108","161.6","direct_normal_124_direct_normal_rect_dense_weave_g0_v13","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_124_direct_normal_rect_dense_weave_g0_v13.asset","direct_normal_candidates","direct_normal:dense_weave:g0","ok"
"39","hard","sweep","126","164.4","direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09.asset","direct_pure_topup_slice10_candidates","asset:direct_pure_topup_10_18_direct_p","ok"
"40","normal","maze","110","157.8","direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11.asset","direct_normal_candidates","direct_normal:maze_long_chain:g4","ok"
"41","normal","lock","108","169.3","direct_normal_topup_36_direct_normal_topup_rect_core_burst_g10_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_36_direct_normal_topup_rect_core_burst_g10_v05.asset","direct_normal_topup_candidates","direct_normal:core_burst:g10","ok"
"42","hard","section","133","150.8","direct_polish_clean_06_direct_polish_normal_rect_stair_push_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_06_direct_polish_normal_rect_stair_push_g0_v01.asset","direct_polish_clean_candidates","direct_polish:stair_push:g0","ok"
"43","normal","sweep","111","142.4","direct_normal_131_direct_normal_rect_outer_shell_g1_v14","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_131_direct_normal_rect_outer_shell_g1_v14.asset","direct_normal_candidates","asset:direct_normal_131_direct_normal_","ok"
"44","hard","maze","129","168.9","direct_polish_clean_18_direct_polish_normal_rect_maze_long_chain_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_18_direct_polish_normal_rect_maze_long_chain_g1_v02.asset","direct_polish_clean_candidates","direct_polish:maze_long_chain:g1","ok"
"45","normal","section","99","162.5","direct_pure_normal_extra_01_14_direct_normal_pure_extra_rect_stair_push_g16_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_14_direct_normal_pure_extra_rect_stair_push_g16_v02.asset","direct_pure_normal_extra_slice01_candidates","direct_normal:stair_push:g16","ok"
"46","hard","lock","154","162.9","direct_pure_topup_07_02_direct_polish_hard_pure_rect_lock_buckle_g9_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_02_direct_polish_hard_pure_rect_lock_buckle_g9_v01.asset","direct_pure_topup_slice07_candidates","direct_polish:lock_buckle:g9","ok"
"47","normal","maze","108","167.9","direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03.asset","direct_pure_normal_extra_slice01_candidates","direct_normal:maze_long_chain:g17","ok"
