order,slotRole,relativeDifficulty,template,bucket,type,styleKey,chains,score,openers,avgChoices,dependencyBlocks,levelId,path,families,qualityFlags,portableQuality
1,FixedFront40,Tutorial,FixedFront40,refresh,tutorial,tutorial_simple,6,25,,,,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,fixed_front20:tutorial_simple:1,fixed_front20,fixed_front20
2,FixedFront40,Mechanic,FixedFront40,front20,hole_rescue,hole_rescue,22,67,,,,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,restored-early-hole-2,restored-early-hole-2,restored-early-hole-2
3,FixedFront40,Recovery,FixedFront40,front20,normal,normal,19,170,5,7,44,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,level3-tiny-pack-third,level3-tiny-pack-third,level3-tiny-pack-third
4,FixedFront40,Novelty,FixedFront40,refresh,shape,shape_early_prop,30,105,,,,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,fixed_front20:shape_early_prop:1,fixed_front20,fixed_front20
5,FixedFront40,Recovery,FixedFront40,refresh,normal,normal_campaign500,26,82,,,,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,fixed_front20:normal_campaign500:58,fixed_front20,fixed_front20
6,FixedFront40,Novelty,FixedFront40,refresh,shape,shape_early_prop,32,109,,,,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,fixed_front20:shape_early_prop:2,fixed_front20,fixed_front20
7,FixedFront40,Normal,FixedFront40,refresh,lock,motif,39,117,14,8.41,67,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,front20_replace:motif:double_room_lock,fixed_front20_replace,long-straight-run
8,FixedFront40,Normal,FixedFront40,normal,normal,normal_campaign500,46,131,,,,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,fixed_front20:normal_campaign500:30,fixed_front20,fixed_front20
9,FixedFront40,Novelty,FixedFront40,refresh,shape,shape_early_prop,32,109,,,,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,fixed_front20:shape_early_prop:3,fixed_front20,fixed_front20
10,FixedFront40,Hard,FixedFront40,hard,lock,direct_refresh,60,237,10,5.08,192,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,front20_replace:direct_refresh:core_burst:g2,fixed_front20_replace,ok
