order,block,action,oldType,oldLevelId,oldChains,newType,newLevelId,newChains,structure,width,height,coverage,outer1,openers,score,reason,path
26,21-30,insert_missing_hole_ideal27,sweep,direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08,83,hole_rescue,hole_candidate_058_tall_18x26_section,42,SectionUnlock,18,26,0.972,0.969,10,1144.8,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset
37,31-40,replace_existing_hole,hole_rescue,r1_ab_041_above300_level_473_final_holeblock_multiseed_final,51,hole_rescue,hole_candidate_009_std_20x22_lock,41,LockBuckle,20,22,0.97,0.961,9,1132.1,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset
46,41-50,insert_missing_hole_ideal47,section,direct_pure_topup_06_23_direct_normal_pure_rect_dual_zone_g8_v09,73,hole_rescue,hole_candidate_017_std_20x26_maze,43,MazeLongChain,20,26,0.975,0.952,9,1124.8,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset
54,51-60,insert_missing_hole_ideal56,sweep,direct_pure_topup_06_01_direct_normal_pure_rect_outer_shell_g6_v07,97,hole_rescue,hole_topup_001_topup_tall_18x26_dense,43,DenseWeave,18,26,0.98,0.981,7,1179.2,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset
61,61-70,replace_existing_hole,hole_rescue,hole_proc_standard_20x24_small_917275_20x24_c65,65,hole_rescue,hole_candidate_057_tall_18x26_lock,43,LockBuckle,18,26,0.975,0.981,12,1189.3,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset
71,71-80,insert_missing_hole_ideal71,dense,direct_pure_topup_03_09_direct_refresh_topup_rect_outer_shell_g1_v08,53,hole_rescue,hole_candidate_019_std_22x24_section,45,SectionUnlock,22,24,0.98,0.976,8,1142.3,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset
82,81-90,replace_existing_hole,hole_rescue,hole_proc_standard_21x25_small_918321_21x25_c69,69,hole_rescue,hole_candidate_018_std_22x24_lock,45,LockBuckle,22,24,0.967,0.952,8,1125.1,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset
91,91-100,insert_missing_hole_ideal92,maze,nomask_style_expansion_21_long_corridor_mid,66,hole_rescue,hole_candidate_071_wide_26x22_maze,47,MazeLongChain,26,22,0.982,0.983,11,1166.1,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset
101,101-110,insert_missing_hole_ideal101,sweep,nomask_style_expansion_18_zig_river_mid,69,hole_rescue,hole_candidate_020_std_22x24_dense,47,DenseWeave,22,24,0.982,0.976,11,1129,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset
117,111-120,replace_existing_hole,hole_rescue,hole_proc_standard_22x26_mid_918849_22x26_c74,74,hole_rescue,hole_topup_018_topup_std_22x26_dual,49,DualZone,22,26,0.978,0.989,10,1142.5,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset
