order,type,levelId,path,width,height,chains,bucket,families,qualityFlags
2,hole_rescue,front20_maskgen_hole_rescue_02_c23,Assets/ArrowMagic/SOData/Levels/Production/Front20Polish/front20_maskgen_hole_rescue_02_c23.asset,18,21,23,front20,front20_mask_generated_hole_easy,front20_mask_generated_hole_easy
17,hole_rescue,front20_maskgen_hole_rescue_17_c27,Assets/ArrowMagic/SOData/Levels/Production/Front20Polish/front20_maskgen_hole_rescue_17_c27.asset,20,24,27,front20,front20_mask_generated_hole_mid,front20_mask_generated_hole_mid
37,hole_rescue,hole_proc_standard_18x20_early_913101_18x20_c56,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x20_early_913101_18x20_c56.asset,18,20,56,normal,hole_procedural:standard_18x20_early,procedural_hole_standard
61,hole_rescue,hole_proc_standard_18x22_small_915701_18x22_c61,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x22_small_915701_18x22_c61.asset,18,22,61,normal,hole_procedural:standard_18x22_small,procedural_hole_standard
82,hole_rescue,hole_proc_standard_19x23_small_915193_19x23_c62,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_19x23_small_915193_19x23_c62.asset,19,23,62,normal,hole_procedural:standard_19x23_small,procedural_hole_standard
117,hole_rescue,hole_proc_standard_20x24_small_917275_20x24_c65,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_20x24_small_917275_20x24_c65.asset,20,24,65,normal,hole_procedural:standard_20x24_small,procedural_hole_standard
142,hole_rescue,hole_proc_standard_21x25_small_918321_21x25_c69,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_21x25_small_918321_21x25_c69.asset,21,25,69,normal,hole_procedural:standard_21x25_small,procedural_hole_standard
167,hole_rescue,hole_proc_standard_22x26_mid_918849_22x26_c74,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_22x26_mid_918849_22x26_c74.asset,22,26,74,normal,hole_procedural:standard_22x26_mid,procedural_hole_standard
192,hole_rescue,hole_proc_standard_24x28_mid_920423_24x28_c76,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x28_mid_920423_24x28_c76.asset,24,28,76,normal,hole_procedural:standard_24x28_mid,procedural_hole_standard
217,hole_rescue,hole_proc_standard_23x28_mid_919377_23x28_c78,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_919377_23x28_c78.asset,23,28,78,normal,hole_procedural:standard_23x28_mid,procedural_hole_standard
242,hole_rescue,hole_proc_standard_24x30_mid_921469_24x30_c82,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_921469_24x30_c82.asset,24,30,82,normal,hole_procedural:standard_24x30_mid,procedural_hole_standard
