order,bucket,bucketRank,type,score,levelId,path,packs,width,height,chains,coverage,outer1,openers,avgChoices,unlockBursts,dependencyBlocks,families,qualityFlags,portableSolved,portableScore,portableQuality,slotRole,relativeDifficulty,template,styleKey,pressureScore
1,refresh,1,tutorial,25,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,tutorial_simple,10,7,6,,,,,,,fixed_front20:tutorial_simple:1,fixed_front20,True,25,fixed_front20,FixedFront40,Tutorial,FixedFront40,tutorial_simple,10.5
2,front20,2,hole_rescue,67,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,hole_mask_early_front,16,18,22,0.451,,,,,,restored-early-hole-2,restored-early-hole-2,True,67,restored-early-hole-2,FixedFront40,Mechanic,FixedFront40,hole_rescue,34.1
3,front20,3,normal,170,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,level3_tiny_preview,9,14,19,0.968,0.976,5,7,6,44,level3-tiny-pack-third,level3-tiny-pack-third,True,170,level3-tiny-pack-third,FixedFront40,Recovery,FixedFront40,normal,31.5
4,refresh,4,shape,105,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,shape_early_prop,20,24,30,,,,,,,fixed_front20:shape_early_prop:1,fixed_front20,True,105,fixed_front20,FixedFront40,Novelty,FixedFront40,shape_early_prop,17.7
5,refresh,5,normal,82,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,normal_campaign500,16,23,26,,,,,,,fixed_front20:normal_campaign500:58,fixed_front20,True,82,fixed_front20,FixedFront40,Recovery,FixedFront40,normal_campaign500,40.8
6,refresh,6,shape,109,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,shape_early_prop,26,18,32,,,,,,,fixed_front20:shape_early_prop:2,fixed_front20,True,109,fixed_front20,FixedFront40,Novelty,FixedFront40,shape_early_prop,20.4
7,refresh,7,lock,117,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,no_mask_style_expansion_preview,18,24,39,0.981,0.975,14,8.41,8,67,front20_replace:motif:double_room_lock,fixed_front20_replace,True,181.9,long-straight-run,FixedFront40,Normal,FixedFront40,motif,27.7
8,normal,8,normal,131,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,normal_campaign500,16,22,46,,,,,,,fixed_front20:normal_campaign500:30,fixed_front20,True,131,fixed_front20,FixedFront40,Normal,FixedFront40,normal_campaign500,69.6
9,refresh,9,shape,109,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,shape_early_prop,22,22,32,,,,,,,fixed_front20:shape_early_prop:3,fixed_front20,True,109,fixed_front20,FixedFront40,Novelty,FixedFront40,shape_early_prop,20.4
10,hard,10,lock,237,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,direct_pure_topup_slice01_candidates,14,27,60,0.984,1.000,10,5.08,13,192,front20_replace:direct_refresh:core_burst:g2,fixed_front20_replace,True,185.8,ok,FixedFront40,Hard,FixedFront40,direct_refresh,86.2
