range,count,minChains,avgChains,maxChains,hard,veryHard,relativeExtreme,shape,hole,shapeHard,shapeVeryHard,buckets
1-10,10,6,31.2,60,0,0,0,3,1,0,0,front20:2;hard:1;normal:1;refresh:6
11-20,10,31,49.2,94,0,0,0,1,1,0,0,front20:2;normal:2;refresh:5;very_hard:1
21-30,10,42,74.9,106,0,0,0,2,1,0,0,normal:5;refresh:3;shape:2
31-40,10,41,79.6,103,0,0,0,2,1,0,0,normal:4;refresh:5;shape:1
41-50,10,43,79.4,118,2,1,0,2,1,0,0,normal:4;refresh:6
51-60,10,43,81.0,96,2,1,0,2,1,0,0,normal:4;refresh:6
61-70,10,43,80.3,104,2,0,0,2,1,0,0,normal:4;refresh:5;shape:1
71-80,10,45,81.0,104,1,1,0,2,1,0,0,normal:7;refresh:3
81-90,10,45,81.1,101,2,1,0,2,1,0,0,normal:4;refresh:5;shape:1
91-100,10,47,81.3,110,1,1,0,2,1,0,0,normal:7;refresh:3
101-110,10,47,90.3,108,2,1,0,2,1,0,0,normal:7;refresh:2;shape:1
111-120,10,49,90.5,108,2,1,0,2,1,0,0,normal:5;refresh:4;shape:1
121-130,10,50,85.6,105,2,0,0,2,1,0,0,normal:7;refresh:3
131-140,10,52,86.2,113,1,1,0,2,1,0,0,normal:5;refresh:4;shape:1
141-150,10,50,98.2,114,2,1,0,2,1,0,0,normal:8;refresh:1;shape:1
151-160,10,51,92.3,113,1,1,0,2,1,0,0,normal:7;refresh:3
161-170,10,53,93.1,119,2,0,0,2,1,0,0,normal:7;refresh:3
171-180,10,52,99.6,115,2,1,0,2,1,0,0,normal:8;refresh:1;shape:1
181-190,10,55,99.5,112,2,0,0,2,1,0,0,normal:7;refresh:1;shape:2
191-200,10,54,98.1,135,0,1,0,2,1,0,0,hard:1;normal:7;refresh:1;shape:1
201-210,10,56,105.8,157,2,1,0,2,1,0,0,hard:1;normal:8;refresh:1
211-220,10,56,98.0,144,1,1,0,2,1,0,0,hard:1;normal:8;refresh:1
221-230,10,57,106.6,163,2,1,0,2,1,0,0,hard:1;normal:9
231-240,10,54,107.3,171,2,0,1,2,1,0,0,hard:1;normal:7;refresh:1;very_hard:1
241-250,10,58,111.8,150,2,0,0,2,1,0,0,hard:3;normal:7
251-260,10,59,113.1,159,1,1,0,2,1,0,0,hard:3;normal:7
261-270,10,61,119.0,203,1,0,1,2,1,0,0,hard:2;normal:5;refresh:1;shape:1;very_hard:1
271-280,10,61,115.0,201,1,0,1,2,1,0,0,normal:9;very_hard:1
281-290,10,62,129.5,280,2,0,1,2,1,0,0,extreme:1;hard:1;normal:8
291-300,10,62,132.9,318,1,0,1,2,1,0,0,extreme:1;hard:1;normal:7;shape:1
301-310,10,65,123.7,200,2,0,0,2,1,0,0,hard:1;normal:6;shape:1;very_hard:2
311-320,10,65,132.4,318,1,0,1,2,1,0,0,extreme:1;hard:1;normal:8
321-330,10,66,136.1,263,2,0,1,2,1,0,0,extreme:1;hard:1;normal:7;very_hard:1
331-340,10,67,134.3,216,1,0,1,2,1,0,0,hard:1;normal:7;very_hard:2
341-350,10,67,165.7,347,2,0,1,2,1,0,0,extreme:2;hard:2;normal:5;very_hard:1
351-360,10,70,137.5,270,2,0,1,2,1,0,0,extreme:1;hard:3;normal:5;shape:1
361-370,10,72,149.5,204,2,0,0,2,1,0,0,hard:3;normal:4;very_hard:3
371-380,10,72,148.4,306,1,0,1,2,1,0,0,extreme:1;hard:4;normal:5
381-390,10,72,157.1,305,2,0,1,2,1,0,0,extreme:1;hard:3;normal:4;very_hard:2
391-400,10,75,143.7,214,1,0,1,2,1,0,0,hard:3;normal:5;very_hard:2
401-410,10,73,142.6,196,2,0,1,2,1,0,0,hard:4;normal:4;very_hard:2
411-420,10,75,145.4,203,2,0,1,2,1,0,0,hard:4;normal:5;very_hard:1
421-430,10,77,158.7,213,2,0,0,2,1,0,0,hard:3;normal:4;very_hard:3
431-440,10,79,159.6,207,1,0,1,2,1,0,0,hard:5;normal:4;very_hard:1
441-450,10,81,140.1,197,2,0,1,2,1,0,0,hard:3;normal:3;shape:1;very_hard:3
451-460,10,64,137.7,224,1,0,1,2,1,0,0,hard:4;normal:3;shape:1;very_hard:2
461-470,10,63,154.1,366,2,0,0,2,1,0,0,extreme:1;hard:4;normal:2;shape:2;very_hard:1
471-480,10,60,139.0,231,2,0,1,2,1,0,0,hard:2;normal:2;shape:2;very_hard:4
481-490,10,62,139.0,213,2,0,0,2,1,0,0,hard:1;normal:3;shape:2;very_hard:4
491-500,10,63,147.1,337,0,1,0,2,1,0,0,extreme:1;hard:2;normal:2;refresh:1;shape:2;very_hard:2
