"kind","name","count"
"theme","Magic","19"
"theme","Ocean","15"
"theme","Landmark","14"
"theme","Nature","9"
"theme","Object","8"
"theme","Symbol","8"
"theme","Vehicle","6"
"theme","Character","5"
"theme","Music","5"
"theme","Space","5"
"theme","ToolUI","4"
"theme","Art","2"
"subtheme","architecture","14"
"subtheme","plants-creatures","9"
"subtheme","letters-symbols","8"
"subtheme","tools-items","8"
"subtheme","sea-creature","7"
"subtheme","transport","6"
"subtheme","animals-mascots","5"
"subtheme","creature","5"
"subtheme","sci-fi","5"
"subtheme","stage","5"
"subtheme","academy","4"
"subtheme","digital-tools","4"
"subtheme","diving-gear","4"
"subtheme","fantasy-architecture","4"
"subtheme","adventure-relic","3"
"subtheme","alchemy","3"
"subtheme","nautical","2"
"subtheme","shoreline","2"
"subtheme","studio","2"
"shapeRole","object","31"
"shapeRole","landmark","18"
"shapeRole","creature","14"
"shapeRole","character","9"
"shapeRole","vehicle","9"
"shapeRole","symbol","8"
"shapeRole","natural","7"
"shapeRole","equipment","4"
"difficultyBand","main","55"
"difficultyBand","transition","27"
"difficultyBand","big","14"
"difficultyBand","early","4"
"relativeDifficulty","Novelty","49"
"relativeDifficulty","Hard","20"
"relativeDifficulty","VeryHard","20"
"relativeDifficulty","Normal","7"
"relativeDifficulty","FixedFront","4"
