rank,status,profile,blocker,levelId,path,width,height,chains,arrowTiles,blockTiles,boardFill,playableFill,openingMoves,avgClearPerOpening,maxChain,seed,score,details
1,accepted,standard_16x18_early,standard_8x9_center,hole_proc_standard_16x18_early_911009_16x18_c52,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_16x18_early_911009_16x18_c52.asset,16,18,52,216,72,0.75,1,52,4.154,5,911009,243.231,ok; blocker=standard_8x9_center; blockCells=72; rect=4:4:8:9; framePeelChains=52; desiredSegment=4; baseChains=0
2,accepted,standard_17x19_early,standard_8x9_center,hole_proc_standard_17x19_early_912055_17x19_c54,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_17x19_early_912055_17x19_c54.asset,17,19,54,251,72,0.777,1,54,4.648,5,912055,245.985,ok; blocker=standard_8x9_center; blockCells=72; rect=4:5:8:9; framePeelChains=54; desiredSegment=5; baseChains=0
3,accepted,standard_18x20_early,standard_8x9_center,hole_proc_standard_18x20_early_913101_18x20_c56,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x20_early_913101_18x20_c56.asset,18,20,56,288,72,0.8,1,56,5.143,6,913101,248.743,ok; blocker=standard_8x9_center; blockCells=72; rect=5:5:8:9; framePeelChains=56; desiredSegment=5; baseChains=0
4,accepted,standard_18x22_small,standard_8x9_center,hole_proc_standard_18x22_small_914147_18x22_c65,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x22_small_914147_18x22_c65.asset,18,22,65,324,72,0.818,1,60,5.217,7,914147,248.133,ok; blocker=standard_8x9_center; blockCells=72; rect=5:6:8:9; framePeelChains=65; desiredSegment=5; baseChains=0
5,accepted,standard_19x23_small,standard_8x9_center,hole_proc_standard_19x23_small_915193_19x23_c62,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_19x23_small_915193_19x23_c62.asset,19,23,62,365,72,0.835,1,62,5.887,7,915193,252.297,ok; blocker=standard_8x9_center; blockCells=72; rect=5:7:8:9; framePeelChains=62; desiredSegment=6; baseChains=0
6,accepted,standard_20x24_small,standard_8x9_center,hole_proc_standard_20x24_small_916239_20x24_c68,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_20x24_small_916239_20x24_c68.asset,20,24,68,408,72,0.85,1,64,6.219,8,916239,257.35,ok; blocker=standard_8x9_center; blockCells=72; rect=6:7:8:9; framePeelChains=68; desiredSegment=6; baseChains=0
7,accepted,standard_21x25_small,standard_8x9_center,hole_proc_standard_21x25_small_917285_21x25_c74,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_21x25_small_917285_21x25_c74.asset,21,25,74,453,72,0.863,1,66,6.545,8,917285,262.364,ok; blocker=standard_8x9_center; blockCells=72; rect=6:8:8:9; framePeelChains=74; desiredSegment=6; baseChains=0
8,accepted,standard_22x26_mid,standard_8x9_center,hole_proc_standard_22x26_mid_918331_22x26_c75,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_22x26_mid_918331_22x26_c75.asset,22,26,75,500,72,0.874,1,68,7.059,9,918331,262.871,ok; blocker=standard_8x9_center; blockCells=72; rect=7:8:8:9; framePeelChains=75; desiredSegment=6; baseChains=0
9,accepted,standard_23x28_mid,standard_8x9_center,hole_proc_standard_23x28_mid_919377_23x28_c78,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_919377_23x28_c78.asset,23,28,78,572,72,0.888,1,72,7.694,10,919377,261.956,ok; blocker=standard_8x9_center; blockCells=72; rect=7:9:8:9; framePeelChains=78; desiredSegment=7; baseChains=0
10,accepted,standard_24x28_mid,standard_8x9_center,hole_proc_standard_24x28_mid_920423_24x28_c76,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x28_mid_920423_24x28_c76.asset,24,28,76,600,72,0.893,1,72,8.181,10,920423,258.644,ok; blocker=standard_8x9_center; blockCells=72; rect=8:9:8:9; framePeelChains=76; desiredSegment=7; baseChains=0
11,accepted,standard_24x30_mid,standard_8x9_center,hole_proc_standard_24x30_mid_921469_24x30_c82,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_921469_24x30_c82.asset,24,30,82,648,72,0.9,1,76,8.25,11,921469,259.2,ok; blocker=standard_8x9_center; blockCells=72; rect=8:10:8:9; framePeelChains=82; desiredSegment=7; baseChains=0
