Attempt,SelectedIndex,Band,Structure,Motif,BuildMode,Spec,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,1,refresh_30_60,long_spine,HuiSpiral,motif,direct_diff_refresh_long_spine_hui_spiral_g0_v01,direct_diff120_01_direct_diff_refresh_long_spine_hui_spiral_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_01_direct_diff_refresh_long_spine_hui_spiral_g0_v01.asset,15,24,30,44,356,0.989,0.982,0.971,9,9,10,30,11.87,198,0.720,37,True,9,177.1,long-straight-run,65,Motif=Direct Diff refresh long_spine hui_spiral 01 | Style=Onion | Score=41566 | MotifCells=198 | TargetInitial=5 | OpeningRatio=0.300 | MotifPeel motif=direct_diff_refresh_long_spine_hui_spiral_g0_v01 style=Onion seed=3598230 fill=356/360(0.989) motifCells=198 chains=30 remaining=4 rejectedShort=0 failedPeels=1 | Motif=HuiSpiral motifCells=198
2,2,refresh_30_60,room_gate,DoubleRoomLock,motif,direct_diff_refresh_room_gate_double_room_lock_g0_v01,direct_diff120_02_direct_diff_refresh_room_gate_double_room_lock_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_02_direct_diff_refresh_room_gate_double_room_lock_g0_v01.asset,16,24,38,46,377,0.982,0.982,0.965,14,14,12,38,9.92,96,0.704,61,True,14,181.1,long-straight-run,67,Motif=Direct Diff refresh room_gate double_room_lock 01 | Style=Onion | Score=43883 | MotifCells=183 | TargetInitial=7 | OpeningRatio=0.368 | MotifPeel motif=direct_diff_refresh_room_gate_double_room_lock_g0_v01 style=Onion seed=3820891 fill=377/384(0.982) motifCells=183 chains=38 remaining=7 rejectedShort=0 failedPeels=1 | Motif=DoubleRoomLock motifCells=183
3,3,refresh_30_60,near_square,CenterCross,motif,direct_diff_refresh_near_square_center_cross_g0_v01,direct_diff120_03_direct_diff_refresh_near_square_center_cross_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_03_direct_diff_refresh_near_square_center_cross_g0_v01.asset,19,19,58,47,353,0.978,0.982,0.985,17,17,12,58,6.09,9,0.637,160,True,17,185.0,ok,75,Motif=Direct Diff refresh near_square center_cross 01 | Style=Onion | Score=34632 | MotifCells=31 | TargetInitial=10 | OpeningRatio=0.293 | MotifPeel motif=direct_diff_refresh_near_square_center_cross_g0_v01 style=Onion seed=4671924 fill=353/361(0.978) motifCells=31 chains=58 remaining=8 rejectedShort=0 failedPeels=1 | Motif=CenterCross motifCells=31
4,4,refresh_30_60,dag_unlock,StairLadder,peel_fallback,direct_diff_refresh_dag_unlock_stair_ladder_g0_v01,direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01.asset,17,24,59,45,398,0.975,0.982,0.966,7,7,14,59,6.75,11,0.257,145,True,7,184.9,ok,104,fallback-after-motif-fail | Style=Lock | Score=34514 | TargetInitial=8 | OpeningRatio=0.119 | Peel style=Lock seed=4059017 fill=398/408(0.975) chains=59 remaining=10 rejectedShort=0 failedPeels=1
5,5,refresh_30_60,long_spine,SnakeSpine,motif,direct_diff_refresh_long_spine_snake_spine_g1_v02,direct_diff120_05_direct_diff_refresh_long_spine_snake_spine_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_05_direct_diff_refresh_long_spine_snake_spine_g1_v02.asset,16,25,47,46,395,0.988,0.982,0.973,8,8,11,47,8.40,107,0.678,86,True,8,184.5,ok,132,Motif=Direct Diff refresh long_spine snake_spine 02 | Style=Lock | Score=46838 | MotifCells=107 | TargetInitial=6 | OpeningRatio=0.170 | MotifPeel motif=direct_diff_refresh_long_spine_snake_spine_g1_v02 style=Lock seed=4508045 fill=395/400(0.988) motifCells=107 chains=47 remaining=5 rejectedShort=0 failedPeels=1 | Motif=SnakeSpine motifCells=107
6,6,refresh_30_60,room_gate,KeyDoor,motif,direct_diff_refresh_room_gate_key_door_g1_v02,direct_diff120_06_direct_diff_refresh_room_gate_key_door_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_06_direct_diff_refresh_room_gate_key_door_g1_v02.asset,18,25,51,48,442,0.982,0.982,0.987,11,11,8,51,8.67,72,0.621,138,True,11,179.4,long-straight-run,48,Motif=Direct Diff refresh room_gate key_door 02 | Style=Onion | Score=51115 | MotifCells=93 | TargetInitial=9 | OpeningRatio=0.216 | MotifPeel motif=direct_diff_refresh_room_gate_key_door_g1_v02 style=Onion seed=1884757 fill=442/450(0.982) motifCells=93 chains=51 remaining=8 rejectedShort=0 failedPeels=1 | Motif=KeyDoor motifCells=93
7,7,refresh_30_60,near_square,DoubleShell,motif,direct_diff_refresh_near_square_double_shell_g1_v02,direct_diff120_07_direct_diff_refresh_near_square_double_shell_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_07_direct_diff_refresh_near_square_double_shell_g1_v02.asset,18,22,49,49,385,0.972,0.982,0.958,10,10,18,49,7.86,60,0.418,144,True,10,178.2,long-straight-run,126,Motif=Direct Diff refresh near_square double_shell 02 | Style=Lock | Score=42610 | MotifCells=92 | TargetInitial=6 | OpeningRatio=0.204 | MotifPeel motif=direct_diff_refresh_near_square_double_shell_g1_v02 style=Lock seed=3906075 fill=385/396(0.972) motifCells=92 chains=49 remaining=11 rejectedShort=0 failedPeels=1 | Motif=DoubleShell motifCells=92
8,8,refresh_30_60,dag_unlock,ZigRiver,motif,direct_diff_refresh_dag_unlock_zig_river_g1_v02,direct_diff120_08_direct_diff_refresh_dag_unlock_zig_river_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_08_direct_diff_refresh_dag_unlock_zig_river_g1_v02.asset,15,27,61,47,399,0.985,0.982,0.987,12,12,12,61,6.54,42,0.635,164,True,12,186.0,ok,44,Motif=Direct Diff refresh dag_unlock zig_river 02 | Style=Onion | Score=40184 | MotifCells=42 | TargetInitial=11 | OpeningRatio=0.197 | MotifPeel motif=direct_diff_refresh_dag_unlock_zig_river_g1_v02 style=Onion seed=1492247 fill=399/405(0.985) motifCells=42 chains=61 remaining=6 rejectedShort=0 failedPeels=1 | Motif=ZigRiver motifCells=42
9,9,refresh_30_60,long_spine,LongCorridor,motif,direct_diff_refresh_long_spine_long_corridor_g2_v03,direct_diff120_09_direct_diff_refresh_long_spine_long_corridor_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_09_direct_diff_refresh_long_spine_long_corridor_g2_v03.asset,14,26,54,48,352,0.967,0.982,0.958,8,8,14,54,6.52,11,0.316,150,True,8,181.7,ok,131,Motif=Direct Diff refresh long_spine long_corridor 03 | Style=Lock | Score=35450 | MotifCells=30 | TargetInitial=7 | OpeningRatio=0.148 | MotifPeel motif=direct_diff_refresh_long_spine_long_corridor_g2_v03 style=Lock seed=4457033 fill=352/364(0.967) motifCells=30 chains=54 remaining=12 rejectedShort=0 failedPeels=1 | Motif=LongCorridor motifCells=30
10,10,refresh_30_60,room_gate,FourPockets,motif,direct_diff_refresh_room_gate_four_pockets_g2_v03,direct_diff120_10_direct_diff_refresh_room_gate_four_pockets_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_10_direct_diff_refresh_room_gate_four_pockets_g2_v03.asset,17,26,58,50,439,0.993,0.982,1.000,18,18,9,58,7.57,13,0.492,185,True,18,186.3,ok,44,Motif=Direct Diff refresh room_gate four_pockets 03 | Style=Onion | Score=44920 | MotifCells=36 | TargetInitial=10 | OpeningRatio=0.310 | MotifPeel motif=direct_diff_refresh_room_gate_four_pockets_g2_v03 style=Onion seed=1519558 fill=439/442(0.993) motifCells=36 chains=58 remaining=3 rejectedShort=0 failedPeels=1 | Motif=FourPockets motifCells=36
