Index,Spec,Structure,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Blocks,OuterCutCells,AllowedCells,AllowedCoverage,BoardCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,hc2_32x28_dual_b,DualZone,hole_highchain_extra_001_hc2_32x28_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset,32,28,82,86,809,72,0,824,0.982,0.903,0.978,14,14,22,82,9.87,22,0.231,230,True,14,187.9,ok,384,DirectHole style=HoleMaze score=74468 openingRatio=0.171 | ConstrainedPeel style=HoleMaze seed=14124900 fill=809/824(0.982) chains=82 blocks=72 remaining=15 rejectedShort=0 failedPeels=1
2,hc2_32x28_section_a,SectionUnlock,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_002_hc2_32x28_section_a.asset,32,28,0,86,0,72,0,824,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21676505 fill=809/824(0.982) chains=84 blocks=72 remaining=15 rejectedShort=0 failedPeels=1
3,hc2_32x28_lock_a,LockBuckle,hole_highchain_extra_003_hc2_32x28_lock_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_003_hc2_32x28_lock_a.asset,32,28,89,86,810,72,0,824,0.983,0.904,0.978,17,17,28,89,9.10,21,0.241,286,True,17,187.7,ok,368,DirectHole style=HoleMaze score=72508 openingRatio=0.191 | ConstrainedPeel style=HoleMaze seed=12471482 fill=810/824(0.983) chains=89 blocks=72 remaining=14 rejectedShort=0 failedPeels=1
4,hc2_34x26_dual_b,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_004_hc2_34x26_dual_b.asset,34,26,0,86,0,72,0,812,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21699397 fill=792/812(0.975) chains=85 blocks=72 remaining=20 rejectedShort=0 failedPeels=1
5,hc2_34x26_section_a,SectionUnlock,hole_highchain_extra_005_hc2_34x26_section_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_005_hc2_34x26_section_a.asset,34,26,94,86,796,72,0,812,0.980,0.900,0.969,7,7,36,94,8.47,22,0.215,335,True,7,188.9,ok,366,DirectHole style=HoleMaze score=64764 openingRatio=0.074 | ConstrainedPeel style=HoleMaze seed=12284904 fill=796/812(0.980) chains=94 blocks=72 remaining=16 rejectedShort=0 failedPeels=1
6,hc2_34x26_lock_a,LockBuckle,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_006_hc2_34x26_lock_a.asset,34,26,0,86,0,72,0,812,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21721643 fill=796/812(0.980) chains=84 blocks=72 remaining=16 rejectedShort=0 failedPeels=1
7,hc2_30x28_dual_b,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_007_hc2_30x28_dual_b.asset,30,28,72,82,747,72,0,768,0.973,0.889,0.972,17,17,19,72,10.38,22,0.217,191,True,17,185.2,ok,282,OutOfChainRange(72) | DirectHole style=HoleMaze score=67407 openingRatio=0.236 | ConstrainedPeel style=HoleMaze seed=3510560 fill=747/768(0.973) chains=72 blocks=72 remaining=21 rejectedShort=0 failedPeels=1
8,hc2_30x28_section_a,SectionUnlock,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_008_hc2_30x28_section_a.asset,30,28,72,82,748,72,0,768,0.974,0.890,0.958,9,9,18,72,10.39,22,0.255,204,True,9,185.3,ok,414,OutOfChainRange(72) | DirectHole style=HoleMaze score=68018 openingRatio=0.125 | ConstrainedPeel style=HoleMaze seed=17345905 fill=748/768(0.974) chains=72 blocks=72 remaining=20 rejectedShort=0 failedPeels=1
9,hc2_30x28_lock_a,LockBuckle,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_009_hc2_30x28_lock_a.asset,30,28,78,82,748,72,0,768,0.974,0.890,0.958,3,3,23,78,9.59,20,0.294,287,True,3,186.8,ok,17,OutOfChainRange(78) | DirectHole style=HoleBalanced score=66413 openingRatio=0.038 | ConstrainedPeel style=HoleBalanced seed=2659841 fill=748/768(0.974) chains=78 blocks=72 remaining=20 rejectedShort=0 failedPeels=1
10,hc2_28x30_dual_b,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_010_hc2_28x30_dual_b.asset,28,30,0,82,0,72,0,768,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21767415 fill=752/768(0.979) chains=84 blocks=72 remaining=16 rejectedShort=0 failedPeels=1
11,hc2_28x30_section_a,SectionUnlock,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_011_hc2_28x30_section_a.asset,28,30,75,82,743,72,0,768,0.967,0.885,0.977,6,6,22,75,9.91,22,0.218,220,True,6,185.5,ok,456,OutOfChainRange(75) | DirectHole style=HoleMaze score=65890 openingRatio=0.080 | ConstrainedPeel style=HoleMaze seed=21778532 fill=743/768(0.967) chains=75 blocks=72 remaining=25 rejectedShort=0 failedPeels=1
