"Tag","Score","Reason","Spec","Structure","LevelId","AssetPath","Width","Height","Chains","TargetChains","Drift","AllowedCoverage","OuterBandCoverage","InitialMovableChains","OpeningRatio","ShortChains","Straightness","OuterCutCells"
"check","1121.1","open;","topup_tall_18x26_maze","MazeLongChain","hole_topup_003_topup_tall_18x26_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_003_topup_tall_18x26_maze.asset","18","26","40","34","6","0.975","0.956","12","0.3","10","0.284","0"
"check","1098.6","open;","topup_tall_20x28_dense","DenseWeave","hole_topup_005_topup_tall_20x28_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_005_topup_tall_20x28_dense.asset","20","28","54","54","0","0.973","0.972","16","0.296","21","0.237","0"
"check","1065.8","manyShort;","topup_std_28x28_dense","DenseWeave","hole_topup_035_topup_std_28x28_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_035_topup_std_28x28_dense.asset","28","28","82","79","3","0.979","0.976","6","0.073","23","0.263","0"
"check","1053","manyShort;","topup_wide_34x26_dense","DenseWeave","hole_topup_056_topup_wide_34x26_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_056_topup_wide_34x26_dense.asset","34","26","85","90","5","0.984","0.991","4","0.047","24","0.254","0"
"check","1044.3","manyShort;","topup_std_30x30_dual","DualZone","hole_topup_039_topup_std_30x30_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_039_topup_std_30x30_dual.asset","30","30","83","84","1","0.973","0.955","13","0.157","27","0.228","0"
"check","1027.7","manyShort;","topup_notch_24x28_dual_b","DualZone","hole_topup_064_topup_notch_24x28_dual_b","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_064_topup_notch_24x28_dual_b.asset","24","28","61","59","2","0.977","0.849","7","0.115","24","0.250","29"
"check","1024.2","chainDrift;","topup_std_26x28_maze","MazeLongChain","hole_topup_034_topup_std_26x28_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_034_topup_std_26x28_maze.asset","26","28","70","57","13","0.986","0.985","3","0.043","18","0.341","0"
"check","1019.5","chainDrift;straight;","topup_notch_24x28_dense_a","DenseWeave","hole_topup_059_topup_notch_24x28_dense_a","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_059_topup_notch_24x28_dense_a.asset","24","28","53","65","12","0.968","0.833","9","0.17","10","0.405","29"
"check","1017","manyShort;","topup_tall_28x30_dense","DenseWeave","hole_topup_013_topup_tall_28x30_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_013_topup_tall_28x30_dense.asset","28","30","79","85","6","0.977","0.972","6","0.076","27","0.182","0"
"check","1006.5","manyShort;","topup_tall_20x28_dual","DualZone","hole_topup_006_topup_tall_20x28_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_006_topup_tall_20x28_dual.asset","20","28","60","50","10","0.982","0.983","4","0.067","23","0.368","0"
"check","1004.5","manyShort;","topup_wide_30x26_dual","DualZone","hole_topup_051_topup_wide_30x26_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_051_topup_wide_30x26_dual.asset","30","26","79","72","7","0.982","0.976","14","0.177","28","0.229","0"
"check","998.4","chainDrift;","topup_wide_28x22_maze","MazeLongChain","hole_topup_046_topup_wide_28x22_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_046_topup_wide_28x22_maze.asset","28","22","64","47","17","0.978","0.978","12","0.188","17","0.225","0"
"check","996.2","chainDrift;","topup_tall_20x28_maze","MazeLongChain","hole_topup_007_topup_tall_20x28_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_007_topup_tall_20x28_maze.asset","20","28","57","42","15","0.969","0.966","3","0.053","17","0.295","0"
"check","983.3","chainDrift;","topup_tall_18x26_dual","DualZone","hole_topup_002_topup_tall_18x26_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_002_topup_tall_18x26_dual.asset","18","26","57","40","17","0.980","0.963","7","0.123","17","0.383","0"
"check","972.6","manyShort;","topup_std_30x30_dense","DenseWeave","hole_topup_038_topup_std_30x30_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_038_topup_std_30x30_dense.asset","30","30","81","92","11","0.973","0.964","11","0.136","26","0.245","0"
"check","960.1","manyShort;chainDrift;","topup_wide_32x24_maze","MazeLongChain","hole_topup_055_topup_wide_32x24_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_055_topup_wide_32x24_maze.asset","32","24","73","60","13","0.970","0.962","9","0.123","25","0.244","0"
"check","938.8","manyShort;chainDrift;","topup_wide_34x26_dual","DualZone","hole_topup_057_topup_wide_34x26_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_057_topup_wide_34x26_dual.asset","34","26","98","83","15","0.982","0.978","6","0.061","28","0.258","0"
"check","915.7","manyShort;chainDrift;","topup_tall_28x30_maze","MazeLongChain","hole_topup_015_topup_tall_28x30_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_015_topup_tall_28x30_maze.asset","28","30","83","66","17","0.977","0.991","13","0.157","29","0.245","0"
"drop","1152.3","lowCoverage;","topup_tall_18x26_shell","OuterShell","hole_topup_004_topup_tall_18x26_shell","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_004_topup_tall_18x26_shell.asset","18","26","40","37","3","0.957","0.938","10","0.25","6","0.251","0"
"drop","1080.5","lowCoverage;","topup_wide_28x22_dense","DenseWeave","hole_topup_044_topup_wide_28x22_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_044_topup_wide_28x22_dense.asset","28","22","52","60","8","0.960","0.967","11","0.212","12","0.270","0"
"keep","1179.2","","topup_tall_18x26_dense","DenseWeave","hole_topup_001_topup_tall_18x26_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset","18","26","43","44","1","0.980","0.981","7","0.163","9","0.301","0"
"keep","1142.5","","topup_std_22x26_dual","DualZone","hole_topup_018_topup_std_22x26_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","22","26","49","51","2","0.978","0.989","10","0.204","14","0.228","0"
"keep","1131","","topup_std_26x28_dual","DualZone","hole_topup_033_topup_std_26x28_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_033_topup_std_26x28_dual.asset","26","28","65","67","2","0.979","0.970","11","0.169","15","0.225","0"
"keep","1128.7","","topup_wide_28x22_dual","DualZone","hole_topup_045_topup_wide_28x22_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_045_topup_wide_28x22_dual.asset","28","22","58","56","2","0.980","0.973","9","0.155","15","0.278","0"
"keep","1120.1","","topup_std_24x28_dual","DualZone","hole_topup_024_topup_std_24x28_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_024_topup_std_24x28_dual.asset","24","28","55","61","6","0.972","0.974","8","0.145","11","0.239","0"
"keep","1113.1","","topup_tall_20x30_shell","OuterShell","hole_topup_012_topup_tall_20x30_shell","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset","20","30","52","49","3","0.966","0.962","5","0.096","14","0.244","0"
"keep","1113","","topup_wide_26x22_dense","DenseWeave","hole_topup_041_topup_wide_26x22_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_041_topup_wide_26x22_dense.asset","26","22","51","56","5","0.986","0.994","5","0.098","16","0.240","0"
"keep","1092.9","","topup_std_22x26_dense","DenseWeave","hole_topup_017_topup_std_22x26_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_017_topup_std_22x26_dense.asset","22","26","52","56","4","0.978","0.972","10","0.192","18","0.234","0"
"keep","1086.8","","topup_tall_28x30_shell","OuterShell","hole_topup_016_topup_tall_28x30_shell","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_016_topup_tall_28x30_shell.asset","28","30","75","71","4","0.978","0.977","10","0.133","19","0.241","0"
"keep","1083.2","","topup_std_24x30_dense","DenseWeave","hole_topup_026_topup_std_24x30_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_026_topup_std_24x30_dense.asset","24","30","67","72","5","0.974","0.970","10","0.149","18","0.197","0"
"keep","1083.1","","topup_wide_30x26_dense","DenseWeave","hole_topup_050_topup_wide_30x26_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_050_topup_wide_30x26_dense.asset","30","26","77","79","2","0.972","0.971","7","0.091","21","0.215","0"
"keep","1081.9","","topup_std_26x26_dual","DualZone","hole_topup_030_topup_std_26x26_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset","26","26","61","62","1","0.970","0.938","4","0.066","20","0.269","0"
"keep","1062.4","","topup_std_24x28_maze","MazeLongChain","hole_topup_025_topup_std_24x28_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset","24","28","62","52","10","0.978","0.964","12","0.194","15","0.248","0"
"keep","1050.9","","topup_std_26x26_maze","MazeLongChain","hole_topup_031_topup_std_26x26_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_031_topup_std_26x26_maze.asset","26","26","63","52","11","0.978","0.969","8","0.127","16","0.222","0"
"keep","1049.5","","topup_std_22x28_maze","MazeLongChain","hole_topup_022_topup_std_22x28_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_022_topup_std_22x28_maze.asset","22","28","57","47","10","0.969","0.973","13","0.228","16","0.242","0"
"keep","1030.4","","topup_wide_26x22_maze","MazeLongChain","hole_topup_043_topup_wide_26x22_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_043_topup_wide_26x22_maze.asset","26","22","53","43","10","0.974","0.972","14","0.264","19","0.278","0"
"keep","1022.9","","topup_notch_24x28_dual_a","DualZone","hole_topup_060_topup_notch_24x28_dual_a","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_060_topup_notch_24x28_dual_a.asset","24","28","53","59","6","0.968","0.807","14","0.264","17","0.253","29"
"keep","1013.4","","topup_wide_30x24_maze","MazeLongChain","hole_topup_049_topup_wide_30x24_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_049_topup_wide_30x24_maze.asset","30","24","67","56","11","0.980","0.990","4","0.06","21","0.357","0"
