sourcePool,sourceKind,order,levelId,assetName,sourceDifficultyTag,existingBucket,existingType,difficultyScoreV0,difficultyScoreV1,difficultyTagV1,difficultyConfidence,tagMismatch,scaleTag,pressureTag,paceTag,startTag,clearTag,choiceTag,shapeTag,visualTag,noveltyTag,mechanicTag,riskTags,reasonTags,theme,width,height,chains,arrowTiles,blockTiles,boardFill,playableFill,coverageMetricName,coverageMetric,sourceScore,initialMovableChains,maxChainLength,averageStepsToNextUnlock,openingMoves,openingGoodMoves,openingGoodMoveRatio,openingBestClear,avgAvailableMoves,avgGoodMoves,avgGoodMoveRatio,bottleneckStepRatio,hardBottleneckStepRatio,maxLowClearStreak,lowClearRatio,singleClearRatio,avgClearPerMove,avgNewUnlocksPerMove,choiceWaveStdDev,greedySolved,greedySteps,scaleScore,openingPressureScore,bottleneckScore,decisionComplexityScore,clearEfficiencyPressureScore,visualStructureScore,flowReliefScore,assetPath,buildError
normal_campaign500,normal,1,nomask_01_outer_shell,nomask_01_outer_shell,Flow,refresh,shell,189,109,Flow,HeuristicHigh,,Small,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,15,22,41,327,0,0.991,0.991,coverage,0.991,189.3,8,15,1.069,8,5,0.625,10,5.54,3.135,0.566,0.12,0.054,0,0,0,7.976,0.756,1.297,True,41,8,12.8,8,15.8,9.1,19.9,87.9,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,
normal_campaign500,normal,2,nomask_03_lock_buckle,nomask_03_lock_buckle,Flow,refresh,lock,188,151,Flow,HeuristicHigh,,Small,LowPressure,Bottleneck,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,15,22,50,325,0,0.985,0.985,coverage,0.985,188.2,12,12,1.723,12,7,0.583,8,5.12,2.511,0.49,0.288,0.13,1,0,0,6.5,0.554,1.585,True,50,10.1,18.2,19.3,19.4,22.1,23.6,73.2,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_03_lock_buckle.asset,
normal_campaign500,normal,3,r1_outer_strong_100_r1_191_a744,r1_outer_strong_100_r1_191_a744,Flow,refresh,section,183,110,Flow,HeuristicHigh,,Small,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,23,22,47,492,0,0.972,0.972,coverage,0.972,183.4,7,19,1.494,7,5,0.714,13,4.96,2.564,0.517,0.229,0.103,1,0,0,10.468,0.625,1.404,True,47,14.1,9.7,15.3,17.8,0,16,89.6,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_100_r1_191_a744.asset,
normal_campaign500,normal,4,nomask_style_expansion_30_vertical_gate_a,nomask_style_expansion_30_vertical_gate_a,Flow,refresh,lock,180,127,Flow,HeuristicHigh,,Small,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,16,25,48,393,0,0.983,0.983,coverage,0.983,180.1,8,15,1.725,8,5,0.625,10,5.08,2.49,0.49,0.288,0.13,1,0,0,8.188,0.554,1.574,True,48,11.5,12.8,19.3,19.3,7.2,19,82.7,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_30_vertical_gate_a.asset,
normal_campaign500,normal,5,r1_outer_strong_061_r1_104_a594,r1_outer_strong_061_r1_104_a594,Flow,refresh,maze,180,106,Flow,HeuristicHigh,,Small,LowPressure,Flow,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,20,23,45,450,0,0.978,0.978,coverage,0.978,179.6,7,18,1.42,7,5,0.714,12,3.78,1.986,0.525,0.21,0.095,1,0,0,10,0.648,1.038,True,45,12.4,9.7,14.1,16.3,0,16.4,90.3,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_061_r1_104_a594.asset,
normal_campaign500,normal,6,nomask_09_stair_push,nomask_09_stair_push,Flow,refresh,section,179,134,Flow,HeuristicHigh,,Small,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,15,23,47,339,0,0.983,0.983,coverage,0.983,179.4,9,13,1.481,9,5,0.556,9,6.66,3.452,0.518,0.226,0.102,1,0,0,7.213,0.629,1.876,True,47,9.8,17.1,15.1,19.4,15.8,21,79.6,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_09_stair_push.asset,
normal_campaign500,normal,7,r1_ab_295_aout_level_003_final,r1_ab_295_aout_level_003_final,Flow,refresh,section,178,103,Flow,HeuristicHigh,,Tiny,LowPressure,Flow,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,11,13,16,139,0,0.972,0.972,coverage,0.972,177.9,6,16,1.396,6,4,0.667,11,3.44,1.817,0.528,0.204,0.092,1,0,0,8.688,0.655,0.935,True,16,0,11.3,13.6,16,2.8,18,88.8,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_295_aout_level_003_final.asset,
normal_campaign500,normal,8,r1_outer_strong_153_r1_265_a907,r1_outer_strong_153_r1_265_a907,Flow,refresh,maze,178,112,Flow,HeuristicHigh,,Small,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,23,24,52,539,0,0.976,0.976,coverage,0.976,177.5,7,19,1.515,7,5,0.714,13,4.06,2.089,0.514,0.235,0.106,1,0,0,10.365,0.619,1.159,True,52,16.6,9.7,15.7,17.1,0,16.3,89.4,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_153_r1_265_a907.asset,
normal_campaign500,normal,9,r2_outer_strong_106_r2_203_a772,r2_outer_strong_106_r2_203_a772,Flow,refresh,dense,177,123,Flow,HeuristicHigh,,Small,LowPressure,Flow,StartMedium,ClearFlow,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,16,19,40,296,0,0.974,0.974,coverage,0.974,176.9,6,14,1.379,6,4,0.667,9,3.03,1.606,0.53,0.2,0.09,1,0,0,7.4,0.66,0.818,True,40,6.8,13.3,13.4,16,14.2,20.7,81.6,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_106_r2_203_a772.asset,
normal_campaign500,normal,10,nomask_style_02_snake_spine,nomask_style_02_snake_spine,Flow,refresh,sweep,176,104,Flow,HeuristicHigh,,Small,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,16,24,44,383,0,0.997,0.997,coverage,0.997,175.9,12,16,1.17,12,8,0.667,11,6.25,3.464,0.554,0.146,0.066,0,0,0,8.705,0.725,1.536,True,44,10.3,11.3,9.8,17,2.6,18.5,91.1,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset,
