"pool","order","bucket","type","score","levelId","width","height","chains","coverage","outer1","openers","avgChoices","unlockBursts","dependencyBlocks","family","qualityFlags","sourcePackTags","assetPath"
"normal_campaign500","1","refresh","shell","189.3","nomask_01_outer_shell","15","22","41","0.991","1","8","5.54","9","103","asset:nomask_01_outer_shell","ok","no_mask_type_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset"
"normal_campaign500","2","refresh","lock","188.2","nomask_03_lock_buckle","15","22","50","0.985","1","12","5.12","11","150","motif:lock_buckle","ok","no_mask_type_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_03_lock_buckle.asset"
"normal_campaign500","3","refresh","section","183.4","r1_outer_strong_100_r1_191_a744","23","22","47","0.972","1","7","4.96","8","114","r1:191","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_100_r1_191_a744.asset"
"normal_campaign500","4","refresh","lock","180.1","nomask_style_expansion_30_vertical_gate_a","16","25","48","0.983","0.987","8","5.08","10","145","motif:vertical_gate","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_30_vertical_gate_a.asset"
"normal_campaign500","5","refresh","maze","179.6","r1_outer_strong_061_r1_104_a594","20","23","45","0.978","0.988","7","3.78","9","130","r1:104","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_061_r1_104_a594.asset"
"normal_campaign500","6","refresh","section","179.4","nomask_09_stair_push","15","23","47","0.983","1","9","6.66","8","135","motif:stair_push","ok","no_mask_type_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_09_stair_push.asset"
"normal_campaign500","7","refresh","section","177.9","r1_ab_295_aout_level_003_final","11","13","16","0.972","0.977","6","3.44","3","24","asset:r1_ab_295_aout_level_003_final","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_295_aout_level_003_final.asset"
"normal_campaign500","8","refresh","maze","177.5","r1_outer_strong_153_r1_265_a907","23","24","52","0.976","0.978","7","4.06","8","165","r1:265","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_153_r1_265_a907.asset"
"normal_campaign500","9","refresh","dense","176.9","r2_outer_strong_106_r2_203_a772","16","19","40","0.974","0.97","6","3.03","8","126","r2:203","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_106_r2_203_a772.asset"
"normal_campaign500","10","refresh","sweep","175.9","nomask_style_02_snake_spine","16","24","44","0.997","1","12","6.25","7","72","motif:snake_spine","ok","no_mask_style_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset"
"normal_campaign500","11","refresh","dense","175.8","nomask_05_dense_weave","16","22","45","0.983","1","9","6.13","11","127","motif:dense_weave","ok","no_mask_type_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_05_dense_weave.asset"
"normal_campaign500","12","refresh","maze","175.7","r1_ab_265_above300_level_907_final","23","24","51","0.967","0.944","6","3.82","8","162","seed:907","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_265_above300_level_907_final.asset"
