"pool","order","sourcePack","levelId","assetName","theme","subtheme","shapeRole","difficultyBand","maskName","maskWidth","maskHeight","maskArea","maskCoverage","maskFill","width","height","chains","arrowTiles","blockTiles","boardFill","playableFill","assetArrowCoverage","initialMovable","targetDifficultyScore","generationSeed","maskGuid","assetPath"
"shape_final_with_supplement","1","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall","procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406","Space","sci-fi","vehicle","main","MainRocketTall","30","42","620","0.492","0.981","30","42","86","608","0","0.483","0.483","0.96","0","974","14653","d4c057c24b147a147a09f4f12eec0909","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset"
"shape_final_with_supplement","2","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall","procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409","Magic","adventure-relic","object","main","MainShieldTall","28","40","682","0.609","0.985","28","40","83","672","0","0.6","0.6","0.96","0","974","1025870","186b8db320fec1c4eb909454e818e911","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset"
"shape_final_with_supplement","3","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_03_onion_maskproceduralvertical_30x42-mainpinetreetall","procmask_03_onion_maskproceduralvertical_30x42-mainpinetreetall_20260611_110411","Nature","plants-creatures","natural","main","MainPineTreeTall","30","42","635","0.504","0.975","30","42","86","619","0","0.491","0.491","0.96","0","974","30491","9b5393f3c9738fb48871df2ace6bb855","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_03_onion_maskproceduralvertical_30x42-mainpinetreetall_20260611_110411.asset"
"shape_final_with_supplement","4","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_04_onion_maskproceduralvertical_30x42-mainlighthousetall","procmask_04_onion_maskproceduralvertical_30x42-mainlighthousetall_20260611_110412","Landmark","architecture","landmark","main","MainLighthouseTall","30","42","679","0.539","0.982","30","42","100","667","0","0.529","0.529","0.96","0","974","38410","37054d73259e10b4398534727dd83637","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_04_onion_maskproceduralvertical_30x42-mainlighthousetall_20260611_110412.asset"
"shape_final_with_supplement","5","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_05_long_maskproceduralvertical_30x40-maintrophytall","procmask_05_long_maskproceduralvertical_30x40-maintrophytall_20260611_110422","Object","tools-items","object","main","MainTrophyTall","30","40","742","0.618","0.982","30","40","84","729","0","0.608","0.608","0.96","0","974","1049701","6cee54eab025b3945a20aa08cc9b811e","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_05_long_maskproceduralvertical_30x40-maintrophytall_20260611_110422.asset"
"shape_final_with_supplement","6","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall","procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435","Magic","adventure-relic","object","main","MainKeyTall","30","42","733","0.582","0.986","30","42","88","723","0","0.574","0.574","0.96","0","974","1057822","293ae49101f8e8449969dc21fb4fa0c1","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset"
"shape_final_with_supplement","7","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_07_onion_maskproceduralvertical_30x42-maincactustall","procmask_07_onion_maskproceduralvertical_30x42-maincactustall_20260611_110436","Nature","plants-creatures","natural","main","MainCactusTall","30","42","767","0.609","0.982","30","42","106","753","0","0.598","0.598","0.96","0","974","62167","ab87567e7ef84f1479e87b372dcd10d3","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_07_onion_maskproceduralvertical_30x42-maincactustall_20260611_110436.asset"
"shape_final_with_supplement","8","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall","procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439","Magic","alchemy","object","main","MainCandleTall","28","40","764","0.682","0.986","28","40","104","753","0","0.672","0.672","0.96","0","974","69810","2173520de76852a4bb0f0997353f6532","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset"
"shape_final_with_supplement","9","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_09_onion_maskproceduralvertical_30x42-maintowertall","procmask_09_onion_maskproceduralvertical_30x42-maintowertall_20260611_110441","Landmark","architecture","landmark","main","MainTowerTall","30","42","900","0.714","0.979","30","42","129","881","0","0.699","0.699","0.96","0","974","78005","bc3bbc5846108a0418ce17b06fb0e354","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_09_onion_maskproceduralvertical_30x42-maintowertall_20260611_110441.asset"
"shape_final_with_supplement","10","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_10_onion_maskproceduralvertical_28x40-mainbelltall","procmask_10_onion_maskproceduralvertical_28x40-mainbelltall_20260611_110444","Object","tools-items","object","main","MainBellTall","28","40","698","0.623","0.993","28","40","96","693","0","0.619","0.619","0.96","0","974","85648","aaf4ceac8d06b49498a7e2608be1ff99","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_10_onion_maskproceduralvertical_28x40-mainbelltall_20260611_110444.asset"
